DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-09,"Airport Contract Specialist - Construction","McCarran International Airport",mccarran.com,Airlines/Aviation,"$29.68 - $46.04 an hour",,,"Las Vegas",NV,""
2022-03-09,"Director of Learning & Development","Kaptyn Nevada LLC",,,"$95.3K – $121K a year",,,"Las Vegas",NV,"89103"
2022-03-09,"Director of Learning & Development","ODS Chauffeured Transportation",odslimo.com,Transportation/Trucking/Railroad,"$95.3K – $121K a year",,,"Las Vegas",NV,"89103"
2022-03-09,"Manager, Contract Management","NV Energy",nvenergy.com,Utilities,"$110,300 a year",,"Buffalo area","Las Vegas",NV,"89146"
2022-03-10,"HRST Digital Enablement Learning and Development Manager",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-08,"Director Network Management",Anthem,anthem.com,Insurance,"$54.2K – $68.6K a year",Remote,,"Hybrid remote in Las Vegas",NV,"89101"
2022-03-08,"Payment Innovation Director (Value Based Care)",Anthem,anthem.com,Insurance,"$77K – $97.6K a year",,"Cultural Corridor area","Las Vegas",NV,"89101"
2022-03-10,"Pre-Construction Services Manager","Sturgeon Electric Company, Inc.",sturgeonelectric.com,Construction,"$71.2K – $90.2K a year",,"Paradise area","Las Vegas",NV,"89118"
2022-03-09,"Manager - Contracts Administration","Las Vegas Sands Corp.",sands.com,Hospitality,"$54.4K – $68.8K a year",,,"Las Vegas",NV,""
2022-03-10,"Director, Development",Prologis,prologis.com,"Real Estate","$92.2K – $117K a year",,"Paradise area","Las Vegas",NV,"89169"
2022-03-09,"Manager, Risk, Data Analytics & Insights","Advance Auto Parts",advanceautoparts.com,Retail,,Remote,,"Remote in Las Vegas",NV,"89107"
2022-03-07,"Vice President, Global Indirect Strategic Sourcing","Light & Wonder",,,,,,"Las Vegas",NV,""
2022-03-10,"Partner Account Manager, AWS (West/Central)",Splunk,splunk.com,"Computer Software",,Remote,,"Remote in Las Vegas",NV,"89101"
2022-03-09,"Integrated Campaign Strategist Manager-Deloitte’s Green Dot...",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-07,"Director, Treasury","Light & Wonder",,,"$108K – $136K a year",,,"Las Vegas",NV,""
2022-03-08,"ARCHITECT IT ENTERPRISE DATA","Boyd Gaming Corporate",boydgaming.com,"Gambling & Casinos",,,"Spring Valley area","Las Vegas",NV,"89118"
2022-03-09,"Application Architect",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-09,"Media Director, Manager",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-10,"Lead Solutions Architect","Light & Wonder",,,"$110K – $139K a year",,,"Las Vegas",NV,""
2022-03-09,"Executive Director - Procurement Process Excellence & Contro...","Las Vegas Sands Corp.",sands.com,Hospitality,"$88.3K – $112K a year",,,"Las Vegas",NV,""
2022-03-08,"VP of Global Enterprise Solution Architects",Fortinet,fortinet.com,"Computer & Network Security","$91.9K – $116K a year",,,"Las Vegas",NV,""
2022-03-09,"Director of Public Relations","Reflex Media Inc.",,,"$94.3K – $119K a year",,"Paradise area","Las Vegas",NV,"89120"
2022-03-08,"General Manager","OIA Global",oiaglobal.com,"Logistics & Supply Chain","$76.3K – $96.7K a year",Remote,,"Hybrid remote in Las Vegas",NV,""
2022-03-09,"Director, Operations","Ayr - Nevada",,,,,"Northwest area",Reno,NV,"89523"
2022-03-10,"Partner Account Manager, AWS (West/Central)",Splunk,splunk.com,"Computer Software",,Remote,,"Remote in Reno",NV,"89521"
2022-03-09,"Project Manager - Data Center Construction","Turner & Townsend",turnerandtownsend.com,Construction,"$81.3K – $103K a year",,,Reno,NV,""
2022-03-10,"HR Operations Manager","Hamilton Company",hamiltoncompany.com,Biotechnology,"$102K – $129K a year",,"East Reno area",Reno,NV,"89502"
2022-03-09,"Laboratory Manager, Pathogen Detection","Nephros, Inc.",,,,,"East Reno area",Reno,NV,"89502"
2022-03-09,"Vice President - Southwest Region",BlueTeam,securityblue.team,"Computer & Network Security","$88.1K – $112K a year",,"Old Northwest-West University area",Reno,NV,"89503"
2022-03-09,"VP Food Nutrition and Environmental Services","HCA Healthcare",ca-valdefrance.fr,Banking,"$102,336 - $173,992 a year",,,Henderson,NV,"89074"
2022-03-09,"Division Director Community Engagement/San Jose","HCA Healthcare",ca-valdefrance.fr,Banking,"$101,442 - $152,173 a year",,,Henderson,NV,"89014"
2022-03-08,"Director of Business Development","P3 Health Group Management,LLC",,,,,"Green Valley South area",Henderson,NV,"89074"
2022-03-10,"Vice President Manufacturing","DESIGNS FOR HEALTH INC",designsforhealth.com,"Health, Wellness & Fitness","$80.2K – $102K a year",,"Green Valley South area",Henderson,NV,"89074"
