DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-10,"LNA-E100, Med Surg, Fulltime 36hrs, Day Shift","Catholic Medical Center",catholicmedicalcenter.org,"Hospital & Health Care","$33.9k - $42.9k a year indeed est.",,"Notre Dame area)",Manchester,NH,"3102"
2022-12-12,"FT Hannaford To Go Expeditor",Hannaford,hannaford.com,,"$27.4k - $34.7k a year indeed est.",,,Manchester,NH,"3104"
2022-12-10,"Security Officer - Unarmed","Allied Universal®",,,"$20 an hour",,,Manchester,NH,"3103"
2022-12-12,"Shortage Control Lead","Burlington Stores",burlingtonstores.jobs,,"$15 an hour",,"Southside area)",Manchester,NH,"3103"
2022-12-10,"Workers' Compensation Claim Representative I",CCMSI,ccmsi.com,Insurance,"$41k - $51.9k a year indeed est.",,"North of Bridge area)",Manchester,NH,"3104"
2022-12-10,"AE - Sales Leader (Full-Time) - US","American Eagle Outfitters",ae-inc.net,,,,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-12-10,"LNA- F200, Fulltime 36hrs, Night Shift","Catholic Medical Center",catholicmedicalcenter.org,"Hospital & Health Care","$33.3k - $42.1k a year indeed est.",,,Manchester,NH,""
2022-12-10,"FT Customer Service Leader",Hannaford,hannaford.com,,"$26.2k - $33.1k a year indeed est.",,"Eaton Heights area)",Manchester,NH,"3104"
2022-12-11,"FT Customer Service Leader",Hannaford,hannaford.com,,"$26.2k - $33.1k a year indeed est.",,,Manchester,NH,"3104"
2022-12-11,"Associate Teacher","Elliot Child Care Center",,,"from $17 an hour",,"Hallsville area)",Manchester,NH,"3103"
2022-12-11,"FT Deli Sales Associate",Hannaford,hannaford.com,,"$28.6k - $36.2k a year indeed est.",,,Manchester,NH,"3104"
2022-12-11,"Class A Tanker & Hazmat Paid 300/Day Salary Run 14-Home 3-5 Days-86-106K/1st yr","Predator Transportation",,,"$300 a day",,,Manchester,NH,""
2022-12-10,"Aerie - Merchandising Team Leader (Assistant Manager) - US","American Eagle Outfitters",ae-inc.net,,,,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-12-10,"Mobile Expert, Metro - Retail Sales",T-Mobile,interseguro.pe,Insurance,"$31.5k - $39.9k a year indeed est.",,"Kalivas Union area)",Manchester,NH,"3103"
2022-12-10,"Aerie - Selling Team Leader (Assistant Manager) - US","American Eagle Outfitters",ae-inc.net,,,,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-12-10,"Aerie - Selling Team Leader (Assistant Manager) - US","American Eagle Outfitters",ae-inc.net,,,,"Lower South Willow/Airport area)",Manchester,NH,"3103"
