DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-10-02,"Medical Records Assistant","Amoskeag Health",amoskeaghealth.org,"Medical Practice","$17 an hour",,"North of Bridge area)",Manchester,NH,"3101"
2022-10-01,"Security Officer Depository Company","Allied Universal®",,,"$18.45 an hour",,,Manchester,NH,"3101"
2022-10-01,"Service Dispatcher","Dead River Company",deadriver.com,"Oil & Energy","estimated $36k - $45.6k a year",,,Manchester,NH,"3108"
2022-10-01,"Airport Building Technician - Aviation - Enterprise","City of Manchester, NH",manchesternh.gov,"Government Administration","$22.72 an hour",,,Manchester,NH,""
2022-10-01,"Lead Driver",Heatable,heatable.com,"Oil & Energy","estimated $30.4k - $38.4k a year",,,Manchester,NH,""
2022-10-01,"PepsiCo Sales Management (Designate)",PepsiCo,pepsico.com,"Food & Beverages",,,,Manchester,NH,""
2022-10-02,"Entry Level Traveling Customer Trainer","Reynolds and Reynolds",reyrey.com,"Computer Software",,,,Manchester,NH,"3101"
2022-09-30,"Delivery Driver - Full Time","Fisher Auto Parts Inc.",,,"estimated $20.2k - $25.6k a year",,"Bakersville area)",Manchester,NH,"3103"
2022-10-01,"Bridge Construction Technician (General Laborer)","Koppers Railroad Structures",koppersrs.com,,"$20 - $22 an hour",,,Manchester,NH,""
2022-10-03,"Retail Cosmetics Counter Manager - Clinique, Mall of New Ham...",Macy’s,,,,,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-10-03,"FT Assistant Produce Sales Manager",Hannaford,hannaford.com,,"estimated $31.3k - $39.7k a year",,,Manchester,NH,"3101"
2022-10-01,"Seeking Wonderful Pre-K Teacher","Colorful Apples Learning Center",,,"$14 - $16 an hour",,"Straw/Smyth area)",Manchester,NH,"3104"
2022-10-01,"Subway Team Lead","Beckwith Restaurant Enterprises LLC - Subway",,,"estimated $22.7k - $28.7k a year",,,Manchester,NH,""
2022-10-03,"Class A Dedicated Home Wkly-6K Sign On-1400-2500/WK",Rudolph,,,"$1,000 a month",,,Manchester,NH,"3102"
2022-10-01,"Holiday Assistant Local Manager-US","Cherry Hill Programs Inc",,,"estimated $28k - $35.4k a year",,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-10-01,"Child Psychologist","LifeStance Health, Inc.",,,"$145,000 - $155,000 a year",,,Manchester,NH,""
2022-10-01,"FT Customer Service Leader",Hannaford,hannaford.com,,"estimated $27.5k - $34.9k a year",,,Manchester,NH,"3104"
2022-10-02,"Team Member - Mall of New Hampshire",Sbarro,,,"estimated $24.7k - $31.3k a year",,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-10-01,"Vending Route Driver","Refreshing New England / Brennan Vending",,,"$20 - $23 an hour",,,Manchester,NH,""
2022-10-01,"Document Scanning Specialist ( Data Entry)","Morgan Records Management, LLC",,,"$15 - $16 an hour",,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-10-01,"Restaurant Server",Applebee's,,,"$4,500 - $7,500 a month",,"Wolfe Park area)",Manchester,NH,"3102"
2022-10-01,"CRM Administrator (Remote)","ITR Economics",itreconomics.com,"Management Consulting","$50,000 - $60,000 a year",Remote,,"Remote in Manchester",NH,"3103"
2022-10-03,"Customer Service Representative - State Farm Agent Team Memb...","Anthony Capraro III - State Farm Agent",trusttc3.com,Insurance,"$40,000 - $50,000 a year",,,Manchester,NH,"3102"
2022-10-05,"Cashier/Customer Service","Dunkin Donuts",dunkindonutscenter.com,Entertainment,"competitive rates + tips! $$$.",,"Lower South Willow/Airport area)",Manchester,NH,"3103"
2022-10-01,Paralegal,"Sakellarios Legal",,,"$45,000 - $60,000 a year",,"Bakersville area)",Manchester,NH,"3101"
2022-10-01,"Criminal Justice Specialist Entry Level","Community Resources for Justice",crj.org,"Individual & Family Services",,,"North of Bridge area)",Manchester,NH,"3101"
2022-10-01,"Office Administrator","CARE COUNSELING SERVICES",,,"$18 - $22 an hour",,"Downtown area)",Manchester,NH,"3101"
2022-10-03,"Maid Services $18/h-$30/h (Willing to Train!!)",USCS,ucsc.edu,"Higher Education","$18 - $30 an hour",,,Manchester,NH,""
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3104"
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3104"
2022-10-01,"Legal Assistant","Cronin Bisson & Zalinsky, P.C.",,,"from $22 an hour",,"North of Bridge area)",Manchester,NH,""
2022-10-01,"Entry Level Community Corrections Specialist","Community Resources for Justice",crj.org,"Individual & Family Services",,,"North of Bridge area)",Manchester,NH,"3101"
2022-10-01,"DSP MANCHESTER","Aspire Living & Learning",allinc.org,"Individual & Family Services","estimated $28.5k - $36.1k a year",,,Manchester,NH,""
2022-10-01,Host/Hostess,"The Common Man | Great American Dining",thecman.com,Hospitality,"estimated $24.4k - $31k a year",,"Goffs Falls area)",Manchester,NH,"3103"
2022-10-01,"Medical Assistant","Avenues Recovery",avenuesrecovery.com,"Hospital & Health Care","estimated $31.2k - $39.4k a year",,,Manchester,NH,"3101"
2022-10-01,Dishwasher,"The Common Man | Great American Dining",thecman.com,Hospitality,"estimated $26.7k - $33.9k a year",,"Goffs Falls area)",Manchester,NH,"3103"
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3104"
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3103"
2022-10-01,"Behavioral Health Technician","Avenues Recovery",avenuesrecovery.com,"Hospital & Health Care","estimated $28.2k - $35.6k a year",,,Manchester,NH,"3101"
2022-10-02,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3104"
2022-10-01,"Crew Person","Dunkin Donuts | NGP Management",ngpmanagement.com,"Food & Beverages","estimated $22.1k - $27.9k a year",,,Manchester,NH,"3109"
