DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-22,"OPERATIONS SUPPORT SPECIALIST","US Citizenship and Immigration Services",uscis.gov,"Government Administration","$40,436 - $79,650 a year",,,Manchester,NH,""
2022-03-22,"OPERATIONS SUPPORT SPECIALIST (RECENT GRADUATE)","US Citizenship and Immigration Services",uscis.gov,"Government Administration","$40,436 - $65,110 a year",,,Manchester,NH,""
2022-03-22,"Social Worker (Caregiver Support Coordinator)","US Veterans Health Administration",va.gov,"Government Administration","$88,850 - $115,510 a year",,,Manchester,NH,""
2022-03-24,"Family Babysitter","WeeCare, Inc.",,,"$10 - $33 an hour",,,Manchester,NH,""
2022-03-24,"Family Nanny","WeeCare, Inc.",,,"$10 - $33 an hour",,,Manchester,NH,""
2022-03-23,"Practical Nurse","US Veterans Health Administration",va.gov,"Government Administration","$39,598 - $66,215 a year",,,Manchester,NH,""
2022-03-23,"Sales Development Specialist - Full Time or Part Time Opport...","Good News Garage LSS Inc",,,"$43K ? $54.4K a year",Remote,,"Remote in Manchester",NH,"03102"
2022-03-23,"Sales Development Specialist - Full Time or Part Time Opport...","Ascentria Care Alliance",ascentria.org,"Individual & Family Services","$37.8K ? $47.8K a year",Remote,,"Remote in Manchester",NH,"03102"
2022-03-23,"Campus Academic Advisor I","Southern New Hampshire University",snhu.edu,"Higher Education","$35.4K ? $44.8K a year",,,Manchester,NH,"03106"
2022-03-23,"Resident Director","Saint Anselm College",anselm.edu,"Higher Education","$43.7K ? $55.3K a year",,,Manchester,NH,"03102"
2022-03-22,"Patient Access Representative II","Conifer Health Solutions",coniferhealth.com,"Hospital & Health Care",,,,Manchester,NH,""
2022-03-22,"Forklift Operator (Temporary)",NYCOA,nycoa.com,Plastics,"$31.4K ? $39.8K a year",,,Manchester,NH,""
2022-03-24,"Department Manager","THE PAPER STORE",thepaperstore.com,Retail,"$39.5K ? $50.1K a year",,,Manchester,NH,"03103"
2022-03-23,"Dental Lab Technician II - Removables","National Dentex",nationaldentex.com,"Hospital & Health Care","$30.6K ? $38.8K a year",,,Manchester,NH,""
2022-03-23,"Emergency Services Dispatcher - Fire - Safety","City of Manchester, NH",manchesternh.gov,"Government Administration","From $19.14 an hour",,,Manchester,NH,""
2022-03-21,"FT Pharmacy Technician",Hannaford,hannaford.com,,,,"Pinardville area",Manchester,NH,"03102"
2022-03-22,"Child Care Assistant - St. Peter's Child Care, Full Time","Catholic Medical Center",catholicmedicalcenter.org,"Hospital & Health Care","$24K ? $30.4K a year",,,Manchester,NH,""
2022-03-23,"RVP I Sales - New Hampshire",Anthem,anthem.com,Insurance,,,"Downtown area",Manchester,NH,"03101"
