DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
23-02-2022,"SYSC ADMINISTRATOR","The State of New Hampshire",nh.gov,"Government Administration","$68,042 - $94,744 a year",,,Manchester,NH,""
24-02-2022,"Full-Time Store Manager Trainee",ALDI,aldi.pl,Retail,"$28 an hour",,,Manchester,NH,""
22-02-2022,"Territory Business Manager",Zoetis,zoetis.com,Pharmaceuticals,,Remote,,"Remote in Manchester",NH,""
24-02-2022,Technician/Calibrator,"Jewell Instruments",jewellinstruments.com,"Electrical/Electronic Manufacturing",,,"Manchester Airport area",Manchester,NH,"03103"
23-02-2022,"Project Manager, Retail Advanced Voice",Comcast,comcast.com,Telecommunications,,,,Manchester,NH,""
22-02-2022,"Director of Admissions (Full Time)","Genesis Healthcare - Hackett Hill Center",,,,,,Manchester,NH,"03102"
23-02-2022,"PCI Compliance Manager","Southern New Hampshire University",snhu.edu,"Higher Education",,Remote,,"Hybrid remote in Manchester",NH,""
24-02-2022,"Region Service Manager","Orkin LLC",,,,,,Manchester,NH,"03102"
22-02-2022,"Marketing Specialist (Martech)","CCA GLOBAL PARTNERS",ccaglobalpartners.com,Retail,,Remote,,"Hybrid remote in Manchester",NH,""
24-02-2022,"Analyst 3, Financial Planning & Analysis",Comcast,comcast.com,Telecommunications,,,,Manchester,NH,"03109"
24-02-2022,"IT Manager","PillPack, LLC",pillpack.com,"Hospital & Health Care",,,"Downtown area",Manchester,NH,"03101"
24-02-2022,"JPMorgan Wealth Management - Private Client Advisor - Market...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Manchester,NH,""
24-02-2022,"Renal Sales Specialist?Renal Metabolic Specialty Team , Manc...",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Manchester,NH,"03111"
24-02-2022,"Product Marketing Manager (Horizon) - Opportunity for Workin...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Manchester",NH,""
24-02-2022,"Construction Materials Testing Technician III","Terracon Consultants, Inc.",,,,,,Manchester,NH,"03103"
24-02-2022,"Scientist - Tissue Systems","United Therapeutics",,,,,"Downtown area",Manchester,NH,"03101"
24-02-2022,"Sales Manager","IMAGINiT Technologies",imaginit.com,"Computer Software",,,,Manchester,NH,""
23-02-2022,"Concrete Foreman","Methuen Construction Company, Inc.",methuenconstruction.com,Construction,,,,Manchester,NH,""
24-02-2022,"Chief Inspector","Kleinfelder, Inc.",kleinfelder.com,"Civil Engineering",,,,Manchester,NH,""
22-02-2022,"Marketing and Admissions Director (Full Time)","Genesis Healthcare - Hackett Hill Center",,,,,,Manchester,NH,"03102"
23-02-2022,"Outside Sales Representative - Electrical",Graybar,graybar.com,Wholesale,,,,Manchester,NH,"03103"
24-02-2022,"General Manager","The Flight Center",flightcenterbc.com,Hospitality,"$65,000 - $80,000 a year",,"Southside area",Manchester,NH,"03103"
