DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-03,"Public Health Representative II","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Youth Advisor North Overnight","Covenant House of NJ",,,"$31.2K – $39.4K a year",,"Central Business District area",Newark,NJ,"7102"
2022-03-02,"Temporary Research Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Customer Service Representative I","New Jersey Institute of Technology",njit.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"Temporary Research Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"Research Associate III","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Visiting Researcher","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"Associate, Global Customer Engagement - Opportunity for Work...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
2022-03-03,"EHS Specialist","Amazon.com Services LLC",amazon.com,Internet,,,,Newark,NJ,""
2022-03-01,"Temporary Research Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Unit Secretary","RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"7112"
2022-03-03,Driver,"Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,,Newark,NJ,"7114"
2022-03-02,"Program Coordinator","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-01,"Customer Service Agent","Alaska Airlines",alaskaair.com,Airlines/Aviation,"$17 an hour",,"Central Business District area",Newark,NJ,"7188"
2022-03-02,"EMT (Part Time)","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care","$39.6K – $50.2K a year",,"University Heights area",Newark,NJ,"7103"
2022-03-01,"Driver's Helper","Watchman Services Inc",,,"Up to $19 an hour",,"Upper Clinton Hill area",Newark,NJ,"7108"
2022-03-02,"Staff Nurse, Family Health Services - Pediatrics","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7103"
2022-03-03,"Registered Nurse (RN) Emergency Department (Nights)","RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"7112"
2022-03-01,"Program Assistant – (Community Doula Services)","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"SHUTTLE DRIVER (H)","ABM Industries",marriott.com,"Computer Software","$28.9K – $36.7K a year",,"Newark Liberty International Airport area",Newark,NJ,"7114"
2022-03-01,"Budget Analyst III","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"Inside Sales Representative, Federal – Multi-cloud Sales Tec...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
2022-03-02,"Administrative Assistant","CRM Residential",,,"$33K – $41.8K a year",,"Upper Vailsburg area",Newark,NJ,"7106"
2022-03-02,"Scanning Solutions Associate (On-Site)",Broadridge,broadridge.com,"Financial Services","$20 an hour",,,Newark,NJ,""
2022-03-03,"DISHWASHER (FULL-TIME)","Compass Group Careers",,,,,,Newark,NJ,""
2022-03-02,"Unit Clerk, Critical Care Services - NICU -Neurological ICU","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care","$34.9K – $44.3K a year",,"University Heights area",Newark,NJ,"7103"
2022-03-02,"Patient Care Technician, Patient Care Services Float Pool","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7103"
2022-03-03,"Scale Attendant",Covanta,covanta.com,"Renewables & Environment",,,,Newark,NJ,"7105"
2022-03-02,"Habilitation Counselor","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"Patient Account Registrar - SMNJ - Admitting","Prime Healthcare",primehealthcare.com,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Dental Assistant II","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Operations manager",Michaels,michaels.com.au,Photography,,,,Newark,NJ,""
2022-03-03,"Package Handler- Switcher FT","FedEx Ground Careers US",,,,,,Newark,NJ,"7105"
2022-02-28,"Engineering Manager - Opportunity for Working Remotely Newar...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
2022-03-02,"JANITOR (FULL-TIME)","Compass Group Careers",,,,,,Newark,NJ,""
2022-03-02,"Regional Operations Manager","Denali Water Solutions, LLC",denaliwater.com,"Environmental Services","$40.9K – $51.7K a year",,"Central Business District area",Newark,NJ,"7102"
2022-03-01,"Research Teaching Specialist III","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-02,"Screening Clinician","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-03-03,"Sales Finance Manager - Opportunity for Working Remotely New...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
2022-03-02,"STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Upper Roseville area",Newark,NJ,"7107"
2022-03-02,"Staff Nurse, Medical/Surgical Services - H Yellow (Medical O...","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7103"
2022-03-03,"Receptionist - Newark","KIPP New Jersey",kippnj.org,"Primary/Secondary Education","$31.1K – $39.3K a year",,,Newark,NJ,""
2022-03-02,"Digital Document Scanning Technician (On-site)",Broadridge,broadridge.com,"Financial Services","$20 an hour",,,Newark,NJ,""
2022-03-01,"Temporary Research Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
