DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-08-20,Orderly,"RWJBarnabas Health",,,,,"Weequahic area)",Newark,NJ,"7112"
2022-08-20,Merchandiser,"Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","$20 an hour",,,Newark,NJ,""
2022-08-20,"Health Community Center Security Guard","Allied Universal®",,,"$15 an hour",,,Newark,NJ,"7105"
2022-08-20,"Store Loss Prevention Investigator",Sephora,sephora.ch,,,,"Downtown area)",Newark,NJ,"7310"
2022-08-21,"Operations Leader","Sephora USA",sephora.com,Retail,,,,Newark,NJ,""
2022-08-20,"Master Data CO-OP","Panasonic Corporation of North America",,,"estimated $45.1k - $57.1k a year",,,Newark,NJ,""
2022-08-20,"Anesthesiology Manager (Days)","RWJBarnabas Health",,,,,"Weequahic area)",Newark,NJ,"7112"
2022-08-20,"Inventory Specialist",WALGREENS,walgreens.com,Retail,,,"Ironbound area)",Newark,NJ,"7105"
2022-08-20,"FOOD SERVICE WORKER (FULL & PART-TIME)","Flik Hospitality Group",flik-usa.com,"Food & Beverages","$17.35 an hour",,"Newark Liberty International Airport area)",Newark,NJ,"7114"
2022-08-20,"Housekeeping Worker-Full Time, Nights","RWJBarnabas Health",,,,,"Weequahic area)",Newark,NJ,"7112"
2022-08-20,"Crisis Worker","RWJBarnabas Health",,,,,"Weequahic area)",Newark,NJ,"7112"
2022-08-19,"Paraprofessional - Newark","KIPP New Jersey",kippnj.org,"Primary/Secondary Education","estimated $32.4k - $41k a year",,,Newark,NJ,""
2022-08-20,Merchandiser,"Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","$20 an hour",,,Newark,NJ,""
2022-08-20,"Guest Service Rep","Marriott International, Inc",,,,,,Newark,NJ,"7114"
2022-08-22,"Sales and Service Leader","Sephora USA",sephora.com,Retail,,,,Newark,NJ,""
