DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-24,"Administrative Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
2022-03-22,"Temporary Research Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
2022-03-24,"Administrative Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
2022-03-23,"Temporary Research Assistant","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
2022-03-22,Scheduler,"RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"07112"
2022-03-22,"SECURITY OFFICER - EDUCATION FACILITY","Gateway Group One",gatewaygroupone.com,"Security & Investigations","$26.8K ? $34K a year",,"Fairmount area",Newark,NJ,"07107"
2022-03-22,"Explosive Detection Canine Handler","MSA Security",msasecurity.net,"Security & Investigations","$43.2K ? $54.8K a year",,"Central Business District area",Newark,NJ,"07102"
2022-03-22,"Scheduler (FT)","RWJBarnabas Health",,,,,"West Side area",Newark,NJ,"07103"
2022-03-24,"Ramp Service Employee - Full-Time","United Airlines Inc.",united.com,Airlines/Aviation,"$17 an hour",,"Central Business District area",Newark,NJ,"07102"
2022-03-24,"Administrative Assistant II","New Jersey Institute of Technology",njit.edu,"Higher Education","$35.2K ? $44.6K a year",,"University Heights area",Newark,NJ,"07102"
2022-03-24,"Project Coordinator/Analyst","New Jersey Institute of Technology",njit.edu,"Higher Education","$75.5K ? $95.7K a year",,"University Heights area",Newark,NJ,"07102"
2022-03-23,"Auto Damage Adjuster - Catastrophe",Progressive,progressivepartnership.co.uk,"Market Research","$49,900 - $66,500 a year",Remote,,"Remote in Newark",NJ,""
2022-03-22,"Warehouse Associate","Bartlett Distribution Services LLC",,,"Up to $23 an hour",,"Upper Clinton Hill area",Newark,NJ,"07108"
