DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
19-02-2022,"RPG Consultant with Impact (CONTRACT) REMOTE",Broadridge,broadridge.com,"Financial Services","$88.4K ? $112K a year",Remote,,"Remote in Newark",NJ,""
19-02-2022,"Principal Clinical Informatics Analyst","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,Remote,,"Remote in Newark",NJ,""
19-02-2022,"Privacy Associate","Horizon Blue Cross Blue Shield of New Jersey",horizonblue.com,Insurance,,,"Ironbound area",Newark,NJ,"07105"
19-02-2022,"Elementary School Science Teacher - Newark","KIPP New Jersey",kippnj.org,"Primary/Secondary Education","$44.7K ? $56.5K a year",,,Newark,NJ,""
19-02-2022,"HubSpot and K-12 Student Enrollment Platforms Systems Analys...","KIPP New Jersey",kippnj.org,"Primary/Secondary Education","$67.5K ? $85.5K a year",,,Newark,NJ,""
19-02-2022,"Elementary School Science Teacher - Newark","KIPP Foundation",kipp.org,"Education Management","$44.7K ? $56.5K a year",,,Newark,NJ,""
19-02-2022,"HR Project Lead (Hybrid - Flexible Options)",Broadridge,broadridge.com,"Financial Services","$65.4K ? $82.8K a year",,,Newark,NJ,""
19-02-2022,"Manager, Supply Chain Business Intelligence (fully remote)","Panasonic Corporation of North America",,,,Remote,,"Remote in Newark",NJ,""
19-02-2022,"Business Analyst with OMS (CONTRACT) REMOTE",Broadridge,broadridge.com,"Financial Services","$104K ? $131K a year",Remote,,"Remote in Newark",NJ,""
19-02-2022,"App Content Experience Manager",Audible,audible.com,Internet,,,,Newark,NJ,""
19-02-2022,"HubSpot and K-12 Student Enrollment Platforms Systems Analys...","KIPP Foundation",kipp.org,"Education Management","$67.5K ? $85.5K a year",,,Newark,NJ,""
19-02-2022,"Recruiting Coordinator, Events Team - Opportunity for Workin...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
20-02-2022,"University Biosafety Officer","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
21-02-2022,"Field Service Specialist","Herc Rentals",hercrentals.com,Construction,,,,Newark,NJ,""
19-02-2022,"Marketing Promotions Production Manager",Audible,audible.com,Internet,,,,Newark,NJ,""
19-02-2022,"Energy Efficiency Account Manager",ICF,icf.com,"Management Consulting",,,,Newark,NJ,""
19-02-2022,"Associate Director","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
20-02-2022,"Technology Group Product Manager (Meter to Cash)",PSEG,pseg.com,Utilities,,Remote,,"Hybrid remote in Newark",NJ,""
18-02-2022,"Staff Nurse, Critical Care Float Pool","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"07103"
20-02-2022,"Software Development Manager",Audible,audible.com,Internet,,,,Newark,NJ,""
19-02-2022,"Enterprise API Delivery Lead (Hybrid - Flexible Options)",Broadridge,broadridge.com,"Financial Services","$132K ? $168K a year",,,Newark,NJ,""
19-02-2022,"Consultant, Multi Cloud, Worldwide Consulting Centers - Oppo...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
19-02-2022,"NextAxiom Software Developer",Leidos,opera.org.au,"Performing Arts",,,"Central Business District area",Newark,NJ,"07102"
18-02-2022,"NextAxiom Software Developer",Leidos,opera.org.au,"Performing Arts",,,"Central Business District area",Newark,NJ,"07102"
19-02-2022,"Store Manager III Market Street","TD Bank",yesbank.com,Banking,,,"Ironbound area",Newark,NJ,"07105"
