DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-26,"Manager, People Analytics","Panasonic Corporation of North America",,,,,,Newark,NJ,""
2022-03-26,"Disability Specialist (Multiple Vacancies)","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"07102"
2022-03-26,"Patient Accounts Representative","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"07103"
2022-03-26,"Change Management Specialist","Panasonic Corporation of North America",,,,,,Newark,NJ,""
2022-03-26,"Project Coordinator (Hybrid - Flexible Options)",Broadridge,broadridge.com,"Financial Services",,Remote,,"Hybrid remote in Newark",NJ,""
2022-03-26,"Intermediate Accountant (Remote)","Ada Inc.",ada.cx,,"$61K ? $77.2K a year",Remote,,"Remote in Newark",NJ,"07106"
2022-03-26,"Business Intelligence Analyst (Hybrid)","Panasonic Corporation of North America",,,,,,Newark,NJ,""
2022-03-26,"Operations Manager - Planning (PNCT)","Ports America",portsamerica.com,Maritime,"$55.5K ? $70.3K a year",,,Newark,NJ,"07114"
2022-03-26,"Operations Manager - Planning (PNCT)","Port Newark Container Terminal LLC",pnct.net,Transportation/Trucking/Railroad,"$55.5K ? $70.3K a year",,,Newark,NJ,"07114"
2022-03-28,"Lead Energy Analyst",PSEG,pseg.com,Utilities,,,"Central Business District area",Newark,NJ,"07101"
2022-03-26,"Services Delivery Executive - Opportunity for Working Remote...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
2022-03-25,"Data Integration Specialist - Healthcare (East)",Qlik,qlik.com,"Computer Software",,Remote,,"Remote in Newark",NJ,""
2022-03-26,"US Ocean Freight Data & Process Analyst",DHL,dhl.com,"Logistics & Supply Chain",,,,Newark,NJ,""
2022-03-26,"Outside Sales Account Manager (Multi-family) Newark, NJ)","HD Supply",hdsupply.com,Wholesale,,Remote,,"Remote in Newark",NJ,""
