DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
03-03-2022,"Manager, IT Project Management",InvestCloud,investcloud.com,"Financial Services",,,"Forest Hill area",Newark,NJ,"07104"
28-02-2022,"Director, Cloud Solutions - Opportunity for Working Remotely...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
03-03-2022,"Assistant Director of Procurement Services","New Jersey Institute of Technology",njit.edu,"Higher Education","$63.5K ? $80.3K a year",,"University Heights area",Newark,NJ,"07102"
01-03-2022,"Principal Solutions Architect, ERP","GE Appliances",geappliancesco.com,"Consumer Goods",,,,Newark,NJ,""
28-02-2022,"Director of Product Management - Cloud Provider - Opportunit...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
28-02-2022,"Technical Software Development Lead - Desired State Platform...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Newark",NJ,""
02-03-2022,"Director, Program Management","NJ TRANSIT",njtransit.com,Transportation/Trucking/Railroad,"$113K ? $143K a year",,"Ironbound area",Newark,NJ,"07105"
03-03-2022,"Construction Program Manager ? Complex Bridges","NJ TRANSIT",njtransit.com,Transportation/Trucking/Railroad,"$75.8K ? $96K a year",,"Ironbound area",Newark,NJ,"07105"
02-03-2022,"Deputy Chief Construction Management","NJ TRANSIT",njtransit.com,Transportation/Trucking/Railroad,"$94.3K ? $119K a year",,"Ironbound area",Newark,NJ,"07105"
01-03-2022,Controller,"Newark Museum",newarkmuseum.org,"Museums & Art Galleries, Cultural","$120,000 a year",,"Central Business District area",Newark,NJ,"07102"
03-03-2022,"Director Network Management",Anthem,anthem.com,Insurance,"$81.1K ? $103K a year",,"Journal Square area","Jersey City",NJ,"07306"
01-03-2022,"Vice President- Capital Market Surveillance Investigator","BNP Paribas",group.bnpparibas,Banking,,,"The Waterfront area","Jersey City",NJ,"07310"
02-03-2022,"JPM Payments - CS&I Strategic Program Group - Lead of Ops. D...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Jersey City",NJ,""
03-03-2022,"Program Director, Security Technology","The Port Authority of New York and New Jersey",jointheportauthority.com,Transportation/Trucking/Railroad,,,"Downtown area","Jersey City",NJ,"07310"
01-03-2022,"WLCR Project Management Lead",Citi,citigroup.com,"Financial Services",,,"The Waterfront area","Jersey City",NJ,"07310"
03-03-2022,"Principal Solution Architect, AWS Identity, AWS Resource Man...","Amazon Dev Center U.S., Inc.",,,,Remote,,"Hybrid remote in Jersey City",NJ,""
02-03-2022,"Application Engineering Lead",Citi,citigroup.com,"Financial Services",,,"The Waterfront area","Jersey City",NJ,"07310"
01-03-2022,"Data Management Application Specialist","Sumitomo Mitsui Banking Corporation",smbcgroup.com,"Financial Services",,,"Downtown area","Jersey City",NJ,"07311"
03-03-2022,"Experienced Hire Talent Acquisition Vice President, Asset Ma...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Jersey City",NJ,""
01-03-2022,"Operational Risk","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,"The Waterfront area","Jersey City",NJ,"07310"
03-03-2022,"Marketing Project Manager",ISO,commercialplasticswi.com,,"$80.9K ? $102K a year",,,"Jersey City",NJ,""
03-03-2022,"Director, Human Resources IT",AIG,aig.com,Insurance,,,,"Jersey City",NJ,""
01-03-2022,"Marketing Manager",Berkley,berkley-fishing.com,Internet,"$92K ? $116K a year",,"The Waterfront area","Jersey City",NJ,"07302"
03-03-2022,"Principal Product Manager - Technical, AWS Identity, AWS Res...","Amazon Dev Center U.S., Inc.",,,,Remote,,"Hybrid remote in Jersey City",NJ,""
03-03-2022,"Lending PMO Lead",Citi,citigroup.com,"Financial Services",,,"The Waterfront area","Jersey City",NJ,"07310"
02-03-2022,"AI/ML Inventory Product Management Lead - Executive Director","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Jersey City",NJ,""
02-03-2022,"AI Acceleration Strategy Manager - Executive Director","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Jersey City",NJ,""
02-03-2022,"Loan IQ Dev Lead",Citi,citigroup.com,"Financial Services",,,"The Waterfront area","Jersey City",NJ,"07310"
01-03-2022,"Software Engineering Manager (Container Services)","Amazon Web Services, Inc.",,,,,,"Jersey City",NJ,""
03-03-2022,"Software Engineering - VP","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Jersey City",NJ,""
01-03-2022,"Solutions Architect","Bank of America",appianrx.com,"Hospital & Health Care",,,,"Jersey City",NJ,""
02-03-2022,"Product Owner Technology Data Reporting and Analytics","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Jersey City",NJ,""
