DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-11,"Pharmaceutical Education Representative","Ashfield Engage",,,,,,Newark,NJ,""
2022-06-12,"Nurse Practitioner (NP) Cardiac Recovery","RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"7112"
2022-06-11,"Entry Level Surveillance Investigator","DigiStream Investigations, Inc.",,,"$16 an hour",,,Newark,NJ,""
2022-06-11,"Unit Secretary Full time evenings","RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"7112"
2022-06-11,"New Account Operations Administrator - Contract (Remote)",Broadridge,broadridge.com,"Financial Services",,Remote,,"Remote in Newark",NJ,""
2022-06-11,"Weekend Quality Assurance Analyst",Anheuser-Busch,anheuser-busch.com,"Food & Beverages","$32.12 an hour",,,Newark,NJ,"7114"
2022-06-11,"Service Center Support","FedEx Freight",,,"$18.22 an hour",,,Newark,NJ,"7105"
2022-06-11,"Asst Suprv Receiving Svcs","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-06-11,"Housekeeping Worker Full time day","RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"7112"
2022-06-11,"Security Guard","Allied Universal®",,,,,"West Side area",Newark,NJ,"7103"
2022-06-11,"Clinical Data Analyst - SMNJ Infectious Diseases Clinic","Prime Healthcare",primehealthcare.com,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7102"
2022-06-12,"Nurse Practitioner (NP) Lung Transplant (Days)","RWJBarnabas Health",,,,,"Weequahic area",Newark,NJ,"7112"
2022-06-10,"Deputy Head of Schools - New Jersey","KIPP New Jersey",kippnj.org,"Primary/Secondary Education",,,,Newark,NJ,""
2022-06-11,"Explosive Detection Canine Handler","MSA Security",msasecurity.net,"Security & Investigations","$43.3K - $54.9K a year",,"Central Business District area",Newark,NJ,"7102"
2022-06-11,"Mental Health Clinician III","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-06-12,"Lube and Tire Technician","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$19 an hour",,,Newark,NJ,"7114"
2022-06-11,"AMA/Money Market Associate",Broadridge,broadridge.com,"Financial Services",,,,Newark,NJ,""
2022-06-10,"Staff Nurse, Critical Care Services - SICU, Surgical ICU","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7103"
2022-06-10,"School Operations Manager - Newark","KIPP New Jersey",kippnj.org,"Primary/Secondary Education","$49.5K - $62.7K a year",,,Newark,NJ,""
2022-06-11,"Construction Inspector- NICET II",Jacobs,jacobs.com,"Civil Engineering",,,"Central Business District area",Newark,NJ,"7102"
2022-06-11,"Cargo Van Delivery Route Driver","InZone Logistics",inzone-logistics.com,,"From $19.25 an hour",,,Newark,NJ,""
2022-06-12,"Front Desk Security Officer","Allied Universal®",,,"$15.60 an hour",,,Newark,NJ,""
2022-06-12,"Fleet Driver / Transporter - FT (Avis)","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$13 an hour",,,Newark,NJ,"7114"
2022-06-11,"Program Development Specialist III (Logistics Coordinator)","Rutgers University",rutgers.edu,"Higher Education",,,"University Heights area",Newark,NJ,"7102"
2022-06-10,"Staff Nurse, Medical/Surgical Services - D Green","University Hospital, Newark NJ",uhnj.org,"Hospital & Health Care",,,"University Heights area",Newark,NJ,"7103"
2022-06-13,"Technical Sales Specialist - Regenerative Medicine","Thermo Fisher Scientific",rwenpower.com,,,,,Newark,NJ,""
2022-06-12,"Housing Security Guard","Allied Universal®",,,"$15 an hour",,,Newark,NJ,""
2022-06-12,"Lube and Tire Technician","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$19 an hour",,,Newark,NJ,"7114"
2022-06-12,"Auto C Technician","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$19 an hour",,,Newark,NJ,"7114"
2022-06-12,"Auto C Technician","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$19 an hour",,,Newark,NJ,"7114"
2022-06-12,"Lube and Tire Technician","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$19 an hour",,,Newark,NJ,"7114"
2022-06-13,"Work From Home Customer Service Agent",cooktravel,,,"$55,000 - $65,000 a year",Remote,,"Remote in Newark",NJ,""
2022-06-10,"Clinical Specialist","Minerva Surgical",,,,,,Newark,NJ,"7105"
2022-06-11,"Administrative Assistant - RCA","Catholic Charities",ccsgc.org,"Mental Health Care","$38.4K - $48.6K a year",,"Upper Roseville area",Newark,NJ,"7107"
2022-06-11,"Production Assistant","Indus Apparel",,,"From $15 an hour",Remote,,"Hybrid remote in Newark",NJ,"7101"
2022-06-11,"Level 2 CSR Tier 1",InspiriTec,inspiritec.org,"Information Technology & Services","$15.25 an hour",,"Central Business District area",Newark,NJ,"7102"
2022-06-12,"Teacher Spanish",MPTCS,,,"$54.5K - $69.1K a year",,"West Side area",Newark,NJ,"7103"
2022-06-11,"Assistant Director-Student Athlete Academic Services & Athle...","Essex County College",essex.edu,"Higher Education","$54K - $68.4K a year",,"University Heights area",Newark,NJ,"7102"
2022-06-10,"PROJECT MANAGER / Estimator","ABCO MAINTENANCE INC. (BIC# 1854)",,,"$30 - $35 an hour",,"South Ironbound area",Newark,NJ,"7101"
2022-06-13,"Assistant General Manager","Courtyard Marriott Newark Downtown",,,"$51.7K - $65.5K a year",,"Central Business District area",Newark,NJ,"7102"
2022-06-12,"Service Associates","Industrial Bank Wash",,,"$26.3K - $33.3K a year",,"Central Business District area",Newark,NJ,"7102"
2022-06-11,"Service Associates","Industrial Bank Wash",,,"$26.3K - $33.3K a year",,,Newark,NJ,"7114"
2022-06-11,"Ad Ops Analyst - Media/Publishing (Hybrid)","Stefanini IT Solution",,,,,,Newark,NJ,""
2022-06-13,"Clinical Research Assistant",Vitalief,,,"$37.2K - $47K a year",,"West Side area",Newark,NJ,"7103"
2022-06-13,"Customer Service Representative - State Farm Agent Team Memb...","Greg Daniels - State Farm Agent",gldaniels.com,,"$40,000 - $50,000 a year",,"Forrest Hill area",Newark,NJ,"7104"
2022-06-13,"Advanced Practice Nurse",Vitalief,,,,,"West Side area",Newark,NJ,"7103"
