DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-19,"Amazon Warehouse Worker","Amazon Warehouse",,,"$15.50 an hour",,"Los Volcanes area)",Albuquerque,NM,"87121"
2022-11-19,"Professional House Cleaner - Full Time - Weekly Pay?","Green Sweep",greensweepnm.com,"Environmental Services","up to $22.25 an hour",,,Albuquerque,NM,""
2022-11-18,"Paid Nurse Aide Training","Bear Canyon Rehabilitation Center",,,,,"Oso Grande area)",Albuquerque,NM,"87111"
2022-11-18,"Paid Nurse Aide Training","Bear Canyon Rehabilitation Center",,,,,"Oso Grande area)",Albuquerque,NM,"87111"
2022-11-20,"Fulfillment Specialist","The Verdes Foundation",verdesfoundation.org,"Health, Wellness & Fitness","from $18 an hour",,"Academy Acres North area)",Albuquerque,NM,"87109"
2022-11-21,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,"Eldorado Heights area)",Albuquerque,NM,"87111"
2022-11-18,"Foster Parent Secretary","The Bair Foundation",bair.org,"Hospital & Health Care","estimated $27.1k - $34.3k a year",,"Uptown area)",Albuquerque,NM,"87110"
2022-11-19,"Internal Communications Specialist - Early Career","Kairos Power",kairospower.com,"Oil & Energy","estimated $60.1k - $76.1k a year",,,Albuquerque,NM,""
2022-11-20,"Grow Assistant","The Verdes Foundation",verdesfoundation.org,"Health, Wellness & Fitness","from $18 an hour",,"University Hts area)",Albuquerque,NM,"87106"
2022-11-19,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,"Heritage Hills area)",Albuquerque,NM,"87122"
2022-11-18,"Paid Nurse Aide Training","The Rehabilitation Center of Albuquerque",,,,,"Academy Acres North area)",Albuquerque,NM,"87109"
2022-11-19,"Entry Level Traveling Customer Trainer","Reynolds and Reynolds",reyrey.com,"Computer Software","$48,000 - $50,000 a year",,,Albuquerque,NM,"87101"
