DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-07-12,"IT Program Manager (Direct Hire)","US Headquarters, NASA",,,"$111,521 - $176,300 a year",,,"New York",NY,""
2022-07-12,"Content Sales Analyst (Temporary)- Remote","A+E Networks",aenetworks.com,Entertainment,,Remote,,"Remote in New York",NY,""
2022-07-12,"NBE/BE (LB Field Examiner) w/ emphasis in Commercial Credit,...","US Office of the Comptroller of the Currency",,,"$137,897 - $256,239 a year",,,"New York",NY,""
2022-07-12,"Lower School Assistant Teachers: Judaic & General Studies","SAR Academy",,,"estimated $28.4k - $36k a year",,"North Riverdale area)","New York",NY,""
2022-07-12,"Human Resources Administrative Assistant","Sesame Workshop",sesameworkshop.org,"Media Production","estimated $45.3k - $57.3k a year",,,"Hybrid remote in New York",NY,"10023"
2022-07-09,"National Communications Coordinator",iMentor,imentor.org,"Nonprofit Organization Management","$55,000 a year",,,"New York",NY,""
2022-07-12,"Customer Service Coordinator","American Airlines",aa.com,Airlines/Aviation,,,,"New York",NY,""
2022-07-09,"Research Data Associate","NYU Langone",nyulangone.org,"Hospital & Health Care",,,"Tudor City area)","New York",NY,"10016"
2022-07-11,"Operations Research Analyst","John Buttine",,,"estimated $62.5k - $79.1k a year",,"Murray Hill area)","New York",NY,"10170"
2022-07-11,"Coordinator, Content Distribution",CBS,cbs.com,Entertainment,,,"Midtown area)","New York",NY,"10019"
2022-07-12,"Community Programs Coordinator","Asphalt Green Inc",asphaltgreen.org,Sports,"estimated $37.6k - $47.6k a year",,"Upper East Side area)","New York",NY,"10128"
2022-07-12,"Administrative Assistant","Bank of America",appianrx.com,"Hospital & Health Care",,,,"New York",NY,""
2022-07-12,"Program Assistant Trade","Global Affairs Canada Locally Engaged Staff...",,,"$62,413 a year",,,"New York",NY,""
2022-07-12,"Lead Medical Support Assistant","US Veterans Health Administration",va.gov,"Government Administration","$52,002 - $67,598 a year",,,"New York",NY,""
2022-07-12,"Media Coordinator",Crossmedia,xmedia.com,"Marketing & Advertising","$43,000 a year",,,"Hybrid remote in New York",NY,"10010"
2022-07-12,"Retail Sales Consultant",AT&T,att.com,Telecommunications,"$55,965 a year",,,"New York",NY,""
2022-07-12,"Data Sales Associate",MarketAxess,marketaxess.com,"Financial Services",,,"Chelsea area)","New York",NY,"10001"
2022-07-10,"2023 - Summer - Consulting Associate - Data and Digital Serv...","RSM US LLP",rsmus.com,Accounting,,,"Midtown area)","New York",NY,"10036"
2022-07-09,"Enrollment Advisor M-Th 8a-7p PST","National University",nu.edu,"Higher Education","estimated $38.7k - $49.1k a year",Remote,,"Remote in New York",NY,"10170"
2022-07-12,"MILITARY PAY TECHNICIAN (RETIRED PAY)","US Defense Finance and Accounting Service",dfas.mil,Accounting,"$36,118 - $52,341 a year",Remote,,"Remote in New York",NY,""
2022-07-12,"General Writer - 4359760",Accenture,cazoodle.com,"Computer Software","$26.77 - $36.77 an hour",,,"New York",NY,""
2022-07-12,"Program Associate","NYU Langone",nyulangone.org,"Hospital & Health Care",,,"Tudor City area)","New York",NY,"10016"
2022-07-10,"Administrative Support Associate","Northwell Health",serc.ac.uk,"Education Management",,,,"New York",NY,""
2022-07-12,"Strategic Account Executive",Experian,experion.com,,,Remote,,"Remote in New York",NY,"10006"
2022-07-10,"Traffic Device Maintainer","NYC Careers",,,"$51,317 - $67,044 a year",,,"New York",NY,""
2022-07-12,"General Writer - 4359765",Accenture,cazoodle.com,"Computer Software","$22.44 - $32.44 an hour",,,"New York",NY,""
2022-07-11,"Director of Product, Content & Data Services","Dotdash Meredith",,,"estimated $111k - $141k a year",,,"New York",NY,"10036"
