DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-02,"Customer Support Specialist","The New York Times",nytimes.com,Newspapers,,Remote,,"Remote in New York",NY,""
2022-04-02,"Entry Level Content Research Assistant",Jerry,getjerry.com,Internet,"$34.6K ? $43.8K a year",,"Chelsea area","New York",NY,"10001"
2022-04-02,"On Air Talent, Script Writer for TikTok/YouTube",Jerry,getjerry.com,Internet,"$63.7K ? $80.7K a year",,"Chelsea area","New York",NY,"10001"
2022-04-02,"Entry-Level People Operations Coordinator - Class of 2022 (F...",Jerry,getjerry.com,Internet,"$52.2K ? $66K a year",Remote,,"Remote in New York",NY,"10001"
2022-03-31,"Human Resources Assistant","Paul, Weiss, Rifkind, Wharton & Garrison LLP",paulweiss.com,"Law Practice","$43K ? $54.4K a year",,"Midtown area","New York",NY,"10019"
2022-04-02,"Associates Program","Simon & Schuster",simonandschuster.com,Publishing,,,"Midtown area","New York",NY,"10020"
2022-04-01,"Assistant Account Executive, Beauty","5W Public Relations",5wpr.com,"Public Relations & Communications","$50.2K ? $63.6K a year",Remote,,"Hybrid remote in New York",NY,""
2022-04-01,"Administrative Assistant ? Art and Photo","The New York Times",nytimes.com,Newspapers,,,,"New York",NY,""
2022-04-02,Server,Noreetuh,noreetuh.com,"Food & Beverages","$30.7K ? $38.9K a year",,"East Village area","New York",NY,"10009"
2022-03-31,"Customer Support Representative (all genders)",Chrono24,chrono24.com,,"$34.2K ? $43.2K a year",,,"New York",NY,""
2022-04-02,"Administrative Coordinator, Quality Care and Health Equity","Planned Parenthood Federation of America",planned.org,,"$55,000 a year",Remote,,"Temporarily Remote in New York",NY,""
2022-03-31,"Theater District Team Member","Shake Shack",shakeshack.com,Hospitality,"$15 an hour",,"Hell's Kitchen area","New York",NY,"10036"
2022-04-02,"DEPARTMENT EXECUTIVE ASSISTANT",Anheuser-Busch,anheuser-busch.com,"Food & Beverages",,,,"New York",NY,""
2022-04-02,"ADMIN ASSISTANT-HOURLY (FULL-TIME)","Morrison Living",morrisonliving.com,"Food & Beverages",,,"Chelsea area","New York",NY,"10001"
2022-03-30,"Analyst - Accounts Payable","AMC Networks Inc.",amcnetworks.com,"Television Stations, Broadcasting, Media & Internet","$53.7K ? $68.1K a year",,,"New York",NY,""
2022-03-31,"Editorial Assistant, Atria Books","Simon & Schuster",simonandschuster.com,Publishing,,,"Midtown area","New York",NY,"10020"
2022-03-31,Receptionist,"Cooley LLP",cooley.com,"Law Practice","$41.6K ? $52.6K a year",,,"New York",NY,""
2022-04-02,"2022 Graduates - Career Development Program",Jerry,getjerry.com,Internet,"$69.1K ? $87.5K a year",,"Chelsea area","New York",NY,"10001"
2022-04-01,"Family Meal","JF Restaurants at The Times Square EDITION",701westnyc.com,,"$42.4K ? $53.8K a year",,,"New York",NY,""
2022-04-02,Server,Palma,,,"$38.7K ? $48.9K a year",,,"New York",NY,""
2022-04-01,"CultureTap Academy Fellows","Weber Shandwick",webershandwick.com,"Public Relations & Communications",,Remote,,"Remote in New York",NY,"10022"
2022-04-02,Bartender,Kochi,kochinyc.com,,"$31.2K ? $39.4K a year",,,"New York",NY,""
2022-04-01,"Asst - Sales","AMC Networks Inc.",amcnetworks.com,"Television Stations, Broadcasting, Media & Internet","$56.8K ? $72K a year",,,"New York",NY,""
