DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-09,"Program Manager, Learning and Development, Google Play Partn...",Google,google.com,Internet,,,"Chelsea area","New York",NY,""
2022-03-09,"Assistant Director of Student Services - Executive Programs","The City University of New York (CUNY)",,,"$62K – $78.4K a year",,,"New York",NY,""
2022-03-10,"Program Officer, Internal Communications","International Rescue Committee",rescue.org,"Nonprofit Organization Management",,Remote,,"Remote in New York",NY,""
2022-03-10,"Project Manager, Admin Programs Team",Meta,meta.org,"Information Technology & Services","$75.5K – $95.5K a year",,,"New York",NY,""
2022-03-09,"Live in Houseman","Crimmins Residential Staffing",crimminsstaffing.com,"Staffing & Recruiting","$75,000 - $80,000 a year",,"Midtown area","New York",NY,"10019"
2022-03-09,"Partner Success Manager","Chapter Medicare",,,"$62.5K – $79.1K a year",Remote,,"Remote in New York",NY,""
2022-03-09,"Career Strategist","The City University of New York (CUNY)",,,"$66,670 - $73,985 a year",,,"New York",NY,""
2022-03-09,"Head of Business Development",360Learning,360learning.com,"Computer Software",,,,"New York",NY,""
2022-03-11,"Human Resources Generalist – Remote or Optional Hybrid",BaubleBar,baublebar.com,Retail,"$62.8K – $79.6K a year",Remote,,"Remote in New York",NY,""
2022-03-10,"Business Manager",Microsoft,microsoft.com,"Computer Software",,,,"New York",NY,""
2022-03-11,"Child Safety Business Intelligence Analyst, Trust and Safety",Google,google.com,Internet,,,"Chelsea area","New York",NY,""
2022-03-11,"Sponsorship Analyst",Paramount,hireparamount.com,"Staffing & Recruiting",,,,"New York",NY,"10036"
2022-03-11,"Development Associate",Womankind,,,"$52,000 - $55,000 a year",Remote,,"Hybrid remote in New York",NY,"10004"
2022-03-11,"Enrollment Advisor - University of Tennessee - MBA",Noodle,noodle.com,"Education Management","$52,000 - $55,000 a year",Remote,,"Remote in New York",NY,"10003"
2022-03-11,"Product Marketing Manager",Scholastic,scholastic.com,Publishing,,,,"New York",NY,""
2022-03-09,"Director, US Corporate Engagement","Catalyst Inc.",catalyst.org,"Nonprofit Organization Management","$60.8K – $77K a year",,,"New York",NY,""
2022-03-11,"Associate Director of College Counseling/College Counselor","Dwight School",dwight.edu,"Education Management","$62.9K – $79.7K a year",,"Upper West Side area","New York",NY,"10024"
2022-03-11,"Customer Experience Specialist",Bobbie,,,,Remote,,"Remote in New York",NY,"10022"
2022-03-09,"Health and Human Services Consultant",Deloitte,deloitte.com,"Management Consulting",,,,"New York",NY,""
2022-03-09,"Vice President, Technology and Digital Recruiting","The New York Times",nytimes.com,Newspapers,,,,"New York",NY,""
2022-03-11,"Risk Solutions Consultant",Google,google.com,Internet,,,"Chelsea area","New York",NY,""
2022-03-10,"Coordinator, Learning & Development",ASPCA,aspca.org,"Nonprofit Organization Management",,,,"New York",NY,""
2022-03-11,"Product Strategy and Operations Lead, YouTube",YouTube,flyvista.aero,,,,,"New York",NY,""
2022-03-09,"Head of Medicare Revenue","Chapter Medicare",,,"$105K – $133K a year",Remote,,"Remote in New York",NY,""
2022-03-09,"Field Marketing, Data & AI",IBM,bionovo.com.cn,"Computer Software",,,"Chelsea area","New York",NY,"10001"
2022-03-10,"Business Development Manager","Pall Corporation",,,,Remote,,"Remote in New York",NY,""
2022-03-09,"Supervising Writer, Fox & Friends","Fox Corporation",foxcorporation.com,"Broadcast Media",,,,"New York",NY,""
2022-03-10,"Technical Business Analyst - (TM1 Support--Pacific Time Zone...",Paramount,hireparamount.com,"Staffing & Recruiting",,Remote,,"Remote in New York",NY,"10036"
2022-03-11,"Events Director, US","Informa Tech",informatech.com,"Information Services","$58.8K – $74.4K a year",,"Tudor City area","New York",NY,"10016"
2022-03-11,"Operational Excellence Manager","Int'l AIDS Vaccine Inc.",,,"$77.3K – $97.9K a year",Remote,,"Remote in New York",NY,"10004"
2022-03-08,"Development Coordinator - Digital Fundraising, Office of Dev...","Memorial Sloan Kettering Cancer Center",,,"$48.5K – $61.3K a year",,"Turtle Bay area","New York",NY,"10017"
2022-03-11,"Program Manager, Professional Services",Splunk,splunk.com,"Computer Software","$85.5K – $108K a year",,"Chelsea area","New York",NY,"10001"
2022-03-11,"Associate Project Manager","Level Studios",level-studios.com,"Marketing & Advertising","$53.6K – $67.8K a year",,"Battery Park area","New York",NY,"10281"
2022-03-11,"Supervisor, Digital Strategy",PlatformGSK,platformgsk.com,,"$66.8K – $84.6K a year",,"SoHo area","New York",NY,"10014"
2022-03-09,"Principal of Business Value Management",Cloudera,cloudera.com,"Computer Software","$129K – $163K a year",Remote,,"Remote in New York",NY,""
2022-03-11,"Customer Service Representative - Work From Home","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,"Remote in New York",NY,"10002"
2022-03-11,"Project Engagement Manager","The New School",parsons.edu,"Higher Education","$89.7K – $114K a year",Remote,,"Remote in New York",NY,"10011"
2022-03-11,"Coordinator, Strategic Planning + Analysis (Product Manager...","Disney Streaming",disneyplus.com,Internet,,,,"New York",NY,""
2022-03-10,"National Events Manager",UiPath,uipath.com,"Computer Software","$67.6K – $85.6K a year",Remote,,"Remote in New York",NY,"10018"
2022-03-09,"Program Associate, NSSR/New University in Exile Consortium","The New School",parsons.edu,"Higher Education","$55,000 - $60,000 a year",,"Greenwich Village area","New York",NY,"10011"
2022-03-08,"Regional Food Safety Manager, North America, Food Safety and...","Amazon.com Services LLC",amazon.com,Internet,,,,"New York",NY,""
2022-03-09,"Modern Work Customer Success Manager",Microsoft,microsoft.com,"Computer Software",,Remote,,"Remote in New York",NY,""
2022-03-09,"Director of Customer Experience","Back Market",backmarket.com,Internet,,,,"New York",NY,""
2022-03-11,"Strategy Associate, Strategic Initiatives","Guardian Life Insurance Company",guardianlife.com,"Financial Services",,,,"New York",NY,""
2022-03-10,"Associate Director, Marketing and Communications","New York University",nyu.edu,"Higher Education",,,"Greenwich Village area","New York",NY,"10012"
2022-03-11,"Asset Management - Data Strategy - Innovation Program Manage...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"New York",NY,""
2022-03-11,"Vice President of Partner Marketing","CAST Software",,,"$133K – $168K a year",,,"New York",NY,""
2022-03-09,"Partner Training & Enablement Manager",Updater,updater.com,Internet,"$85K – $108K a year",,,"New York",NY,""
2022-03-10,"OTIS Assessment Project Leader","International Rescue Committee",rescue.org,"Nonprofit Organization Management",,,,"New York",NY,""
2022-03-10,"Workplace Experience Manager","Cover Genius",covergenius.com,Insurance,"$81.6K – $103K a year",,,"New York",NY,""
2022-03-11,"Director, School Partnerships","Pace University",schimmelcenter.org,"Performing Arts","$66.1K – $83.7K a year",,"Financial District area","New York",NY,"10038"
2022-03-11,"Account Executive Northeast",SugarCRM,sugarcrm.com,"Computer Software",,,,"New York",NY,""
2022-03-11,"Manager, Development","Room To Grow",roomtogrowav.com,Retail,"Up to $90,000 a year",,"Garment District area","New York",NY,"10001"
2022-03-09,"Academic Planning and Administration Manager","The New School",parsons.edu,"Higher Education","$65.4K – $82.8K a year",,"Greenwich Village area","New York",NY,"10011"
2022-03-11,"Executive Specialist","Wells Fargo",climaticsolar.com,"Environmental Services",,,,"New York",NY,""
2022-03-11,"Product Manager",Exiger,exiger.com,"Management Consulting","$71K – $89.8K a year",,"Murray Hill area","New York",NY,"10016"
2022-03-11,"Managed Services Consultant",Outreach,outreach.io,"Computer Software","$59.9K – $75.9K a year",Remote,,"Remote in New York",NY,""
2022-03-09,"Coordinator Communications","Madison Square Garden Entertainment",msg.com,Entertainment,"$47.9K – $60.7K a year",,"Garment District area","New York",NY,"10121"
2022-03-09,"Office Manager",peoplecanfly,peoplecanfly.com,"Computer Games","$64.2K – $81.4K a year",,"Financial District area","New York",NY,"10038"
2022-03-11,"Data Analyst","NYU Langone",nyulangone.org,"Hospital & Health Care",,,,"New York",NY,""
2022-03-11,"Labor Relations Associate","NYC Health + Hospitals",nychealthandhospitals.org,"Hospital & Health Care",,,,"New York",NY,""
2022-03-11,"Digital Asset Content Manager, International Streaming",Paramount,hireparamount.com,"Staffing & Recruiting",,,,"New York",NY,"10036"
2022-03-11,"Manager, Data Solutions",Paramount,hireparamount.com,"Staffing & Recruiting",,,,"New York",NY,"10036"
2022-03-11,"Account Director",Koneksa,koneksahealth.com,Pharmaceuticals,,,,"New York",NY,""
2022-03-10,"Administrative Assistant","Research Foundation of The City University of New...",,,"$40,000 - $42,000 a year",,,"New York",NY,""
2022-03-11,"Case Manager","BI Incorporated (A GEO Company)",,,,,,"New York",NY,""
2022-03-09,"Associate, Development",Realterm,realterm.com,"Real Estate","$62.9K – $79.7K a year",,,"New York",NY,""
2022-03-10,"Technical Recruiter",Scholastic,scholastic.com,Publishing,,Remote,,"Remote in New York",NY,""
2022-03-09,"Deputy Features Director, Lifestyle","Bustle Digital Group",bdg.com,"Online Media","$72.5K – $91.7K a year",,,"New York",NY,""
2022-03-11,"Program Manager (NYC)",iMentor,imentor.org,"Nonprofit Organization Management","$53,000 a year",,,"New York",NY,""
2022-03-11,"Account Executive",Tastemade,tastemade.com,Entertainment,,,"East Village area","New York",NY,"10009"
2022-03-11,"Operations Manager","Courtyard NY Manhattan",,,"$77.7K – $98.3K a year",,"Upper East Side area","New York",NY,"10128"
2022-03-11,"Site Manager","BI Incorporated (A GEO Company)",,,,,,"New York",NY,""
2022-03-10,"Office Manager","RIMES Technologies Corporation",rimes.com,"Software Development & Design, Software, Custom Software & Technical Consulting","$52.4K – $66.4K a year",,,"New York",NY,""
