DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-21,"Staff Assistant","US Customs and Border Protection",cbp.gov,"Government Administration","$63,609 - $82,693 a year",Remote,,"Temporarily Remote in New York",NY,""
2022-06-21,"Editorial Assistant, Little Simon","Simon & Schuster",simonandschuster.com,Publishing,,,"Midtown area","New York",NY,"10020"
2022-06-21,"Coordinator - Ops Support",Maximus,maximus.com,"Government Administration",,,"Financial District area","New York",NY,"10005"
2022-06-21,"Operations Coordinator","Euromoney Institutional Investor PLC",euromoneyplc.com,"Information Services",,,"Midtown area","New York",NY,"10036"
2022-06-21,"Coordinator, Talent Acquisition (Hybrid in several locations...",Paramount,hireparamount.com,"Staffing & Recruiting",,,,"New York",NY,"10036"
2022-06-21,"YDSA Organizer","Democratic Socialists of America",,,"$52,000 a year",,,"New York",NY,""
2022-06-21,"Broadcast Integrator",Paramount,hireparamount.com,"Staffing & Recruiting",,,"Midtown area","New York",NY,"10019"
2022-06-21,"Graduate Admissions Evaluator","Pace University",schimmelcenter.org,"Performing Arts","$46.6K - $59K a year",,,"New York",NY,""
2022-06-21,"Accounts Payable Clerk","Touro University New York",,,"$39K - $49.4K a year",Remote,,"Remote in New York",NY,"10036"
2022-06-21,"Receptionist/Community Associate",Spaces,modern-spaces.net,Retail,"$38.2K - $48.4K a year",Remote,,"Remote in New York",NY,""
2022-06-21,"Inventory Technician I",Astreya,astreya.com,"Information Technology & Services","$36K - $45.6K a year",,,"New York",NY,""
2022-06-21,"FOOD SERVICE WORKER (FULL-TIME AND PART-TIME)","Morrison Living",morrisonliving.com,"Food & Beverages",,,"Upper East Side area","New York",NY,"10075"
2022-06-21,"Research Data Associate, Part-Time","NYU Langone",nyulangone.org,"Hospital & Health Care",,,"Tudor City area","New York",NY,"10016"
2022-06-21,"Coordinator, Media Distribution (Hybrid)",Paramount,hireparamount.com,"Staffing & Recruiting",,,"Midtown area","New York",NY,"10019"
2022-06-21,"Restaurant Office Assistant","Fogo de Chao",fogodechao.com,"Food & Beverages",,,"Midtown area","New York",NY,"10019"
2022-06-21,"Student Marketeer - The New School","Red Bull North America",,,,,,"New York",NY,"10261"
2022-06-21,"Front of House Staff","JF Restaurants at The Times Square EDITION",701westnyc.com,,,,,"New York",NY,""
2022-06-21,"Patient Transitions Navigator – Dalio Center for Health Just...","NewYork-Presbyterian Hospital",nyp.org,"Hospital & Health Care",,,"Washington Heights area","New York",NY,"10032"
2022-06-21,"Relief Doorperson, The Carlton House","Extell Development Company",extell.com,"Real Estate","$20.52 - $27.13 an hour",,"Upper East Side area","New York",NY,"10065"
2022-06-21,"Administrative Coordinator - The Field House","Chelsea Piers",chelseapiers.com,Sports,,,"Chelsea area","New York",NY,"10011"
