DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-10,"ATTENDANT, CATERING (FULL-TIME)","FLIK Lifestyles",,,,,"Turtle Bay area","New York",NY,"10017"
2022-05-10,"Membership Concierge","Life Time",mylifetime.com,"Broadcast Media",,,,"New York",NY,""
2022-05-10,"BARISTA (FULL-TIME)","FLIK Lifestyles",,,,,"Midtown area","New York",NY,"10020"
2022-05-10,"SALES ASSOCIATE - RETAIL","Hard Rock Cafe International (USA), Inc.",,,,,"Midtown area","New York",NY,"10036"
2022-05-10,BUSSER,"Hard Rock Cafe International (USA), Inc.",,,,,"Midtown area","New York",NY,"10036"
2022-05-10,"Guest Service Ambassador (Bell/Door)","The Langham",langhamhotels.com,"Leisure, Travel & Tourism","$37.1K - $46.9K a year",,,"New York",NY,""
2022-05-10,Runner,"Restoration Hardware",restorationhardware.com,"Medical Devices",,,,"New York",NY,""
2022-05-08,"Security Officer - Life Science Research Center","Allied Universal®",,,,,"Financial District area","New York",NY,"10038"
2022-05-10,"Front of House Staff","Caffè Panna",caffepanna.com,"Food & Beverages","$30.7K - $38.9K a year",,,"New York",NY,""
2022-05-10,"Prepared Foods Dishwasher - Full Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Lower East Side area","New York",NY,"10002"
2022-05-10,Shopper,"Citarella Gourmet Market",citarella.com,"Food & Beverages","$29.1K - $36.9K a year",,"Greenwich Village area","New York",NY,"10011"
2022-05-10,"Food Runner","La Pecora Bianca - SoHo",,,"$15 an hour",,,"New York",NY,""
2022-05-10,"Food Runner","La Pecora Bianca - Midtown",,,"$15 an hour",,,"New York",NY,""
2022-05-09,Runner,"Rubirosa Ristorante",rubirosanyc.com,Restaurants,"$32.1K - $40.7K a year",,,"New York",NY,""
2022-05-10,"Storeroom Helper","Gate Gourmet",gategroup.com,Airlines/Aviation,,,,"New York",NY,""
2022-05-10,"Food Runner","La Pecora Bianca - Nomad",lapecorabianca.com,Hospitality,"$15 an hour",,,"New York",NY,""
2022-05-08,"Retail Sales Specialist - $25.40 target hourly earnings, plu...",Humanity,,,"$20 an hour",,,"New York",NY,""
2022-05-10,"COLD FOOD (SALAD) (FULL-TIME)","FLIK Lifestyles",,,,,"Sutton Place area","New York",NY,"10022"
2022-05-08,"Operations Leader",Sephora,sephora.ch,,,,"Murray Hill area","New York",NY,"10017"
2022-05-10,"Food Runner","La Pecora Bianca - Meatpacking",,,"$15 an hour",,,"New York",NY,""
2022-05-10,"Grade 2 Teacher, Our Lady of Lourdes School","Archdiocese of New York",archny.org,"Religious Institutions","$49.7K - $62.9K a year",,"Hamilton Heights area","New York",NY,"10031"
2022-05-10,"Sales Associate",Luxottica,luxottica.com,"Luxury Goods & Jewelry",,,"Sutton Place area","New York",NY,"10022"
2022-05-10,"Patient Care Associate","NYC Health + Hospitals",nychealthandhospitals.org,"Hospital & Health Care",,,,"New York",NY,""
2022-05-10,Barista,"Malibu Farm",malibu-farm.com,Restaurants,"$28.1K - $35.5K a year",,"Financial District area","New York",NY,"10038"
2022-05-08,"Security Officer","Allied Universal®",,,,,,"New York",NY,"10036"
2022-05-09,"Supervisor Patient Access","NewYork-Presbyterian Hospital",nyp.org,"Hospital & Health Care",,,"Washington Heights area","New York",NY,"10032"
2022-05-10,Takeout/Cashier,Veselka,veselka.com,Restaurants,"$29.6K - $37.4K a year",,"East Village area","New York",NY,"10003"
2022-05-08,"Sales Associate",CB2,cb2.com,Retail,,,,"New York",NY,""
2022-05-10,"FOOD SERVICE UTILITY (FULL & PART-TIME)","Morrison Living",morrisonliving.com,"Food & Beverages",,,"Hell's Kitchen area","New York",NY,"10036"
2022-05-10,"Counselor, Children & Family Services Program","Sanctuary For Families Inc.",,,"$60,000 a year",Remote,,"Hybrid remote in New York",NY,"10013"
