DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-22,"Pressure Washer *Start ASAP*",Legacy,givelegacy.com,"Health, Wellness & Fitness","from $800 a week",,,Charlotte,NC,""
2022-09-22,"Solar Sales Representative *ROCKSTARS ONLY*",Legacy,givelegacy.com,"Health, Wellness & Fitness","$100,000 - $150,000 a year",,"North Lake area)",Charlotte,NC,"28216"
2022-09-20,"Coin Processor","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$17.25 an hour",,"Westerly Hills area)",Charlotte,NC,"28208"
2022-09-20,"Material Associate Atrium Health Mercy OR Days FT","Atrium Health",atriumhealth.org,"Hospital & Health Care",,,"Elizabeth area)",Charlotte,NC,"28207"
2022-09-20,"Automotive Title Procurement Specialist","EchoPark Automotive",echopark.com,Automotive,"$20 - $27 an hour",,"Oakhurst area)",Charlotte,NC,"28205"
2022-09-18,"Registrar - Unversity City FT Nights","Atrium Health",atriumhealth.org,"Hospital & Health Care",,,"University City South area)",Charlotte,NC,"28262"
2022-09-20,"Care Associate","Novant Health",qdvc.com,Construction,"estimated $36.6k - $46.4k a year",,"Elizabeth area)",Charlotte,NC,"28204"
2022-09-20,"Crew Scheduler","Piedmont Airlines",piedmont-airlines.com,Airlines/Aviation,,,,Charlotte,NC,""
2022-09-20,"Medical Secretary/Technician","Piedmont Eye Care",,,"estimated $24.6k - $31.2k a year",,"Piper Glen Estates area)",Charlotte,NC,"28277"
2022-09-20,"Fraud Agent I (US)","TD Bank",yesbank.com,Banking,,,,Charlotte,NC,""
2022-09-20,"LD&T Assoc Resource",PepsiCo,pepsico.com,"Food & Beverages","$59,300 - $112,500 a year",,,Charlotte,NC,""
2022-09-18,"Groundskeeper/Porter - 30Six NoDa","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Charlotte,NC,""
2022-09-20,"Warehouse Worker - Fulfillment",Optum,optuminc.com,,,,"Downtown Charlotte area)",Charlotte,NC,"28202"
2022-09-20,"Un-Armed Vault Teller","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$16.75 an hour",,"Westerly Hills area)",Charlotte,NC,"28208"
2022-09-20,"Passport Administration Specialist","City of Charlotte and Mecklenburg County",charlottenc.gov,"Government Administration","$41,945 - $55,052 a year",,"Downtown Charlotte area)",Charlotte,NC,"28202"
2022-09-20,Bellperson,"Marriott International, Inc",,,"$12 an hour",,"Downtown Charlotte area)",Charlotte,NC,"28202"
2022-09-20,"Operations Professional - Global Reference Data Operations A...","Bank of America",appianrx.com,"Hospital & Health Care","estimated $89.6k - $113k a year",,"Fourth Ward area)",Charlotte,NC,"28202"
2022-09-20,"Loss Prevention Officer","Marriott International, Inc",,,,,"Fourth Ward area)",Charlotte,NC,"28202"
2022-09-18,"Teller-40 Hours - Albemarle Square","Wells Fargo",climaticsolar.com,"Environmental Services",,,"Hickory Ridge area)",Charlotte,NC,"28227"
2022-09-20,"Scan Coordinator","Harris Teeter",harristeeter.com,Supermarkets,,,,Charlotte,NC,""
2022-09-18,"FT-Sales Associate - Paint-Closing",Lowe's,lowes.com,Retail,,,"Becton Park area)",Charlotte,NC,"28227"
2022-09-20,"Escalations Associate","Wells Fargo",climaticsolar.com,"Environmental Services",,,,Charlotte,NC,""
2022-09-20,"Building Environmental Technician 012949","UNC Charlotte",uncc.edu,Sports,"$31,200 - $33,000 a year",,"University City South area)",Charlotte,NC,"28262"
2022-09-20,"Data Governance B6","Bank of America",appianrx.com,"Hospital & Health Care","estimated $97.1k - $123k a year",,"Third Ward area)",Charlotte,NC,"28202"
2022-09-17,"Technician - Town & Country Toyota","Sonic Automotive",sonicautomotive.com,Automotive,,,"Sterling area)",Charlotte,NC,"28273"
2022-09-20,"Treasury Fulfillment and Service Advisor-Implemention","Bank of America",appianrx.com,"Hospital & Health Care","estimated $49.5k - $62.7k a year",,,Charlotte,NC,""
2022-09-20,"Installation Technician $2000 B O N U S | Charlotte",CCI,cciproducts.com,Telecommunications,"$50,000 - $80,000 a year",,,Charlotte,NC,""
2022-09-20,"Lot Spec",ADESA,,,"estimated $36k - $45.6k a year",,"Olde Whitehall area)",Charlotte,NC,"28273"
2022-09-20,"Produce Clerk","Harris Teeter",harristeeter.com,Supermarkets,,,,Charlotte,NC,""
2022-09-17,"Document Specialist- Town & Country Ford","Sonic Automotive",sonicautomotive.com,Automotive,,,"North Sharon Amity area)",Charlotte,NC,"28212"
2022-09-20,"Patient Services Specialist- Ballantyne",OrthoCarolina,orthocarolina.com,"Medical Practice","estimated $32.3k - $40.9k a year",,,Charlotte,NC,""
