DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
15-02-2022,"Fine Jewelry Sales Associate","Malay Jewelers",,,"$11 - $15 an hour",,"Northeast Raleigh area",Raleigh,NC,"27616"
15-02-2022,"Utility Worker","Chick-fil-A Rand Village",,,"$10 - $14 an hour",,,Raleigh,NC,"27603"
15-02-2022,"Part Time Sales Ambassador - Crabtree Valley","Lush Handmade Cosmetics",lushusa.com,Cosmetics,,,"Northwest Raleigh area",Raleigh,NC,"27612"
13-02-2022,"Guest Service Clerk PT","Lowes Foods",lowesfoods.com,Supermarkets,,,"Northwest Raleigh area",Raleigh,NC,"27617"
15-02-2022,"Valet Parking Attendant - 3rd Shift","Parking Management Company",parkingmgt.com,Hospitality,"$12 - $20 an hour",,,Raleigh,NC,"27601"
15-02-2022,"Studio Coordinator Receptionist","Waxing The City",waxingthecity.com,"Health, Wellness & Fitness","$11 - $17 an hour",,,Raleigh,NC,""
13-02-2022,"ATV & Dirt-bike Assemblers",KidzLot,kidzlot.com,,"$16 - $18 an hour",,"Northeast Raleigh area",Raleigh,NC,"27616"
14-02-2022,"Solar Consultant","Sunlight Roof & Solar",sunroof.withgoogle.com,"Consumer Services","$100,000 - $212,264 a year",,,Raleigh,NC,""
15-02-2022,"Office Manager/Marketing Coordinator","KC Studio Architecture",,,"$20 - $22 an hour",,"Central area",Raleigh,NC,"27601"
15-02-2022,"Delivery Driver - $15 - $25+ hr - Cross Link Domino's - NEW...",Domino's,,,"$15 - $25 an hour",,"South Raleigh area",Raleigh,NC,"27610"
15-02-2022,"Crew Member / Shift Leader","Tropical Smoothie Cafe",tropicalsmoothiecafe.com,Restaurants,"$10 - $14 an hour",,"Six Forks area",Raleigh,NC,"27609"
14-02-2022,Busser/Host,"First Watch Brier Creek",,,"$10 - $12 an hour",,"Central area",Raleigh,NC,"27617"
15-02-2022,"Field Tech Sales",Asurion,asurion.jp,"Information Technology & Services","From $22.15 an hour",,,Raleigh,NC,""
15-02-2022,"Utility Worker","Chick-fil-A Rand Village",,,"$10 - $14 an hour",,,Raleigh,NC,"27603"
15-02-2022,"Studio Coordinator Receptionist","Waxing The City",waxingthecity.com,"Health, Wellness & Fitness","$11 - $17 an hour",,,Raleigh,NC,""
15-02-2022,"Office Manager/Marketing Coordinator","KC Studio Architecture",,,"$20 - $22 an hour",,"Central area",Raleigh,NC,"27601"
14-02-2022,Busser/Host,"First Watch Brier Creek",,,"$10 - $12 an hour",,"Central area",Raleigh,NC,"27617"
15-02-2022,"Physician Assistant - Correctional Facility","Monterey Consultants",,,"From $80 an hour",,,Raleigh,NC,""
15-02-2022,"Audi Porter/Valet","Leith Automotive Group",leithcars.com,Automotive,,,"Northeast area",Raleigh,NC,"27616"
15-02-2022,"Front Desk Sub","Planet Fitness",planetfitness.co.za,"Health, Wellness & Fitness","$10 an hour",,"Northwest Raleigh area",Raleigh,NC,"27617"
14-02-2022,"Part Time Babysitter","Loving Care Nanny Services",,,"$25 an hour",,,Raleigh,NC,""
15-02-2022,"Urban Outfitters Sales Associate - 400 W. Martin St. Raleigh...","Urban Outfitters",urbn.com,"Apparel & Fashion","$12.24 an hour",,,Raleigh,NC,"27603"
13-02-2022,"Be a successful real estate agent","United Home Group Carolinas Region at Keller...",uhgconnect.com,"Real Estate",,Remote,,"Remote in Raleigh",NC,""
15-02-2022,"Food Service Worker (contrataci?n para)","sushinara inc",sushinarainc.com,,"$14 - $16 an hour",,"Central area",Raleigh,NC,"27603"
15-02-2022,"Administrative Assistant","Mako Medical Laboratories",makomedical.com,"Hospital & Health Care","$13 - $16 an hour",,,Raleigh,NC,""
13-02-2022,"Guest Service Agent","Quality Inn & Suites",,,,,"Northeast Raleigh area",Raleigh,NC,"27604"
15-02-2022,"Service Team",Applebee's,,,,,"Six Forks area",Raleigh,NC,"27609"
15-02-2022,"Host Staff",Applebee's,,,,,"Six Forks area",Raleigh,NC,"27609"
13-02-2022,"Nurse Practitioner","QC Kinetix Raleigh",,,"Up to $500 a day",,"Northwest Raleigh area",Raleigh,NC,"27612"
15-02-2022,Barista,42&lawrence,42lawrence.com,,"From $9 an hour",,"Central area",Raleigh,NC,"27601"
14-02-2022,"Restaurant Server","First Watch Brier Creek",,,,,"Central area",Raleigh,NC,"27617"
14-02-2022,"Customer Service Representative (CSR) - Opening Shifts","Crunch Fitness - Cameron Village",,,"From $12 an hour",,"Hillsborough area",Raleigh,NC,"27605"
14-02-2022,Host,"First Watch Brier Creek",,,"$9 - $13 an hour",,"Central area",Raleigh,NC,"27617"
15-02-2022,"Church Administrator","Martin Street Baptist Church",,,"$1,500 - $2,500 a month",,"South Central area",Raleigh,NC,"27601"
13-02-2022,"Enjoy Your Real Estate Career Every Day! (Training, Leads, 2...","Black Diamond Investments",bdcm.com,"Financial Services","$50,000 - $150,000 a year",,,Raleigh,NC,""
13-02-2022,"McDonalds Team Member","McDonald's Raleigh",,,"$12 - $16 an hour",,"Hillsborough area",Raleigh,NC,"27605"
15-02-2022,"Early Morning Janitor and Cleaner Wanted","Top Job Services LLC",,,"$10 an hour",,,Raleigh,NC,""
14-02-2022,cashier,"Rockin Rolls Sushi Express",,,"$13 - $15 an hour",,"North Raleigh area",Raleigh,NC,"27615"
15-02-2022,"Janitorial Clerk PT","Lowes Foods",lowesfoods.com,Supermarkets,,,"North Raleigh area",Raleigh,NC,"27615"
15-02-2022,"Kennel Assistant","Creedmoor Road Animal Hospital",creedmoorroadanimalhospital.com,Veterinary,"$11 - $13 an hour",,"Northwest area",Raleigh,NC,"27612"
15-02-2022,"Inventory Associate (PT)","WIS International",wisintl.com,Retail,"From $13.25 an hour",,,Raleigh,NC,""
15-02-2022,Bartender,Applebee's,,,,,"Six Forks area",Raleigh,NC,"27609"
15-02-2022,"Part-time Brand Ambassador",LeafGuard,leafguardandmore.com,Construction,"$15 - $18 an hour",,,Raleigh,NC,"27603"
15-02-2022,"Front Office Coordinator","Medi Weightloss",,,"From $14 an hour",,"North Raleigh area",Raleigh,NC,"27615"
15-02-2022,"Door Staff/Door Greeters","Kings Dining & Entertainment",kings-de.com,Restaurants,,,"Falls of Neuse area",Raleigh,NC,"27609"
14-02-2022,Dishwasher,"First Watch Brier Creek",,,"$11 - $14 an hour",,"Central area",Raleigh,NC,"27617"
15-02-2022,"Dining Room Host","Chick-fil-A Rand Village",,,"$10 - $14 an hour",,,Raleigh,NC,"27603"
14-02-2022,"Shift Leader","Clean Juice | North Hills",,,"$12 - $14 an hour",,"Six Forks area",Raleigh,NC,"27609"
15-02-2022,"Wait Staff Assistant","Kings Dining & Entertainment",kings-de.com,Restaurants,,,"Falls of Neuse area",Raleigh,NC,"27609"
13-02-2022,"Labor/ Janitorial","KidzLot LLC",,,"$13 an hour",,"Northeast Raleigh area",Raleigh,NC,"27616"
13-02-2022,"McDonalds Team Member","McDonald's Raleigh",,,"$12 - $15 an hour",,"Northwest Raleigh area",Raleigh,NC,"27613"
15-02-2022,"Veterinary Technician/Assistant (PT)","Armadale Animal Hospital",armadaledvm.com,Veterinary,,,"North Raleigh area",Raleigh,NC,"27615"
