DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
01-03-2022,"Administrative Officer I","City of Charlotte and Mecklenburg County",charlottenc.gov,"Government Administration","$43,861 - $49,000 a year",,"Downtown Charlotte area",Charlotte,NC,"28202"
01-03-2022,"Human Resources Consultant","Duke Energy",duke-energy.com,Utilities,"$59.9K ? $75.9K a year",,,Charlotte,NC,""
01-03-2022,"Global Trainee - Transformation",Husqvarna,husqvarna.com,"Consumer Goods",,,,Charlotte,NC,""
01-03-2022,"Bookkeeping & Payroll Coordinator","Falcone Crawl Space",falconecrawlspace.com,Construction,"$37.9K ? $48.1K a year",,,Charlotte,NC,"28269"
01-03-2022,"Credit Risk Analyst","Bank of America",appianrx.com,"Hospital & Health Care",,,"First Ward area",Charlotte,NC,"28202"
01-03-2022,"Guest Services Agent Full Time","Hendrick Acura",hendrickacura.com,Automotive,,,"East Forest area",Charlotte,NC,"28212"
28-02-2022,"Credit Risk Specialist","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
01-03-2022,"Talent Acquisition Consultant I - Legal","Bank of America",appianrx.com,"Hospital & Health Care",,,"Fourth Ward area",Charlotte,NC,"28202"
28-02-2022,"Website Producer","TOP Agency",topagency.com,"Marketing & Advertising",,,,Charlotte,NC,""
01-03-2022,"Quality, Team Lead","Varo Money",varomoney.com,Banking,"$35.7K ? $45.3K a year",,,Charlotte,NC,""
01-03-2022,"HR Partner, Special Projects","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Charlotte",NC,""
01-03-2022,"Closing Coordinator","LNR Property LLC",lnrpartners.com,"Management Consulting",,,,Charlotte,NC,"28211"
01-03-2022,"Operations Project Consultant (Global Payments)","Bank of America",appianrx.com,"Hospital & Health Care",,,"First Ward area",Charlotte,NC,"28202"
27-02-2022,"Digital Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$61.9K ? $78.3K a year",,,Charlotte,NC,""
01-03-2022,"Broadcast Director","Cox Media Group",coxmediagroup.co,,,,"First Ward area",Charlotte,NC,"28202"
28-02-2022,"Risk Analytics Consultant","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
01-03-2022,"Manager, Treasury","Ally Financial",ally.com,"Financial Services",,,"Downtown Charlotte area",Charlotte,NC,"28202"
