DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
04-03-2022,"Executive Assistant - Human Resources","Truist Financial",truist.com,"Financial Services",,,,Charlotte,NC,"28269"
04-03-2022,"Vendor Manager III","TD Bank",yesbank.com,Banking,,Remote,,"Remote in Charlotte",NC,""
02-03-2022,Scheduler,"Flatiron Construction Corp",flatironcorp.com,Construction,,,"Myers Park area",Charlotte,NC,"28201"
04-03-2022,"Enterprise Customer Accommodations Office Lead","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
03-03-2022,"Customer Success Director- CPG",Numerator,numerator.com,"Market Research",,Remote,,"Remote in Charlotte",NC,""
02-03-2022,"Enterprise Data Asset Leader","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
03-03-2022,"Metaverse Business Strategist",Accenture,cazoodle.com,"Computer Software",,,"Downtown Charlotte area",Charlotte,NC,"28244"
03-03-2022,"Administrative Office portfolio - Property Management Direct...","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
04-03-2022,"Strategic Implementation Lead- Public Affairs","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
03-03-2022,"Property Management - Business Execution Director","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
02-03-2022,"Human Resources Executive","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
04-03-2022,"Business Execution Director - CSBB Financial Crimes Leader","Wells Fargo",climaticsolar.com,"Environmental Services",,,,Charlotte,NC,""
01-03-2022,"Delivery Lead Technology- Data and Analytics Lead","Bank of America",appianrx.com,"Hospital & Health Care",,,"Fourth Ward area",Charlotte,NC,"28202"
03-03-2022,"Principal Group Engineering Manager",Microsoft,microsoft.com,"Computer Software",,,,Charlotte,NC,""
02-03-2022,"Program Manager / Account Manager","CapTech Consulting",captechconsulting.com,"Information Technology & Services",,Remote,,"Hybrid remote in Charlotte",NC,""
03-03-2022,"BURM Risk Identification & Program Monitoring","Truist Financial",truist.com,"Financial Services",,,,Charlotte,NC,"28269"
03-03-2022,"Principal Analytics Consultant","Wells Fargo",climaticsolar.com,"Environmental Services",,,,Charlotte,NC,""
03-03-2022,"Information Cyber Security (ICS) Metrics Governance Director","Wells Fargo",climaticsolar.com,"Environmental Services",,,,Charlotte,NC,""
02-03-2022,"Tax Compliance - Tax Executive","Bank of America",appianrx.com,"Hospital & Health Care",,,"Fourth Ward area",Charlotte,NC,"28202"
04-03-2022,"Director of Administration, Business & Risk","Truist Financial",truist.com,"Financial Services",,,,Charlotte,NC,"28269"
03-03-2022,"Technology Sales Leader - US Southeast",IBM,bionovo.com.cn,"Computer Software",,,"Myers Park area",Charlotte,NC,"28201"
02-03-2022,"Amazon Web Services Enterprise Sales Representative, Charlot...","Amazon Web Services, Inc.",,,,,,Charlotte,NC,""
03-03-2022,"CTO Principal Strategic Execution and Reporting Lead","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
03-03-2022,"Project Manager - Data Center Construction","Turner & Townsend",turnerandtownsend.com,Construction,,,,Charlotte,NC,""
03-03-2022,"Industry X - Digital Manufacturing Operations Associate Dire...",Accenture,cazoodle.com,"Computer Software",,,"Downtown Charlotte area",Charlotte,NC,"28244"
04-03-2022,"Information Solutions Architect",TIAA,tiaa.org,"Financial Services","$151,500 a year",,,Charlotte,NC,""
03-03-2022,"Global Liquidity Management Manager","Bank of America",appianrx.com,"Hospital & Health Care",,,"First Ward area",Charlotte,NC,"28202"
02-03-2022,"Trenchless Technology Lead","Kleinfelder, Inc.",kleinfelder.com,"Civil Engineering",,Remote,,"Hybrid remote in Charlotte",NC,""
02-03-2022,"Enterprise Data Platform Product Leader","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
02-03-2022,"Area Manager","Kleinfelder, Inc.",kleinfelder.com,"Civil Engineering",,,,Charlotte,NC,""
04-03-2022,"Test Program Manager - Insurance","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,Remote,,"Remote in Charlotte",NC,""
04-03-2022,"Director of Risk Management","Lennar Homes",,,,,"Dilworth area",Charlotte,NC,"28202"
02-03-2022,"Field Service Manager","Schneider Electric",se.com,"Electrical/Electronic Manufacturing",,,,Charlotte,NC,""
04-03-2022,"Director, AI/ML Products",TIAA,tiaa.org,"Financial Services","$201,285 a year",,,Charlotte,NC,""
02-03-2022,"Marketing Manager","CapTech Consulting",captechconsulting.com,"Information Technology & Services",,Remote,,"Hybrid remote in Charlotte",NC,""
02-03-2022,"Treasury Management Solutions Architect","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
04-03-2022,"Application Lead - Global Financial Crimes, Core Technology...","Bank of America",appianrx.com,"Hospital & Health Care",,,"Fourth Ward area",Charlotte,NC,"28202"
04-03-2022,"Salesforce Principal Application Architect II",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,"Downtown Charlotte area",Charlotte,NC,"28202"
04-03-2022,"Director-Enterprise Compliance Officer (Analytics/Data Strat...",TIAA,tiaa.org,"Financial Services",,,,Charlotte,NC,""
02-03-2022,"Cloud Architect","CapTech Consulting",captechconsulting.com,"Information Technology & Services",,Remote,,"Hybrid remote in Charlotte",NC,""
03-03-2022,"Service Restoral Architect","Bank of America",appianrx.com,"Hospital & Health Care",,,"Fourth Ward area",Charlotte,NC,"28202"
03-03-2022,"Solutions Architect",AtScale,,,,,,Charlotte,NC,""
02-03-2022,"Solutions Architect","BAE Systems",baesystems.com,"Defense & Space",,,"Ballantyne West area",Charlotte,NC,"28277"
