DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/15/2022,"Oracle ? DocuMaker","Itech US, Inc.",,,,,,Cary,NC,""
2/15/2022,"Manager, Financial Planning & Analysis","Cornerstone Building Brands",cornerstonebuildingbrands.com,"Building Materials",,Remote,,"Remote in Cary",NC,""
2/15/2022,"Oracle ? DocuMaker","Itech US, Inc.",,,,,,Cary,NC,""
2/15/2022,"Lead Network Analyst",Catapult,catapultsports.com,"Computer Software",,,,"Chapel Hill",NC,""
2/13/2022,"Executive Assistant to Executive Staff Business Unit VP/GM","Viavi Solutions",viavisolutions.com,Telecommunications,,,"Perimeter Park area",Morrisville,NC,"27560"
2/15/2022,"Client Success Manager, Beaumont",Ascom,ascom.dk,,,,,Morrisville,NC,"27560"
2/15/2022,"Director Retail Programs",Daymon,daymon.com,"Consumer Goods",,,,Matthews,NC,"28105"
2/15/2022,"AVP Claims Operations","The Travelers Companies, Inc.",,,,Remote,,"Hybrid remote in Charlotte",NC,""
2/15/2022,"Change Management & Culture Leader",Rexroth,boschrexroth.com,"Industrial Automation",,,"Yorkshire area",Charlotte,NC,"28273"
2/14/2022,"Loss Consultant","GuideOne Insurance",guideone.com,Insurance,,,"Piper Glen Estates area",Charlotte,NC,"28277"
2/15/2022,"Lead Business System Analyst",TIAA,tiaa.org,"Financial Services","$135,100 a year",,,Charlotte,NC,""
2/13/2022,"VP, Technology Operations",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Charlotte,NC,""
2/15/2022,"Director, Digital Core Portfolio Delivery","Ally Financial",ally.com,"Financial Services",,,"Downtown Charlotte area",Charlotte,NC,"28202"
2/12/2022,"Associate Director, Human Resources","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Charlotte",NC,""
2/15/2022,"Design Manager - Workplace",Gensler,gensler.com,"Architecture & Planning",,,"First Ward area",Charlotte,NC,"28202"
2/15/2022,"Director of Conversational AI","Ally Financial",ally.com,"Financial Services",,,"Downtown Charlotte area",Charlotte,NC,"28202"
2/15/2022,"Site Reliability Engineering","Ally Financial",ally.com,"Financial Services",,,"Downtown Charlotte area",Charlotte,NC,"28202"
2/13/2022,"Lead Business Execution Consultant","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
2/15/2022,"Business Information Security Officer",TIAA,tiaa.org,"Financial Services","$169,000 a year",,,Charlotte,NC,""
2/15/2022,"Web Application Manager Mobile","Ally Financial",ally.com,"Financial Services",,,"Downtown Charlotte area",Charlotte,NC,"28202"
2/12/2022,"DIRECTOR OF USER SUPPORT SERVICES","Compass Corporate",compass-canada.com,"Food & Beverages",,,"Eagle Lake area",Charlotte,NC,"28217"
2/15/2022,"Lead Business System Analyst",TIAA,tiaa.org,"Financial Services","$135,100 a year",,,Charlotte,NC,""
2/15/2022,"Supply Chain Director","EnPro Industries",enproindustries.com,"Mechanical Or Industrial Engineering",,Remote,,"Hybrid remote in Charlotte",NC,""
2/13/2022,"Sales Executive, Info Solutions","Rockwell Automation",rockwellautomation.com,"Industrial Automation",,,"Myers Park area",Charlotte,NC,"28201"
2/14/2022,"Global Account Manager - Medical","Altra Industrial Motion Corp.",altramotion.com,"Electrical/Electronic Manufacturing",,Remote,,"Remote in Charlotte",NC,""
2/14/2022,"Project Architect III","Perkins Eastman",perkinseastman.com,"Architecture & Planning",,,"Downtown Charlotte area",Charlotte,NC,"28202"
2/14/2022,"Foundry Customer Technical Lead",Intel,intel.in,"Information Technology & Services",,,"Northeast area",Raleigh,NC,"27616"
2/15/2022,"Director Training and Development","PrimePay, LLC.",primepay.com,"Computer Software",,,"Falls of Neuse area",Raleigh,NC,"27609"
2/12/2022,"Principal Marketing & Sales Strategist","First Citizens Bank",firstcitizens.com,Banking,,,"Falls of Neuse area",Raleigh,NC,"27609"
2/15/2022,"Project Manager","S & B Engineers and Constructors",sbec.com,"Oil & Energy",,,,Raleigh,NC,""
2/15/2022,"Associate Vice President Physician Practices - UNC Rex Healt...","UNC Health",unchealthcare.org,"Hospital & Health Care",,,"Northwest area",Raleigh,NC,"27607"
2/15/2022,"OBIEE LEAD","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,,Raleigh,NC,"27601"
2/13/2022,"Principal-Technology Project/Program Management (Network Sal...",AT&T,att.com,Telecommunications,,,,Raleigh,NC,""
2/15/2022,"OBIEE LEAD","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,,Raleigh,NC,""
2/15/2022,"Executive Director, Carolinas Chapter-Charlotte/Raleigh Mark...","Crohns And Colitis Foundation Inc",crohnscolitisfoundation.org,"Nonprofit Organization Management",,,,Raleigh,NC,""
2/15/2022,"Project Manager ? Full Time","Grau Building Company",,,,,,Durham,NC,""
2/13/2022,"Director/VP Squad Leader - Planning & Advice Batch - Plannin...","Fidelity Investments",smcc.edu,"Higher Education",,,,Durham,NC,"27709"
2/12/2022,"Director, MarCom-Life Sciences Exp. Required","Thermo Fisher Scientific",rwenpower.com,,,,,Durham,NC,""
2/14/2022,"Value Stream Manager",Ethos,ethoscare.org,"Hospital & Health Care","$115,000 - $130,000 a year",,,Durham,NC,""
2/15/2022,"Program Project Manager Interiors Operations (Remote)","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Winston-Salem",NC,""
2/15/2022,"Director Loss Management","Essent Guaranty, Inc.",essent.us,Insurance,,,,Winston-Salem,NC,"27104"
2/14/2022,"Director of Quality ( Skilled Nursing LTC )","Ivy Healthcare",ivyhealthcaregroup.com,"Hospital & Health Care",,,,Winston-Salem,NC,""
