DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-02,"Guest Services Representative","Novant Health",qdvc.com,Construction,,,"Elizabeth area",Charlotte,NC,"28204"
2022-06-02,"Customer Support Service Representative III",OrthoCarolina,orthocarolina.com,"Medical Practice",,,,Charlotte,NC,""
2022-06-02,"Customer Care Representative- 2nd Shift","Ally Financial",ally.com,"Financial Services","$20 an hour",Remote,,"Hybrid remote in Charlotte",NC,"28202"
2022-06-03,"Development Analyst","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Charlotte,NC,""
2022-06-02,"Recruiter - Entry Level","Motion Recruitment",motionrecruitment.com,"Staffing & Recruiting",,,,Charlotte,NC,"28226"
2022-06-03,"Receptionist & Switchboard",Ricoh,ricoh-usa.com,"Information Technology & Services",,,,Charlotte,NC,""
2022-06-03,"Donor Notification Specialist, 1st Shift","American Red Cross",redcross.org,"Nonprofit Organization Management",,,,Charlotte,NC,""
2022-06-03,"Development Associate","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Charlotte,NC,""
2022-06-03,"People & Culture Coordinator","Novant Health",qdvc.com,Construction,,,"Myers Park area",Charlotte,NC,"28207"
2022-06-01,"Administrative Assistant",Rambøll,,,"$40.2K - $51K a year",,,Charlotte,NC,""
2022-06-03,"Contact Center Representative- July 18th A.M Charlotte, NC","TD Bank",yesbank.com,Banking,,Remote,,"Remote in Charlotte",NC,""
2022-06-02,"Patient Service Specialist","TRYON MEDICAL PARTNERS PLLC",tryonmed.com,"Hospital & Health Care",,,"Downtown Charlotte area",Charlotte,NC,"28202"
2022-06-02,"Stock Inventory Assistant","American Red Cross",redcross.org,"Nonprofit Organization Management",,,,Charlotte,NC,""
2022-06-02,"Service Desk Agent",Electrolux,electroluxgroup.com,,,,,Charlotte,NC,""
2022-06-03,"Remote Call Center Customer Service Rep $16hr (Eastern Time)","Republic Services",republicservices.com,"Environmental Services","$16 an hour",Remote,,"Remote in Charlotte",NC,"28262"
2022-06-02,"Materials Coordinator","Novant Health",qdvc.com,Construction,,,"Elizabeth area",Charlotte,NC,"28204"
2022-06-01,"Community Relations Administrative Specialist","City of Charlotte and Mecklenburg County",charlottenc.gov,"Government Administration","$43,860 - $49,343 a year",,,Charlotte,NC,""
