DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-06,"Cardiology Technician","Essentia Health",essentiahealth.org,"Hospital & Health Care",,,"Stonebridge area",Fargo,ND,"58103"
2022-03-05,"Purchasing & 42nd Administrative Services Support",Bethany,bethanywv.edu,"Higher Education","$29.8K – $37.8K a year",,"Jefferson/Carl Ben area",Fargo,ND,"58103"
2022-03-05,"Wash Attendant (New, Higher Wages)","Blue Beacon Truck Wash",bluebeacon.com,Automotive,"$18.60 - $21.60 an hour",,"Willow Park area",Fargo,ND,"58103"
2022-03-05,"Customer Service / Product Support Representative","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 - $15 an hour",Remote,,"Remote in Fargo",ND,""
2022-03-05,"Product Support (Set Shift - $15/hr)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$15 an hour",Remote,,"Remote in Fargo",ND,""
2022-03-06,"Reimbursable Billing Technician","US Veterans Health Administration",va.gov,"Government Administration","$40,262 - $52,341 a year",,,Fargo,ND,""
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Roosevelt/NDSU area",Fargo,ND,"58102"
2022-03-05,"Program Analyst","Wanzek Construction Inc.",wanzek.com,Construction,"$53.4K – $67.6K a year",,"Brandt Crossing area",Fargo,ND,"58104"
2022-03-05,"Test Lab Technician","Irby Utilities",,,,,,Fargo,ND,""
2022-03-06,"Housekeeping Aid Leader","US Veterans Health Administration",va.gov,"Government Administration","$17.33 - $20.22 an hour",,"Washington area",Fargo,ND,"58102"
2022-03-05,"Extension Agent, Family and Community Wellness-Leadership an...","North Dakota State University",nodak.edu,,,,,Fargo,ND,""
2022-03-05,"Client Associate","Alerus Financial",alerus.com,"Financial Services","$16 an hour",,"Downtown area",Fargo,ND,"58102"
2022-03-05,"Dental Assistant (General Dentistry Practice)","Aspen Dental",aspendent.com,"Health, Wellness & Fitness",,,"West Acres area",Fargo,ND,"58103"
2022-03-07,R0088:Courier/Non-DOT,"FedEx Express",fedex.com,"Logistics & Supply Chain","$18.01 an hour",,"Village West area",Fargo,ND,"58103"
2022-03-04,"Assistant in Training",Buckle,buckleup.com,"Financial Services",,,"West Acres area",Fargo,ND,"58103"
2022-03-06,"Line Attendant",SCHWAN'S,schwanscompany.com,"Food Production","$15 an hour",,,Fargo,ND,"58102"
2022-03-04,"Management Trainee Program",Buckle,buckleup.com,"Financial Services",,,"West Acres area",Fargo,ND,"58103"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Roosevelt/NDSU area",Fargo,ND,"58102"
2022-03-07,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,"Hawthorne area",Fargo,ND,"58103"
2022-03-04,"Payroll Specialist","R.D. Offutt Company",rdoffuttfarms.com,Farming,"$38.2K – $48.4K a year",,,Fargo,ND,"58102"
2022-03-04,"Retail Merchandise Specialist","Bed Bath & Beyond",bedbathandbeyond.com,Retail,,,"West Acres area",Fargo,ND,"58103"
2022-03-04,"Liquor Store Assistant Manager",Hornbacher's,hornbachers.com,"Food & Beverages",,,"Osgood area",Fargo,ND,"58104"
2022-03-05,"Geek Squad Home Theater Agent- Fargo, ND","Geek Squad",geeksquad.com,"Information Technology & Services",,,"West Acres area",Fargo,ND,"58103"
2022-03-05,"CLEANER (H)","ABM Industries",marriott.com,"Computer Software","$23.7K – $30.1K a year",,,Fargo,ND,"58102"
2022-03-05,"Seasonal/Temporary Turf Maintenance Positions","North Dakota State University",nodak.edu,,"$13 an hour",,,Fargo,ND,""
2022-03-05,"Acute Care Coder HIMS - Remote","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Fargo",ND,""
2022-03-05,"Customer Service (Camping Reservations)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 an hour",Remote,,"Remote in Fargo",ND,""
2022-03-05,"Produce Department Lead",Hornbacher's,hornbachers.com,"Food & Beverages",,,,Fargo,ND,"58103"
2022-03-04,"Full-time Sales Teammate",Buckle,buckleup.com,"Financial Services",,,"West Acres area",Fargo,ND,"58103"
2022-03-05,"Sanitation Associate I",SCHWAN'S,schwanscompany.com,"Food Production","$16 an hour",,,Fargo,ND,"58102"
2022-03-05,"Registered Nurse - Stroke Program Manager","Essentia Health",essentiahealth.org,"Hospital & Health Care",,,"Stonebridge area",Fargo,ND,"58103"
2022-03-06,"Seasonal Laborer - Underground Construction - Fargo, ND",Midco,midcofab.com,Warehousing,,,,Fargo,ND,""
2022-03-05,"Physician - Infectious Disease - Fargo, ND","Essentia Health",essentiahealth.org,"Hospital & Health Care",,,"Stonebridge area",Fargo,ND,"58103"
2022-03-05,"Bakery Department Assistant Manager",Hornbacher's,hornbachers.com,"Food & Beverages",,,,Fargo,ND,"58103"
2022-03-04,"Guest Services Manager",Hornbacher's,hornbachers.com,"Food & Beverages","$39.1K – $49.5K a year",,,Fargo,ND,"58103"
2022-03-05,"Restaurant Team Member - Crew (3415 - NDSU)",Chipotle,,,,,"Washington area",Fargo,ND,"58102"
2022-03-04,"Deli Clerk - Full Time",Hornbacher's,hornbachers.com,"Food & Beverages","$24.9K – $31.5K a year",,,Fargo,ND,"58103"
2022-03-05,"Hygienist - RDH","Aspen Dental",aspendent.com,"Health, Wellness & Fitness",,,"West Acres area",Fargo,ND,"58103"
2022-03-05,"Plate Rolling Machine Operator- 1st shift (Full-Time or Part...","Owen Industries",,,"$31.1K – $39.3K a year",,,Fargo,ND,"58102"
2022-03-05,"Warehouse Order Selector",Sysco,sysco.com,"Food & Beverages","$21.23 an hour",,,Fargo,ND,"58126"
2022-03-05,"Entry-Level Lube Tech","Valvoline Instant Oil Change",timeitlube.com,Automotive,,,"Village West area",Fargo,ND,"58103"
2022-03-04,"Food Runner",Chilis,chilis.com,Restaurants,"$23K – $29.2K a year",,"West Acres area",Fargo,ND,"58103"
2022-03-05,"Enrollment Specialist","Family HealthCare",vernhansen.com,,"$31.8K – $40.2K a year",,"Downtown area",Fargo,ND,"58102"
2022-03-05,"Communications Center Representative","Metro Sales Inc.",metrosales.com,"Business Supplies & Equipment","$27.7K – $35.1K a year",,"Northport area",Fargo,ND,"58102"
2022-03-04,"Accounts Payable Specialist","General Equipment & Supplies, Inc.",genequip.com,Machinery,"$34.2K – $43.2K a year",,,Fargo,ND,"58103"
2022-03-05,"Entry Level Credit Assistant","Cole Papers",colepapers.com,Wholesale,"$27.2K – $34.4K a year",,,Fargo,ND,"58102"
2022-03-05,"Technical Representative","Metro Sales Inc.",metrosales.com,"Business Supplies & Equipment","$28.1K – $35.5K a year",,"Northport area",Fargo,ND,"58102"
2022-03-07,"Kennel Manager",Fetchers,fetchersfm.com,,"$40,000 - $50,000 a year",,"Pointe West area",Fargo,ND,"58104"
2022-03-05,"Customer Service Representative/Receptionist","Dakota Monument Company",,,"$15.00 - $16.50 an hour",,"Lincoln area",Fargo,ND,"58103"
2022-03-05,"Business Administrator",701x,701x.com,"Electrical/Electronic Manufacturing","$40,000 - $55,000 a year",,"Downtown area",Fargo,ND,"58103"
2022-03-07,"Retail Manager","Power Plate Meals",powerplatemeals.com,"Food & Beverages","$18 - $25 an hour",,,Fargo,ND,"58103"
2022-03-06,"Chiropractic Assistant","Fetzer Family Chiropractic",,,"From $17 an hour",,"West Acres area",Fargo,ND,"58103"
2022-03-05,"Test Lab Technician",Irby,,,,,,Fargo,ND,""
2022-03-05,"Contract Administrator","Subsurface, Inc",,,"$55,000 - $75,000 a year",,"Westgate area",Fargo,ND,"58103"
2022-03-07,"Data Collection Technician - Agriculture","Riderflex - Recruiting & Sourcing",riderflex.com,"Staffing & Recruiting","Up to $15 an hour",,,Fargo,ND,""
2022-03-07,"Delivery Driver/Warehouse","Conlin's Furniture",conlins.com,Furniture,"From $18 an hour",,"Village West area",Fargo,ND,"58103"
2022-03-06,"Drivers - Time for a CHANGE? Will Train for School Bus & Mot...","Valley Bus Company",valleybusllc.com,Transportation/Trucking/Railroad,"$18 an hour",,,Fargo,ND,"58103"
2022-03-06,"Customer Service Team Member","Holiday StationStores 3",,,"From $14 an hour",,"Woodhaven area",Fargo,ND,"58104"
