DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/17/2022,"Account Relationship Manager","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$45,000 - $55,000 a year",Remote,,"Remote in Fargo",ND,""
2/17/2022,"Account Resolution Spec I","Noridian Healthcare Solutions",noridianmedicare.com,"Hospital & Health Care","$16.08 - $26.45 an hour",Remote,,"Remote in Fargo",ND,""
2/15/2022,"Part-Time Student-Supply Management-Fargo ND","John Deere",groupe-adeo.com,,"$39.2K ? $49.6K a year",,,Fargo,ND,"58102"
2/15/2022,"Human Resources Specialist (Employee Relations/Labor Relatio...","US Veterans Health Administration",va.gov,"Government Administration","$44,740 - $103,176 a year",,,Fargo,ND,""
2/16/2022,"Team Trainer","Noridian Healthcare Solutions",noridianmedicare.com,"Hospital & Health Care","$16.08 - $26.45 an hour",Remote,,"Remote in Fargo",ND,""
2/17/2022,"Guest Services Specialist","Chapter Aesthetic Studio",mychapter.com,"Medical Practice","$22.9K ? $29.1K a year",,,Fargo,ND,""
2/16/2022,"Patient Access Representative","Essentia Health",essentiahealth.org,"Hospital & Health Care","$32.1K ? $40.7K a year",,"Woodhaven area",Fargo,ND,"58104"
2/16/2022,"Office Associate II - Public Health Clinic","City of Fargo",fargodome.com,Entertainment,"$24.2K ? $30.6K a year",,"Downtown area",Fargo,ND,"58102"
2/17/2022,"Life Enrichment Coordinator - Full Time","Eventide Senior Living Communities",eventide.org,"Hospital & Health Care",,,,Fargo,ND,"58104"
2/17/2022,"Material Planner","CNH Industrial",cnhindustrial.com,Machinery,"$52.7K ? $66.7K a year",,,Fargo,ND,""
2/16/2022,"Office Associate II - Public Health Clinic","Fargo City Hall",fargond.gov,"Government Administration","$17.40 an hour",,"Jefferson/Carl Ben area",Fargo,ND,"58103"
2/15/2022,"Delivery Driver - Full Time","Factory Motor Parts Company",,,"$27.9K ? $35.3K a year",,"Village West area",Fargo,ND,"58103"
2/15/2022,"Bakery Department Lead",Hornbacher's,hornbachers.com,"Food & Beverages","$37.3K ? $47.3K a year",,,Fargo,ND,"58103"
2/17/2022,"Phone & Data Entry Specialist(Set Schedule/Four 10's)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$14 an hour",Remote,,"Remote in Fargo",ND,""
2/15/2022,"Food Service Worker","US Veterans Health Administration",va.gov,"Government Administration","$15.00 - $17.27 an hour",,"Washington area",Fargo,ND,"58102"
2/17/2022,"Transportation Associate","Amazon.com Services LLC",amazon.com,Internet,,,,Fargo,ND,""
2/17/2022,"Registered Nurse - Community Living Center - Incentive","US Veterans Health Administration",va.gov,"Government Administration","$60,109 - $100,206 a year",,,Fargo,ND,""
2/16/2022,"Golf Course 1st Assistant","Fargo Park District",fargoparks.com,"Recreational Facilities & Services","$32K ? $40.6K a year",,,Fargo,ND,"58103"
2/15/2022,"Delivery Driver - Full Time","Factory Motor Parts",factorymotorparts.com,Automotive,"$27.9K ? $35.3K a year",,"Westgate area",Fargo,ND,"58103"
2/17/2022,"Full-Time Manager-in-Training (Assistant Manager)","Tradehome Shoe Stores, Inc.",tradehome.com,Retail,"$915 a week",,"West Acres area",Fargo,ND,"58103"
2/17/2022,"Full Time Sales Representative","Northern Tool + Equipment",northerntool.com,Retail,"From $15 an hour",,"Amber Valley area",Fargo,ND,"58104"
2/16/2022,"Parts Delivery Driver (Fargo, ND)","Billion Automotive",billionauto.com,Automotive,"$24.6K ? $31.2K a year",,,Fargo,ND,""
2/15/2022,"Weekend Production Associate",Marvin,marvin.com,"Building Materials","$24 an hour",,,Fargo,ND,"58102"
2/17/2022,"Customer Support Representative (Set Shift - $15/hr)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$15 an hour",Remote,,"Remote in Fargo",ND,""
2/15/2022,"Operations Specialist, COBRA","WEX Inc.",wexinc.co.nz,,"$31.4K ? $39.8K a year",,,Fargo,ND,""
2/16/2022,"Retail Sales Consultant",AT&T,att.com,Telecommunications,"$55,965 a year",,,Fargo,ND,""
2/16/2022,"TJMaxx Customer Experience Coordinatore Full Time","TJ Maxx",,,,,"West Acres area",Fargo,ND,"58103"
2/17/2022,"Customer Support Representative","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 - $14 an hour",Remote,,"Remote in Fargo",ND,""
2/17/2022,"Customer Service Representative","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 - $14 an hour",Remote,,"Remote in Fargo",ND,""
2/15/2022,"Credit Specialist","General Equipment & Supplies, Inc",,,"$41.8K ? $53K a year",,"Village West area",Fargo,ND,"58103"
2/17/2022,"Associate Sales Consultant - Trauma - Fargo, ND - FYA01765",IQVIA,iqvia.com,"Hospital & Health Care",,,,Fargo,ND,""
2/16/2022,"Associate Technical Salesforce Developer","Perficient, Inc",perficient.com,"Information Technology & Services","$83K ? $105K a year",,"West Acres area",Fargo,ND,"58103"
2/16/2022,"Positive Behavior Technician","Fargo Public Schools",k12.nd.us,"Education Management","$19.51 - $24.79 an hour",,"Downtown area",Fargo,ND,"58102"
2/17/2022,"Parts Counter","Allstate Peterbilt Group",allstatepeterbilt.com,Transportation/Trucking/Railroad,,,"Pointe West area",Fargo,ND,"58104"
2/16/2022,"Produce Clerk II",Hornbacher's,hornbachers.com,"Food & Beverages",,,"Osgood area",Fargo,ND,"58104"
2/15/2022,"Cooler Worker (Overnights)","Dairy Farmers of America, Inc.",,,"$20.3K ? $25.7K a year",,,Fargo,ND,"58108"
2/17/2022,Buyer,Fastenal,fastenal.com,Wholesale,"$43.2K ? $54.8K a year",,,Fargo,ND,"58103"
2/15/2022,"Carside To Go Server","Applebee's Fargo 13th Ave SW 8",,,"$15 - $20 an hour",,,Fargo,ND,"58103"
2/15/2022,"Production Associate",Marvin,marvin.com,"Building Materials","$20 an hour",,,Fargo,ND,"58102"
2/15/2022,"Applebees Restaurant Host","Applebee's Fargo 13th Ave SW 8",,,"$22.2K ? $28K a year",,,Fargo,ND,"58103"
2/17/2022,"Clinical Assistant - LPN-3","Essentia Health",essentiahealth.org,"Hospital & Health Care","$34.3K ? $43.5K a year",,"Stonebridge area",Fargo,ND,"58103"
2/16/2022,"Quality Inspector - Evening Shift",Marvin,marvin.com,"Building Materials","$32K ? $40.6K a year",,,Fargo,ND,"58102"
2/17/2022,"Parts Counter","Allstate Sales & Leasing Corp",,,,,,Fargo,ND,"58104"
2/17/2022,"Key Holder- Sales, Full Time","Northern Tool + Equipment",northerntool.com,Retail,,,"Amber Valley area",Fargo,ND,"58104"
2/17/2022,"Automotive Detailer - Car Washer","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$18 an hour",,"Hector International Airport area",Fargo,ND,"58102"
2/15/2022,"Smokehouse Meat Clerk II","Cash Wise",cashwise.com,Accounting,"$23.8K ? $30.2K a year",,,Fargo,ND,"58104"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Northport area",Fargo,ND,"58102"
2/15/2022,"Applebees Restaurant Server - Good Servers Earn over $30 / H...","Applebee's Fargo 13th Ave SW 8",,,"From $30 an hour",,,Fargo,ND,"58103"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Northport area",Fargo,ND,"58102"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Westgate area",Fargo,ND,"58103"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Westgate area",Fargo,ND,"58103"
2/16/2022,"DISHWASHER (FULL-TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,"Woodhaven area",Fargo,ND,"58104"
2/17/2022,"Armed Officer","Rochester Armored Car Company, Inc.",,,"$28.7K ? $36.3K a year",,,Fargo,ND,"58102"
2/16/2022,"Accountant - PRACCT","Archway Marketing Services, Inc.",,,"$17 - $19 an hour",,,Fargo,ND,"58104"
2/16/2022,"MyStylist Associate, West Acres- Full Time",Macy?s,,,,,"West Acres area",Fargo,ND,"58103"
2/16/2022,"Parts Delivery","O'Reilly Auto Parts",oreillyauto.com,Retail,,,"Jefferson/Carl Ben area",Fargo,ND,"58103"
2/17/2022,"PCT - Patient Care Technician - Intermediate ICU - Sanford M...","Sanford Health",siouxvalley.org,,,,"Amber Valley area",Fargo,ND,"58104"
2/17/2022,"Line Attendant",SCHWAN'S,schwanscompany.com,"Food Production","$27K ? $34.2K a year",,,Fargo,ND,"58102"
2/17/2022,"Service Writer",FleetPride,fleetpride.com,Transportation/Trucking/Railroad,,,,Fargo,ND,"58102"
