DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/3/2022,"STNA (State Tested Nursing Assistant)","Libertas Nursing Solutions, LLC",,,"$25 - $27 an hour",,,Dayton,OH,""
3/1/2022,"Team Member","Arby's | AES Restaurants",aesrestaurants.com,,,,"Webster Station area",Dayton,OH,"45402"
3/2/2022,"STNA - State Tested Nursing Assistant","Ondek Healthcare",ondekcare.com,"Staffing & Recruiting","$22 - $28 an hour",,,Dayton,OH,""
3/1/2022,"Team Member","Arby's | AES Restaurants",aesrestaurants.com,,,,,Dayton,OH,"45424"
3/1/2022,"Maintenance Assistant","Friendship Village | Senior Living Support Service",,,,,,Dayton,OH,"45426"
3/1/2022,"Team Member","Arby's | AES Restaurants",aesrestaurants.com,,,,"College Hill area",Dayton,OH,"45406"
3/3/2022,"STNA (State Tested Nursing Assistant)","Garden Court",,,"$12 - $16 an hour",,,Dayton,OH,"45426"
3/1/2022,"Team Member","Arby's | AES Restaurants",aesrestaurants.com,,,,,Dayton,OH,"45420"
3/3/2022,"Family Practice MA/LPN/RN","PriMed Physicians",primedphysicians.com,"Hospital & Health Care",,,"Downtown area",Dayton,OH,"45402"
3/2/2022,"Team Member",Panera,panerapeople.com,Restaurants,"Up to $13 an hour",,,Dayton,OH,"45459"
3/2/2022,"Tire Service Technician","Discount Tire",discounttire.com,Automotive,"From $14 an hour",,"Northridge Estates area",Dayton,OH,"45414"
3/2/2022,"Floor Tech","Healthcare Services Group, Inc.",hcsgcorp.com,"Hospital & Health Care",,,"North Riverdale area",Dayton,OH,"45405"
3/1/2022,"Retention Specialist","Goodwill Easter Seals Miami Valley",gesmv.org,"Nonprofit Organization Management",,,"Downtown area",Dayton,OH,"45402"
3/2/2022,"Sewing Machine Operator","Goodwill Easter Seals Miami Valley",gesmv.org,"Nonprofit Organization Management",,,"Downtown area",Dayton,OH,"45402"
3/3/2022,"Wendy's Crew Member",Wendy's,,,"From $12 an hour",,"Northridge Estates area",Dayton,OH,"45414"
3/3/2022,"PRN Speech Language Patholoist","Wood Glen Alzheimer?s Community",,,,,,Dayton,OH,"45449"
3/1/2022,LPN,"Friendship Village | Senior Living Support Service",,,,,,Dayton,OH,"45426"
3/2/2022,"PRN Physical Therapy Assistant","Riverside Healthcare Center (2)",riversidehealthcare.org,"Hospital & Health Care",,,"North Riverdale area",Dayton,OH,"45405"
3/1/2022,"Substance Use Prevention Specialist (Part-Time)","Goodwill Easter Seals Miami Valley",gesmv.org,"Nonprofit Organization Management",,,"Downtown area",Dayton,OH,"45402"
