DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-07,"Quality Auditor at Breweries","Secret Hopper LLC",secrethopper.com,,"$20 an hour",,"Merion Village area",Columbus,OH,"43206"
2022-03-04,"Offsite Invoice Payment Specialist [Data Entry/Remote]","Cass Information Systems, Inc.",cassinfo.com,"Financial Services","$25.7K – $32.5K a year",Remote,,"Remote in Columbus",OH,""
2022-03-05,"UZURV Drivers - Control Your Schedule",UZURV,uzurv.com,"Information Technology & Services","$22 - $26 an hour",,,Columbus,OH,""
2022-03-05,"Site Director -Parkmoor Elementary","YMCA of Central Ohio",ymcacolumbus.org,"Health, Wellness & Fitness","$16 - $17 an hour",,"Forest Park East area",Columbus,OH,"43229"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Preserve North area",Columbus,OH,"43230"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"North Linden area",Columbus,OH,"43224"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Preserve North area",Columbus,OH,"43230"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"North Linden area",Columbus,OH,"43224"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Polaris South area",Columbus,OH,"43240"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,,Columbus,OH,"43232"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Salem Village area",Columbus,OH,"43229"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Polaris South area",Columbus,OH,"43240"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Southside area",Columbus,OH,"43207"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,,Columbus,OH,"43232"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Central Hilltop area",Columbus,OH,"43223"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Southwest area",Columbus,OH,"43223"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Northmoor area",Columbus,OH,"43214"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Maize-Morse area",Columbus,OH,"43229"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Hilltop 2 area",Columbus,OH,"43228"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Tri-Village area",Columbus,OH,"43212"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Knolls West area",Columbus,OH,"43220"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Westchester-Green Countrie area",Columbus,OH,"43228"
2022-03-07,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Milo-Grogan area",Columbus,OH,"43201"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Southside area",Columbus,OH,"43207"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Salem Village area",Columbus,OH,"43229"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Hilltop 2 area",Columbus,OH,"43228"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Northmoor area",Columbus,OH,"43214"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Knolls West area",Columbus,OH,"43220"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Southwest area",Columbus,OH,"43223"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Westchester-Green Countrie area",Columbus,OH,"43228"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Tri-Village area",Columbus,OH,"43212"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Milo-Grogan area",Columbus,OH,"43201"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Central Hilltop area",Columbus,OH,"43223"
2022-03-07,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Maize-Morse area",Columbus,OH,"43229"
2022-03-05,"Botanica/Gift Shop Sales Associate","Franklin Park Conservatory and Botanical Gardens",fpconservatory.org,"Museums & Institutions",,,"Franklin Park area",Columbus,OH,"43203"
2022-03-05,"Environmental Services Associate (Part-time casual, Day, Doc...",OhioHealth,ohiohealth.com,"Hospital & Health Care",,,,Columbus,OH,"43228"
2022-03-04,"Store Driver","Advance Auto Parts",advanceautoparts.com,Retail,,,"Salem Village area",Columbus,OH,"43229"
2022-03-07,"Casual Handler","FedEx Express",fedex.com,"Logistics & Supply Chain",,,"South Central Accord area",Columbus,OH,"43217"
2022-03-06,"In Store Merchandise Scanner",ScanScape,scanscapeusa.com,"Market Research","$14 an hour",,,Columbus,OH,""
2022-03-04,"Aquatics Training Specialist","YMCA of Central Ohio",ymcacolumbus.org,"Health, Wellness & Fitness","$23.6K – $29.8K a year",,"Shepard area",Columbus,OH,"43219"
