DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
27-02-2022,"Lead Learning and Development Specialist-A&A Curriculum Deve...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Columbus,OH,"43215"
28-02-2022,"Loan Processor","Union Bank Company",theubank.com,Banking,,,,Columbus,OH,""
26-02-2022,"Assistant Attorney General","State of Ohio Jobs",,,,Remote,,"Hybrid remote in Columbus",OH,""
27-02-2022,"Assistant General Manager","Hotel Equities",hotelequities.com,Hospitality,"$42.7K ? $54.1K a year",,"Polaris area",Columbus,OH,"43240"
27-02-2022,"Brand Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$60.5K ? $76.5K a year",,,Columbus,OH,""
26-02-2022,"Law Firm Records Specialist","Epiq Systems, Inc.",epiqglobal.com,"Legal Services","$27.9K ? $35.3K a year",,,Columbus,OH,""
26-02-2022,"Patient Safety Specialist- QIS","Nationwide Children's Hospital",nationwidechildrens.org,"Hospital & Health Care",,,"Livingston Park North area",Columbus,OH,"43205"
26-02-2022,"REGION 5 SCHOOL NURSE CONSULTANT (Public Health Nurse Specia...","State of Ohio Jobs",,,"$27.26 an hour",,"Downtown area",Columbus,OH,"43215"
27-02-2022,"Data Governance and Quality Analytics & Cognitive",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Columbus,OH,"43215"
28-02-2022,"Influencer Marketing Manager","TOP Agency",topagency.com,"Marketing & Advertising","$60.6K ? $76.8K a year",,,Columbus,OH,""
26-02-2022,"Customer Service Representative II-PBS C","Trinity Health",trinityhealth.org,"Hospital & Health Care",,,"Easton area",Columbus,OH,"43219"
27-02-2022,"Data Governance and Quality Analytics & Cognitive",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Columbus,OH,"43215"
26-02-2022,"Executive Relationship Manager","UKG (Ultimate Kronos Group)",ukg.com,"Computer Software",,,,Columbus,OH,""
26-02-2022,"Communications Manager","Fugees Family",fugeesfamily.org,"Nonprofit Organization Management","$66.4K ? $84K a year",,"Northeast area",Columbus,OH,"43219"
25-02-2022,"Executive Administrative Assistant - Columbus, OH","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
26-02-2022,"Procurement Operations Project Manager - 4156493",Accenture,cazoodle.com,"Computer Software",,Remote,,"Remote in Columbus",OH,""
27-02-2022,"Customer Experience Sales Guide","DriveTime Automotive Group, Inc.",,,,,"Walnut Creek area",Columbus,OH,"43231"
26-02-2022,"Digital Experience Owner","Huntington Bank",huntington.com,Banking,,,,Columbus,OH,""
27-02-2022,"Marketing Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$55.3K ? $70.1K a year",,,Columbus,OH,""
26-02-2022,"Supervisor Laboratory - Dublin Cancer Center",OhioHealth,ohiohealth.com,"Hospital & Health Care",,,"Clintonville area",Columbus,OH,"43214"
26-02-2022,"Policy Engagement Manager","American Heart Association",heart.org,"Health, Wellness & Fitness",,,"Weinland Park area",Columbus,OH,"43201"
26-02-2022,"Executive Assistant","Sarepta Therapeutics",sarepta.com,Biotechnology,,,,Columbus,OH,""
26-02-2022,"CSO Administrative Coordinator",CAPA,capatexas.com,"Building Materials","$34.9K ? $44.1K a year",,"Downtown area",Columbus,OH,"43215"
27-02-2022,"Federal Contracts Administrators",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Columbus",OH,""
26-02-2022,"3PP Continuous Improvement Manager",Anheuser-Busch,anheuser-busch.com,"Food & Beverages","$100,000 - $112,500 a year",,,Columbus,OH,""
28-02-2022,"Website Producer","TOP Agency",topagency.com,"Marketing & Advertising",,,,Columbus,OH,""
25-02-2022,"Wealth Management, USPB Client Onboarding, Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
27-02-2022,"Commercial Bank - Community Impact Banking - Analytics Solut...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
26-02-2022,Physician,"SUN Behavioral Columbus",sunbehavioral.com,"Mental Health Care",,,"Busch area",Columbus,OH,"43229"
26-02-2022,"Management Analyst","State of Ohio Jobs",,,"$22.15 an hour",,"Downtown area",Columbus,OH,"43215"
28-02-2022,"Reasonable Accommodation Specialist","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
28-02-2022,"Reasonable Accommodation Specialist","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
26-02-2022,"Project Coordinator - RI CHEOR Chisolm","Nationwide Children's Hospital",nationwidechildrens.org,"Hospital & Health Care",,,"Olde Town East area",Columbus,OH,"43205"
25-02-2022,"General Manager","White Castle",whitecastle.com,Restaurants,"$50,541 a year",,"Southwest Airport area",Columbus,OH,"43228"
26-02-2022,"Blood and Marrow Transplant Coordinator",OhioHealth,ohiohealth.com,"Hospital & Health Care",,,"Clintonville area",Columbus,OH,"43214"
26-02-2022,"Care Supervisor",ChenMed,chenmed.com,"Medical Practice",,,"Forest Park East area",Columbus,OH,"43229"
26-02-2022,"Staff RN - Neonatal Intensive Care Unit-Nights",OhioHealth,ohiohealth.com,"Hospital & Health Care",,,"Clintonville area",Columbus,OH,"43214"
25-02-2022,"Marketing Delivery - Engagement","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
26-02-2022,"Customer Journeys & Pre-Initiate Lead","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
27-02-2022,"Quality Specialist II: Bilingual (English/Spanish) REQUIRED","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
26-02-2022,"Brassica Manager","Brassica at Easton",,,"$70,000 - $75,000 a year",,"Northeast area",Columbus,OH,"43219"
26-02-2022,"Associate, Counsel - Litigation Case Oversight and Administr...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
