DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
23-02-2022,"VP Nursing Operations and Capacity Management",OhioHealth,ohiohealth.com,"Hospital & Health Care",,,"Riverview area",Columbus,OH,"43202"
22-02-2022,"Consumer & Community Banking - Control Manager - Payments Di...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
22-02-2022,"Finance & Business Management","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
22-02-2022,"Environmental Portfolio Manager",Leidos,opera.org.au,"Performing Arts",,,"Northeast area",Columbus,OH,"43219"
22-02-2022,"Software Engineering","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
22-02-2022,"Executive Recruiter - Vice President","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
21-02-2022,"Digital Marketing Strategy Lead","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
24-02-2022,"Oracle CX Delivery Lead",Accenture,cazoodle.com,"Computer Software",,,,Columbus,OH,""
23-02-2022,"SaaS Strategist (Acceleration & GTM) - Opportunity for Worki...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Columbus",OH,""
24-02-2022,"ServiceNow Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Columbus",OH,""
24-02-2022,"Director of Service Provider Center of Excellence - Opportun...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Columbus",OH,""
24-02-2022,"Lead Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Columbus",OH,""
23-02-2022,"SAP SuccessFactors Manager",Accenture,cazoodle.com,"Computer Software",,,,Columbus,OH,""
24-02-2022,"Member of Technical Staff (Windows Client Development) - Opp...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Columbus",OH,""
22-02-2022,"Adobe Experience Platform",Accenture,cazoodle.com,"Computer Software",,,,Columbus,OH,""
22-02-2022,"Adobe Experience Manager (AEM) Application Architect",Accenture,cazoodle.com,"Computer Software",,,,Columbus,OH,""
22-02-2022,"Cybersecurity Product Manager","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Columbus,OH,""
