DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-20,"HR Service Center Coordinator-Customer Service","The Ohio State University",,,,,"Weinland Park area",Columbus,OH,"43201"
2022-06-20,"Call representative","Company Grow LLC",grow.com,"Information Technology & Services","$19 - $24 an hour",,"Northwest area",Columbus,OH,"43235"
2022-06-20,"Administrative Professional 4","State of Ohio Jobs",,,"$23.82 an hour",,"Downtown area",Columbus,OH,"43215"
2022-06-20,"Account Specialist (Employer Solutions, Full-time, Remote)",OhioHealth,ohiohealth.com,"Hospital & Health Care",,Remote,,"Remote in Columbus",OH,""
2022-06-20,"Project Coordinator","The Ohio State University Wexner Medical Center",,,"$17.12 - $22.26 an hour",,"The Ohio State University area",Columbus,OH,"43210"
2022-06-20,"Securities Operations Specialist","State Teachers Retirement System of Ohio",strsoh.org,"Financial Services","$65,200 - $71,720 a year",,"Downtown area",Columbus,OH,"43215"
2022-06-20,"Financial Associate","State of Ohio Jobs",,,"$20.31 - $24.71 an hour",,,Columbus,OH,""
2022-06-20,"Data Science Analyst - HR","The Ohio State University",,,,,"Weinland Park area",Columbus,OH,"43201"
2022-06-20,"Data Analyst","The Ohio State University",,,,,"The Ohio State University area",Columbus,OH,"43210"
2022-06-20,"Student Support Liaison (5 positions - Middle Grades)","Educational Service Center of Central Ohio (ESCCO)",,,"$53,426 - $68,323 a year",,"Northeast area",Columbus,OH,"43219"
2022-06-20,"Office Associate","The Ohio State University Wexner Medical Center",,,,,"Necko area",Columbus,OH,"43201"
2022-06-20,"Quality Lab Technician","Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","$20 an hour",,"Port Columbus International Airport area",Columbus,OH,"43219"
2022-06-20,"Global Education Information Assoc","The Ohio State University",,,,,"The Ohio State University area",Columbus,OH,"43210"
2022-06-20,"Pharmacy Technician / Pharm Tech Apprenticeship",WALGREENS,walgreens.com,Retail,,,"Polaris area",Columbus,OH,"43240"
2022-06-20,"Workers' Compensation Underwriter- 20067961","State of Ohio Jobs",,,"$24.71 - $32.65 an hour",,"Downtown area",Columbus,OH,"43215"
2022-06-20,"Open Faculty Search","The Ohio State University",,,,,"The Ohio State University area",Columbus,OH,"43210"
2022-06-20,"Business Development Executive","Vantagepoint ai, LLC",vantagepointsoftware.com,"Computer Software",,,,Columbus,OH,""
2022-06-20,"Reservations Coordinator","The Ohio State University",,,,,"The Ohio State University area",Columbus,OH,"43210"
2022-06-20,"Aviation Safety Assistant (Office Automation)","US Federal Aviation Administration",faa.gov,"Aviation & Aerospace","$41,818 - $60,405 a year",,,Columbus,OH,""
2022-06-20,"Hyper Wellness Representative","Restore Hyper Wellness of Columbus",,,"$29K - $36.8K a year",,"Northeast area",Columbus,OH,"43219"
2022-06-20,"Client Relations Support Representative","Cass Information Systems Inc.",,,,,"Northern Woods area",Columbus,OH,"43231"
2022-06-20,"Research Scientist","The Ohio State University Wexner Medical Center",,,,,"The Ohio State University area",Columbus,OH,"43210"
2022-06-20,"Produce Team Member (Clerk, Floor Service) - Full Time","Whole Foods Market",wholefoodsmarket.com,Supermarkets,,,"Easton area",Columbus,OH,"43219"
2022-06-20,Cashier,"The Cheesecake Factory",thecheesecakefactory.com,Restaurants,,,"Easton area",Columbus,OH,"43219"
2022-06-20,"Social Worker (7 positions)","Educational Service Center of Central Ohio (ESCCO)",,,"$53,426 - $68,323 a year",,"Northeast area",Columbus,OH,"43219"
