DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-07-23,"Server Operations Support","Office of Management and Enterprise Services",,,,,"Capitol Campus area)","Oklahoma City",OK,"73105"
2022-07-22,"Contact Center-Test Scheduling-Work From Home",Mercy,mercy.net,"Hospital & Health Care",,Remote,,"Remote in Oklahoma City",OK,"73134"
2022-07-23,"Patient Services Representative - Pediatric Cardiology- Days","OU Health",ouhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,""
2022-07-23,"Business/Private Banking Credit Analyst","Oklahoma City, OK 73102?(Central Business District area)",,,,,,,,""
2022-07-23,"Medical Technician","U.S. Military Entrance Processing Command",,,"$32,283 - $52,341 a year",Remote,,"Temporarily Remote in Oklahoma City",OK,""
2022-07-24,"Clinic Contact Center - Patient Service Agent, Full Time",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73134"
2022-07-22,"Associate Sales Representative","Oklahoma City, OK",,,,,,,,""
2022-07-24,"Administrative Assistant - High School","Santa Fe South Public Schools",,,"estimated $27.6k - $35k a year",,,"Oklahoma City",OK,"73149"
2022-07-23,"Histotechnician - Full Time Evenings",Mercy,mercy.net,"Hospital & Health Care","estimated $28.6k - $36.2k a year",,,"Oklahoma City",OK,"73120"
2022-07-24,"Documentation Specialist I",Leidos,opera.org.au,"Performing Arts",,,,"Oklahoma City",OK,"73135"
2022-07-23,"Patient Care Technician","Aspen Dental",aspendent.com,"Health, Wellness & Fitness","$12 - $16 an hour",,"Belle Isle area)","Oklahoma City",OK,"73118"
2022-07-23,"Workers' Compensation Analyst","University of Oklahoma",ou.edu,"Higher Education","$56,000 a year",,,"Oklahoma City",OK,"73104"
2022-07-23,"Patient Access Rep - Coletta Oncology",Mercy,mercy.net,"Hospital & Health Care","$250 sign-on bonus available! tuition reimbursement up to $2,000 for continuing education health/den",,,"Oklahoma City",OK,"73120"
2022-07-23,"Advisory Consultant - Corporate Compliance & Operational Ris...",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area)","Oklahoma City",OK,"73102"
2022-07-23,"Security Officer - Front Desk","Allied Universal?",,,,,,"Oklahoma City",OK,"73134"
