DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-19,"Unit Assistant","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73102"
2022-03-19,"Traveling Physicians Assistant","Milan Laser Hair Removal",milanlaser.com,"Health, Wellness & Fitness","$115,000 a year",,,"Oklahoma City",OK,"73102"
2022-03-21,"Program Manager","US Federal Aviation Administration",faa.gov,"Aviation & Aerospace","$116,542 - $180,578 a year",,"Will Rogers World Airport area","Oklahoma City",OK,""
2022-03-21,"Entry Level Marketing / Advertising / Public Relations","MGD Inc.",,,"$40.9K ? $51.9K a year",,,"Oklahoma City",OK,""
2022-03-21,"Pharmacy Technician-Intermittent","US Veterans Health Administration",va.gov,"Government Administration","$40,262 - $52,341 a year",,"Lincoln Terrace area","Oklahoma City",OK,"73104"
2022-03-21,"Supply Technician - Evenings",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Statewide Nursing Opportunities","Department of Mental Health and Substance Abuse...",,,"$59.2K ? $75K a year",,,"Oklahoma City",OK,"73106"
2022-03-20,"Physician- Family Medicine- Oklahoma City, OK",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Supervisor-Environmental Svc",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Behavioral Health Technician","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73119"
2022-03-20,"Food Service Tech II",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-20,"Contract Specialist I","Vision Centric Inc.",vci-hsv.com,"Management Consulting","$47.9K ? $60.7K a year",,,"Oklahoma City",OK,""
2022-03-18,"Patient Escort (lead) _ St. Anthony Hospital",Sodexo,sodexo.com,"Facilities Services","$16.16 an hour",,"Cottage District area","Oklahoma City",OK,"73102"
2022-03-19,"Program & Project Management",Accenture,cazoodle.com,"Computer Software","$25 - $45 an hour",,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-19,"POLICE OFFICER","City of Oklahoma City",okc.gov,"Government Administration","$60,427 - $69,092 a year",,,"Oklahoma City",OK,""
2022-03-19,"Virtual Call Center Customer Experience Associate","Cox Communications Inc",coxenterprises.com,Telecommunications,,Remote,,"Temporarily Remote in Oklahoma City",OK,"73120"
2022-03-19,"FT Master Control and Operations Technician","Hearst Media Services",hearstmediact.com,"Marketing & Advertising","$28.6K ? $36.2K a year",,,"Oklahoma City",OK,"73131"
2022-03-19,"Government Division Processing Specialist (Data Entry)","EZ Messenger",ezmessenger.com,"Legal Services","$12 - $13 an hour",,,"Oklahoma City",OK,""
2022-03-20,"Patient Access Rep-FT-Premium pay for ER",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Customer Service Associate","MGD Inc.",,,"$21.7K ? $27.5K a year",,,"Oklahoma City",OK,""
2022-03-19,"Administrative Law Judge","Corporation Commission",azcc.gov,Utilities,"$90,000 a year",,"Capitol Campus area","Oklahoma City",OK,"73194"
2022-03-20,"Junior Marketing Associate","MGD Inc.",,,"$36.7K ? $46.5K a year",,,"Oklahoma City",OK,""
2022-03-20,"Lab Support Technician - Full Time Days",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Surgery/Scrub Tech (Outpatient Surgery Center)","Mcbride Orthopedic Hospital",mcboh.com,"Hospital & Health Care","$38K ? $48.2K a year",,,"Oklahoma City",OK,"73114"
2022-03-21,"Medicaid Eligibility Advisor",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-20,"Delivery Driver","Mercy Supply Chain (OK)",,,,,,"Oklahoma City",OK,"73120"
2022-03-20,"RN-Assistant Director Office Quality Safety Value (OQSV)","US Veterans Health Administration",va.gov,"Government Administration","$75,163 - $117,951 a year",,"Lincoln Terrace area","Oklahoma City",OK,"73104"
2022-03-19,"Field Technician","Darr Equipment",darrequipment.com,Machinery,"$20 - $38 an hour",,,"Oklahoma City",OK,"73149"
2022-03-19,"Public Safety Officer I",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Financial Representative - Oklahoma City, OK","Fidelity Investments",smcc.edu,"Higher Education",,,,"Oklahoma City",OK,"73116"
2022-03-19,"Retail Receiving Specialist","Bed Bath & Beyond",bedbathandbeyond.com,Retail,,,"Belle Isle area","Oklahoma City",OK,"73116"
2022-03-19,"Maintenance Attendant - Hilton Garden Inn & Homewood Suites...","First Lodging of OKC LLC",,,"$24.4K ? $30.8K a year",,,"Oklahoma City",OK,"73104"
2022-03-19,"Parts Clerk - OKC","SkyWest Airlines",skywest.com,Airlines/Aviation,"$26.7K ? $33.7K a year",,,"Oklahoma City",OK,"73159"
2022-03-18,"Home Health Aide II - Days",Mercy,mercy.net,"Hospital & Health Care","$1,000 a month",,,"Oklahoma City",OK,"73134"
2022-03-19,"FT-Merchandising Service Associate-Day",Lowe's,lowes.com,Retail,,,"I-240 Corridor area","Oklahoma City",OK,""
2022-03-20,"Team Lead","Rack Room Shoes",rackroomshoes.com,Retail,,,,"Oklahoma City",OK,""
2022-03-21,"Anesthesia Technician",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Nurse Resident (Pre-Licensure)","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73102"
2022-03-19,Dishwasher,"Crescent Hotels & Resorts LLC",,,,,,"Oklahoma City",OK,"73102"
2022-03-19,"Functional Testing",Accenture,cazoodle.com,"Computer Software","$25 - $40 an hour",,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-18,"TSA Customer Service Representative","Staples Stores",staplesconnect.com,"Business Supplies & Equipment",,,"I-240 Corridor area","Oklahoma City",OK,"73139"
2022-03-19,"Member Service Officer Floater","Tinker Federal Credit Union",tinkerfcu.org,"Financial Services","$15.03 an hour",,"Meridian Avenue Corridor area","Oklahoma City",OK,"73108"
2022-03-19,"Front Desk Agent","Crescent Hotels & Resorts LLC",,,,,,"Oklahoma City",OK,"73102"
2022-03-19,"Over Night Insurance Agent",Sitel,sitel.com,Outsourcing/Offshoring,"$15 - $17 an hour",,,"Oklahoma City",OK,""
2022-03-21,"Physician Assistant - Mercy Orthopedic Associates - Oklahoma...",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73112"
2022-03-19,"Cytotechnologist - Full Time Days",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Histotechnician - Full Time Nights",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-20,"Patient Transporter, Full Time Evenings Hiring Now",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-18,"Interlibrary Loan Specialist","Oklahoma City University",okcu.edu,"Higher Education","$28.9K ? $36.7K a year",,"Asia District area","Oklahoma City",OK,""
2022-03-19,"FT Personal Banker - Contact Center","MidFirst Bank",midfirst.com,Banking,,,,"Oklahoma City",OK,""
2022-03-21,"Patient Benefit Rep - Gastro",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Procurement Clerk","Vision Centric Inc.",vci-hsv.com,"Management Consulting","$28K ? $35.4K a year",,,"Oklahoma City",OK,""
2022-03-18,RN,"SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73103"
2022-03-19,RN,"SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73102"
2022-03-19,"Patient Benefit Representative",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73134"
2022-03-19,"Patient Access Representative",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73134"
2022-03-19,"CASHIER (Ashley Village North/FT)","MATHIS BROS OKLAHOMA CITY LLC",,,"$20.9K ? $26.5K a year",,,"Oklahoma City",OK,"73120"
2022-03-20,"Project Floor Care Technician","ABM Industries",marriott.com,"Computer Software",,,,"Oklahoma City",OK,"73159"
2022-03-18,"Assistant in Training",Buckle,buckleup.com,"Financial Services",,,"Belle Isle area","Oklahoma City",OK,"73118"
2022-03-19,"Radiology Tech-Outpatient (Full-Time/Days)","Mcbride Orthopedic Hospital",mcboh.com,"Hospital & Health Care","$59.7K ? $75.5K a year",,,"Oklahoma City",OK,"73114"
2022-03-21,"Patient Access Representative",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73134"
2022-03-21,"Nursing Opportunities in Oklahoma",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Patient Access Rep - Coletta Oncology",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Dev Ops",Accenture,cazoodle.com,"Computer Software","$20 - $40 an hour",,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-20,"Customer Experience manager",Michaels,michaels.com.au,Photography,,,,"Oklahoma City",OK,""
2022-03-19,"Clinical Partner- Medical Surgical","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73102"
2022-03-21,"Contract Administrator",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-18,"Patient Access Rep - Primary Care Edmond Memorial",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73131"
2022-03-18,Valet,"ABM Industries",marriott.com,"Computer Software",,,,"Oklahoma City",OK,"73104"
2022-03-20,"Store Support Teammate",Buckle,buckleup.com,"Financial Services",,,"Belle Isle area","Oklahoma City",OK,"73118"
2022-03-20,"Medical Records Specialist - Health Info Systems",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73134"
2022-03-19,"CASHIER (Ashley Village North/FT)","Mathis Brothers Furniture",mathisbrothers.com,Furniture,"$20.9K ? $26.5K a year",,,"Oklahoma City",OK,"73120"
2022-03-19,"Outside Sales Representative","Clements Fluids",clementsfluids.com,"Oil & Energy","$59.2K ? $75K a year",,,"Oklahoma City",OK,"73008"
2022-03-19,"Scheduling Specialist - Access Center","Integris Health",integrisok.com,"Hospital & Health Care",,,"Mayfair area","Oklahoma City",OK,""
2022-03-19,"Food Service Tech II",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-18,"GI-Endo Tech - Full Time Days",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Resource RN-Nights",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"LPN - Mercy Rehab South OKC, Full-time Days",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73135"
2022-03-21,"Patient Care Associate-PCA - OKC Ortho - Days",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Medical Assistant - Primary Care-North May",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-21,"Teller Supervisor (Full Time) - OKC, 23rd St.","PROSPERITY BANK",prosperitybankusa.com,Banking,"$26.6K ? $33.6K a year",,,"Oklahoma City",OK,"73127"
2022-03-21,"Relationship Banker - May Ave and 37th - Oklahoma City, OK","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Oklahoma City",OK,""
2022-03-19,"Tree Climber","Arbor Masters",arbormaster.com,"Professional Training & Coaching","$34.6K ? $43.8K a year",,,"Oklahoma City",OK,"73128"
2022-03-20,"LPN Nights Cardio Pulmonary",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Sales Coordinator","First Lodging of OKC LLC",,,"$36.3K ? $45.9K a year",,,"Oklahoma City",OK,"73104"
2022-03-18,"Management Trainee Program",Buckle,buckleup.com,"Financial Services",,,"Belle Isle area","Oklahoma City",OK,"73118"
2022-03-19,"Rentokil Accelerated Management Program","Rentokil Initial",rentokil-initial.com,"Environmental Services",,,,"Oklahoma City",OK,""
2022-03-19,"Road Driver","FedEx Freight",,,"$0.66 per mile",,,"Oklahoma City",OK,"73149"
2022-03-20,"Charge RN - ICU Stepdown, Full-time Nights, Weekend Option A...",Mercy,mercy.net,"Hospital & Health Care","$7.50 an hour",,,"Oklahoma City",OK,"73120"
2022-03-18,"RN - ICU Stepdown, Temporary 13 Week Assignment, Nights",Mercy,mercy.net,"Hospital & Health Care","$75 an hour",,,"Oklahoma City",OK,"73120"
2022-03-18,"Delivery Driver(06445) - 1325 SW 44th St","Domino's Franchise",dominos.com,Restaurants,,,,"Oklahoma City",OK,""
2022-03-19,"Leasing Consultant","FPI Management",,,"$23.8K ? $30.2K a year",,,"Oklahoma City",OK,"73135"
2022-03-19,"LPN LVN-AL Day Shift","HRA Senior Living",hraseniorliving.com,Hospitality,"$46.3K ? $58.7K a year",,,"Oklahoma City",OK,"73170"
2022-03-19,"Commercial Service Technician","Orkin LLC",,,,,"Adventure District area","Oklahoma City",OK,"73105"
2022-03-18,"Medical Assistant II","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$27K ? $34.2K a year",,,"Oklahoma City",OK,"73114"
2022-03-19,"Patient Access Rep - Primary Care North May",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Research Assistant Member - biostatistics/bioinformatics","Oklahoma Medical Research Foundation",omrf.org,Research,"$49.4K ? $62.6K a year",,"Lincoln Terrace area","Oklahoma City",OK,"73104"
2022-03-19,"Patient Access Rep - Primary Care NW Expressway",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73162"
2022-03-18,"RN - Orthopedic Med Surg","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73103"
2022-03-19,"Automotive Service Advisor / Writer - Norman","Christian Brothers Automotive",cbac.com,Automotive,,,,"Oklahoma City",OK,""
2022-03-19,"RN - Surgery Circulator (FT/Days) Outpatient Surgery Center","Mcbride Orthopedic Hospital",mcboh.com,"Hospital & Health Care","$64.6K ? $81.8K a year",,,"Oklahoma City",OK,"73114"
2022-03-18,"Full-Time Operations Manager",Buckle,buckleup.com,"Financial Services",,,"Belle Isle area","Oklahoma City",OK,"73118"
2022-03-18,"Patient Service Representative I - Dental (bilingual require...","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$25.8K ? $32.6K a year",,,"Oklahoma City",OK,"73114"
2022-03-19,"Assistant Store Manager - Banter by Piercing Pagoda - Penn S...","Signet Jewelers",signetjewelers.com,Retail,,,,"Oklahoma City",OK,""
2022-03-21,"APRN (Acute Care) or PA - Mercy Clinic Surgical Oncology - O...",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-19,"Dishwashing Supervisor","Skirvin Hilton",parkavegrill.com,Restaurants,"$24.9K ? $31.5K a year",,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-18,"Medical Assistant (bilingual required)","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$26.8K ? $34K a year",,"Meridian Avenue Corridor area","Oklahoma City",OK,"73107"
2022-03-19,"Driver Apprentice-Road","FedEx Freight",,,,,,"Oklahoma City",OK,"73149"
2022-03-20,"Charge RN, Med Surg - Surgical Observation",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-18,"LPN - Mercy Rehab Hospital North OKC, Full-time Nights",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73142"
2022-03-18,"Medical Assistant III","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$28.5K ? $36.1K a year",,,"Oklahoma City",OK,"73114"
2022-03-18,"Medical Assistant (bilingual required)","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$26.8K ? $34K a year",,,"Oklahoma City",OK,"73112"
2022-03-19,"Full-time Medical Oncologist","Integris Health",integrisok.com,"Hospital & Health Care",,,"Mayfair area","Oklahoma City",OK,""
2022-03-21,"Attorney/Lawyer - Family Law","Stange Law Firm",,,"$85.5K ? $108K a year",,"Belle Isle area","Oklahoma City",OK,"73112"
2022-03-20,"RN - ICU Stepdown, Full-time, Weekend Option - Nights",Mercy,mercy.net,"Hospital & Health Care","$7.50 an hour",,,"Oklahoma City",OK,"73120"
