DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-03,"Technical Writer",Airship,airship.com,"Information Technology & Services",,Remote,,"Remote in Portland",OR,""
2022-03-04,"Security Support Assistant","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$41,526 - $59,323 a year",,,Portland,OR,""
2022-03-03,"Seasonal Park Ranger","City of Portland, OR",,,"$18.47 - $24.00 an hour",,"Cathedral Park area",Portland,OR,"97203"
2022-03-02,"Research Student","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Lloyd area",Portland,OR,"97232"
2022-03-04,"Associate Proposal Coordinator",Ameresco,ameresco.com,"Renewables & Environment","$48.1K – $60.9K a year",,"Downtown area",Portland,OR,"97205"
2022-03-04,"Office Services 1","NW Natural",nwnatural.com,Utilities,"$31.1K – $39.3K a year",,,Portland,OR,""
2022-03-04,"Lead Medical Support Assistant","US Veterans Health Administration",va.gov,"Government Administration","$47,875 - $62,232 a year",,"Homestead area",Portland,OR,"97239"
2022-03-03,"OVERNIGHT FRONT DESK AGENT / NIGHT AUDIT (FULL-TIME)","Hyatt Regency Portland Convention Center",,,"$29.3K – $37.1K a year",,,Portland,OR,""
2022-03-04,"Strategic Action Team Support Specialist","Oregon Health Authority",,,"$3,296 - $4,993 a month",,,Portland,OR,""
2022-03-04,"Food Service Worker","US Veterans Health Administration",va.gov,"Government Administration","$19.25 - $22.48 an hour",,"Homestead area",Portland,OR,"97239"
2022-03-03,"Research Associate","D.A. Davidson Companies",dadavidson.com,"Financial Services","$41K – $52K a year",,"Homestead area",Portland,OR,"97201"
2022-03-03,"All In Sales Representative",Anheuser-Busch,anheuser-busch.com,"Food & Beverages","$53,200 - $59,850 a year",,,Portland,OR,""
2022-03-02,"Temporary Office Specialist","Bureau of Labor and Industries",,,"$2,723 - $3,951 a month",,,Portland,OR,""
2022-03-02,"Financial Analyst","US Bonneville Power Administration",bpa.gov,Utilities,"$100,984 - $131,277 a year",Remote,,"Remote in Portland",OR,""
2022-03-04,"Entry Level Customer Success Specialist","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"Homestead area",Portland,OR,"97201"
2022-03-02,"Secretary (Office Automation)","U.S. Army Accession Command",,,"$38,649 - $50,242 a year",Remote,,"Temporarily Remote in Portland",OR,""
2022-03-04,"Implementation Consultant",Benefitfocus,benefitfocus.com,"Computer Software","$72.1K – $91.3K a year",,"Homestead area",Portland,OR,"97201"
2022-03-03,"Team Support","Truist Financial",truist.com,"Financial Services",,,,Portland,OR,"97223"
2022-03-03,"Technology and Training Consultant","Portland State University",psu.gd,Design,"$19.78 an hour",,"Downtown area",Portland,OR,"97201"
2022-03-04,"New CB2 Store! (Portland, OR)",CB2,cb2.com,Retail,"$32.2K – $40.8K a year",,,Portland,OR,""
2022-03-04,Nanny,"A Brilliant Nanny",abnanny.com,"Staffing & Recruiting","$33.2K – $42K a year",,"Multnomah area",Portland,OR,"97219"
2022-03-02,"Business Technology Analyst - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Portland",OR,""
2022-03-02,"Customer Care Associate (Outpatient), Full-time","Adventist Health Portland",,,,,,Portland,OR,""
2022-03-02,"Office Specialist","Employment Department",,,"$2,723 - $3,596 a month",,,Portland,OR,""
2022-03-03,Nanny,"A Brilliant Nanny",abnanny.com,"Staffing & Recruiting","$33.6K – $42.6K a year",,"Multnomah area",Portland,OR,"97219"
2022-03-04,"Realty Specialist","US Bonneville Power Administration",bpa.gov,Utilities,"$66,214 - $110,404 a year",Remote,,"Remote in Portland",OR,""
2022-03-02,"Safety & HR Administrator","Powell's Books, Inc.",,,"$20 - $27 an hour",,,Portland,OR,""
2022-03-03,"Sales Merchandiser, Portland (Remote)",hint,drinkhint.com,"Food & Beverages",,Remote,,"Remote in Portland",OR,""
