DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-10-25,"Vice President, Child Welfare Programs","Oklahoma Complete Health",,,"estimated $156k - $197k a year",,,"Hybrid remote in Oklahoma City",OK,""
2022-10-25,"Project Manager, Environmental",Chloeta,chloeta.com,"Government Relations","$90,000 a year",,,"Oklahoma City",OK,"73114"
2022-10-25,"Quality Chief Inspector","Dow Aero Logistics, LLC",dowaero.com,Airlines/Aviation,"estimated $49.8k - $63k a year",,,"Oklahoma City",OK,"73149"
2022-10-25,"IMMIGRATION SERVICES OFFICER","US Citizenship and Immigration Services",uscis.gov,"Government Administration","$58,560 - $110,404 a year",,,Portland,OR,""
2022-10-25,"Communications Resource Coordinator II","City of Portland, OR",,,"$59,072 - $109,512 a year",Remote,,"Temporarily Remote in Portland",OR,"97204"
2022-10-25,"Amazon Warehouse Worker","Amazon Warehouse",,,"$18.50 an hour",,"St.Johns area)",Portland,OR,"97203"
2022-10-25,"Labor Relations Negotiator (HR Analyst III)","City of Portland, OR",,,"$77,376 - $140,026 a year",Remote,,"Temporarily Remote in Portland",OR,"97204"
2022-10-25,"Vision Zero Data Analyst (Analyst II)","City of Portland, OR",,,"$70,221 - $116,792 a year",,"Downtown area)",Portland,OR,"97204"
2022-10-26,"Nanny (Full- or Part-Time)","Portland Nanny",,,"$19.00 - $33.25 an hour",,,Portland,OR,""
2022-10-25,"Revenue & Tax Specialist II","City of Portland, OR",,,"$26.38 - $32.57 an hour",,,"Hybrid remote in Portland",OR,"97201"
2022-10-25,"Botanic Specialist II - Environmental Education","City of Portland, OR",,,"$35.30 - $45.05 an hour",,,Portland,OR,""
2022-10-25,"House Cleaner (Portland)","Maid to Shine Cleaning",,,"up to $1,200 a week",,,Portland,OR,""
2022-10-25,"Customer Service Agent","Alaska Airlines",alaskaair.com,Airlines/Aviation,"$18.50 an hour",,"Hosford area)",Portland,OR,"97240"
2022-10-25,"Supportive Housing Services Administrative Analyst","Multnomah County, OR",multco.us,"Government Administration","$30.56 - $37.50 an hour",,"Downtown area)",Portland,OR,"97205"
2022-10-25,"Security Program Analyst II","City of Portland, OR",,,"$70,221 - $116,792 a year",Remote,,"Temporarily Remote in Portland",OR,"97204"
2022-10-25,"Site Development Inspector I","City of Portland, OR",,,"$36.81 - $42.47 an hour",Remote,,"Temporarily Remote in Portland",OR,"97201"
2022-10-24,"CONFIDENTIAL Candidate Database","Nonprofit Professionals Now",,,"estimated $45.5k - $57.5k a year",,,Portland,OR,""
2022-10-25,"Supply Planning Analyst - 4516560",Accenture,cazoodle.com,"Computer Software",,,,Portland,OR,""
2022-10-25,"Clinic Services Specialist 2 - Medical Receptionist","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area)",Portland,OR,"97210"
2022-10-23,"Laboratory Technician Assistant","Kaiser Permanente",socialsourcingnetwork.com,,"estimated $44.5k - $56.3k a year",,,Portland,OR,""
2022-10-25,"Clinic Services Specialist 2 - Medical Receptionist","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Eliot area)",Portland,OR,"97227"
2022-10-25,"Sales Associate - Red Bull","Columbia Distributing",coldist.com,"Food & Beverages","$20 an hour",,"Overlook area)",Portland,OR,"97217"
2022-10-24,"Entry Level Advertising Account Manager Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",Remote,,"Remote in Portland",OR,"97201"
2022-10-25,"Neurohospitalist Locum","Northwest Permanente, P.C.",,,,,,Portland,OR,""
2022-10-25,"Warehouse Associate I- Ecom Swing","Columbia Sportswear Company",columbiasportswearcompany.com,"Apparel & Fashion","$20 an hour",,"Cathedral Park area)",Portland,OR,"97203"
2022-10-25,"Overages, Shortages & Damages Clerk","Old Dominion Freight Line",odfl.com,Transportation/Trucking/Railroad,,,,Portland,OR,""
2022-10-26,"Landscaping Worker","LawnStarter Inc",lawnstarter.com,Internet,"up to $1,000 a week",,,Portland,OR,""
2022-10-25,"OFFICE CLERK (FULL-TIME)",Canteen,compass79.com,,,,,Portland,OR,"97223"
2022-10-25,"Overnight On-Call Shelter Staff","Do Good Multnomah",dogoodmultnomah.org,"Nonprofit Organization Management","$21.60 an hour",,"Roseway area)",Portland,OR,"97213"
2022-10-25,"School Administrative Assistant I - 1.0 FTE - Rose City Park...","Portland Public Schools Oregon",,,"$24.94 - $30.65 an hour",,,Portland,OR,""
2022-10-25,"Safety/Security Associate Officer","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area)",Portland,OR,"97210"
2022-10-25,"Portland Purchasing Supervisor",Levy,levyrestaurants.com,"Food & Beverages","$20.25 - $24.00 an hour",,"Lloyd area)",Portland,OR,"97227"
2022-10-25,"Sales and Service Leader - Clackamas, OR",Sephora,sephora.ch,,"estimated $39.1k - $49.5k a year",,,Portland,OR,"97086"
2022-10-25,Porter,"Lithia Motors, Inc.",,,,,"Homestead area)",Portland,OR,"97201"
2022-10-25,"Supervisory Transportation Assistant","US Veterans Health Administration",va.gov,"Government Administration","$53,020 - $68,922 a year",,"Homestead area)",Portland,OR,"97239"
2022-10-25,"Removal Technician","Portland Cremation Center",portlandmortuaryservices.com,,"estimated $39.5k - $50.1k a year",,"Wilkes area)",Portland,OR,"97230"
