DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
15-02-2022,"Leasing Professional","Horizon Realty Advisors",horizonra.com,"Real Estate","$16 - $20 an hour",,"Cal Young area",Eugene,OR,"97401"
16-02-2022,"Mortgage Loan Officer","Obsidian Financial Services",obsidianfinancialservices.com,"Financial Services","$77,500 - $425,000 a year",,,Eugene,OR,""
17-02-2022,"Assistant Manager","PF Northwest",,,"$34.9K ? $44.3K a year",,"Cal Young area",Eugene,OR,"97401"
17-02-2022,"Body Shop Estimator","Kendall Auto Group",kendallautogroup.com,Automotive,,,"Cal Young area",Eugene,OR,"97401"
17-02-2022,"Service Associate","West One Automotive Group",,,"$15 - $18 an hour",,"West Eugene area",Eugene,OR,"97402"
15-02-2022,Budtender,Verde,verdeathome.com,"Apparel & Fashion","$13 - $14 an hour",,,Eugene,OR,""
17-02-2022,"Checkout Cashier","Jerry's Home Improvement",betterheadforjerrys.com,Retail,"$16 - $18 an hour",,"Bethel area",Eugene,OR,"97402"
16-02-2022,"Prior Authorization Specialist","The NeuroSpine Group",neurospinellc.com,"Medical Practice","$18 - $22 an hour",,"Cal Young area",Eugene,OR,"97401"
15-02-2022,"Landscape Maintenance","A & K Landscaping LLC",,,"$15 - $20 an hour",,,Eugene,OR,""
16-02-2022,"Resource Coordinator","Sponsors, Inc.",sponsorsinc.org,"Nonprofit Organization Management","$16 - $20 an hour",,,Eugene,OR,""
17-02-2022,"Spreader Operator - Day","States Industries",statesind.com,"Paper & Forest Products","$18 an hour",,"Industrial Corridor area",Eugene,OR,"97402"
16-02-2022,"Nursery Sales Rep","Gray's Garden Center",graysgardens.com,Retail,,,"Whiteaker area",Eugene,OR,"97402"
15-02-2022,"Occupational Health Technician","Cascade Health",cascadehealth.org,"Hospital & Health Care","$19.18 - $28.78 an hour",,"Cal Young area",Eugene,OR,"97408"
15-02-2022,"Patient Financial Representative","Cascade Health",cascadehealth.org,"Hospital & Health Care","$17.24 - $25.86 an hour",,"Cal Young area",Eugene,OR,"97408"
15-02-2022,"Annual Fund Coordinator","Pearl Buck Center",pearlbuckcenter.com,"Civic & Social Organization","$17 an hour",,"West Eugene area",Eugene,OR,"97402"
15-02-2022,"Payroll Processor",HWE,hodgeswardelliott.com,"Real Estate","$43,000 a year",Remote,,"Hybrid remote in Eugene",OR,""
15-02-2022,"Delivery Driver","XLR8 INC",xlr8delivery.com,Transportation/Trucking/Railroad,"$16 - $19 an hour",,"Bethel area",Eugene,OR,"97402"
15-02-2022,"$20/hr Head lice removal technician","Lice Charmers",licecharmers.com,"Health, Wellness & Fitness","From $20 an hour",,,Eugene,OR,""
17-02-2022,"Receptionist/Office Admin Eugene","ServiceMaster of Salem",smsalem.com,Construction,"$17 an hour",,"West Eugene area",Eugene,OR,"97402"
17-02-2022,"Patient Services Coordinator Full Time","Cordant Health Solutions",cordantsolutions.com,"Hospital & Health Care","$18 - $21 an hour",,,Eugene,OR,""
17-02-2022,"Assistant Store Manager- Full Time","SALON SERVICES AND SUPPLY INC",,,,,"Cal Young area",Eugene,OR,"97401"
16-02-2022,"Special Education Aid - Entry Level - Training Provided","Center for Autism and Related Disorders, Inc.",,,,,,Eugene,OR,""
15-02-2022,"Cartridge Specialist",CBDiscovery,cbdiscoveryoregon.com,,"From $14 an hour",,"Whiteaker area",Eugene,OR,"97402"
15-02-2022,"IT Support Specialist Level I Helpdesk/Hardware Integration...","National Business Solutions",,,"$14 - $18 an hour",,,Eugene,OR,""
17-02-2022,"Tire Service Technician","Discount Tire",discounttire.com,Automotive,,,"West Eugene area",Eugene,OR,"97402"
16-02-2022,"Order Builder","Swire Coca-Cola USA",swirecc.com,"Food & Beverages","$28.5K ? $36.1K a year",,,Eugene,OR,""
16-02-2022,"Production Manager","Josh Lowe's Dr. Energy Saver",jldrenergysaver.com,Construction,"$50,000 - $65,000 a year",,,Eugene,OR,""
15-02-2022,"Youth Mentor 1576903","Maple Star of Oregon",maplestaror.org,"Nonprofit Organization Management",,,"West Eugene area",Eugene,OR,"97402"
15-02-2022,"Community Employment Assistant Manager","Pearl Buck Center",pearlbuckcenter.com,"Civic & Social Organization","$15 an hour",,"West Eugene area",Eugene,OR,"97402"
17-02-2022,"Direct Support Professional/Caregiver","Oregon Supported Living Program",oslp.org,"Nonprofit Organization Management","$15.00 - $16.50 an hour",,"Downtown area",Eugene,OR,"97401"
17-02-2022,"Sales Associate","Harry Ritchie's Jewelers",harryritchies.com,Retail,"From $13.50 an hour",,"Cal Young area",Eugene,OR,"97401"
16-02-2022,"Assistant Manager","Oregon Supported Living Program",oslp.org,"Nonprofit Organization Management","$16.46 - $17.90 an hour",,"Downtown area",Eugene,OR,"97401"
17-02-2022,"Cart Associate","Jerry's Home Improvement",betterheadforjerrys.com,Retail,"$13.50 an hour",,"Bethel area",Eugene,OR,"97402"
15-02-2022,"Insurance Sales Representative","Farmers Insurance Group",farmersagency.com,,"From $2,500 a month",,"Cal Young area",Eugene,OR,"97401"
16-02-2022,"Weight Loss Specialist","Metabolic Research Center of Eugene",,,"$15 - $17 an hour",,"Cal Young area",Eugene,OR,"97401"
17-02-2022,"Accessibility Auditor- Level 1","Online ADA",,,"From $45,000 a year",,"Downtown area",Eugene,OR,"97401"
16-02-2022,"Project Manager","Kaminski Construction LLC",kaminskiconstruction.com,Construction,"$50,000 - $80,000 a year",,,Eugene,OR,""
15-02-2022,"Sales Associate","San Antonio Shoes, Inc.",,,,,"Cal Young area",Eugene,OR,"97401"
17-02-2022,"Complex Case Manager","Lane Council of Governments",lcog.org,"Government Relations","$24.70 - $33.67 an hour",,"Downtown area",Eugene,OR,"97401"
16-02-2022,"Direct Support Professional","Oregon Supported Living Program",oslp.org,"Nonprofit Organization Management","$15.00 - $16.50 an hour",,"Downtown area",Eugene,OR,"97401"
15-02-2022,"Maintenance Pool","Homes For Good",homesforgood.org,"Government Administration","$15.63 - $19.95 an hour",,"Cal Young area",Eugene,OR,"97401"
17-02-2022,"Retail Stock & Fulfillment - Nordstrom Rack Oakway Center-5a...",Nordstrom,norddstrom.com,,"From $13.50 an hour",,"Cal Young area",Eugene,OR,"97401"
17-02-2022,"Shipping and Receiving Processor Jerry's Home Improvement.","Jerry's Home Improvement",betterheadforjerrys.com,Retail,"$16 an hour",,"Bethel area",Eugene,OR,"97402"
16-02-2022,"Production Staff","Gray's Garden Center",graysgardens.com,Retail,"$29.5K ? $37.3K a year",,"Whiteaker area",Eugene,OR,"97402"
15-02-2022,"Accounting & Payroll Specialist","Cascade Health",cascadehealth.org,"Hospital & Health Care","$20.99 - $31.49 an hour",,"Cal Young area",Eugene,OR,"97408"
17-02-2022,"Equipment Operator","Bi-Mart Corporation",bimart.com,Retail,"$33.2K ? $42K a year",,"West Eugene area",Eugene,OR,"97402"
17-02-2022,"Retail Sales Jerry's Home Improvement","Jerry's Home Improvement",betterheadforjerrys.com,Retail,"$15 an hour",,"Bethel area",Eugene,OR,"97402"
16-02-2022,"Shipping Clerk","Fresno Valves & Castings, Inc.",fresnovalves.com,Farming,"$31.2K ? $39.4K a year",,"Whiteaker area",Eugene,OR,"97440"
16-02-2022,"Warehouse Shipper / Receiver","Convoy Inc.",,,"$18 - $19 an hour",,"West Eugene area",Eugene,OR,"97402"
15-02-2022,"Sales Operations Specialist",HSI,hsi.com,"Education Management","$39.3K ? $49.7K a year",,"West Eugene area",Eugene,OR,"97402"
15-02-2022,"Pre-roll Specialist",CBDiscovery,cbdiscoveryoregon.com,,"From $14 an hour",,"Whiteaker area",Eugene,OR,"97402"
17-02-2022,"Auto Dismantler","B&R Auto Wrecking",autowrecking.com,Retail,"$15 - $20 an hour",,"Industrial Corridor area",Eugene,OR,"97402"
16-02-2022,"Program Coordinator",Dungarvin,dekra.it,"Management Consulting","$25.9K ? $32.9K a year",,,Eugene,OR,""
17-02-2022,"Billing Specialist II","The Coquille Indian Tribe",coquilletribe.org,Insurance,"$17.14 - $25.71 an hour",,"Santa Clara area",Eugene,OR,"97404"
16-02-2022,"Caregiver in Adult Care Home","Arcadia Senior Care LLC",arcadiaretirement.com,,"$15 an hour",,"West Eugene area",Eugene,OR,"97402"
17-02-2022,"Safety Manager and Corporate Pilot","Lohman Helicopter LLC",lohmanhelicopter.com,"Aviation & Aerospace","Up to $85,000 a year",,,Eugene,OR,""
17-02-2022,"Registered Nurse (RN)","Churchill Estates",churchillestates.net,Hospitality,"$35.00 - $37.50 an hour",,"Churchill area",Eugene,OR,"97405"
15-02-2022,"HVRP Employment Specialist","Goodwill Industries",goodwillseiowa.org,"Apparel & Fashion","$15 - $18 an hour",,"Cal Young area",Eugene,OR,"97408"
16-02-2022,"Head Chef","College Chefs, LLC",collegechefs.com,"Food & Beverages","$44K ? $55.8K a year",,"South University area",Eugene,OR,"97403"
17-02-2022,"Floor Hand Driller","Boart Longyear",boartlongyear.com,"Mining & Metals","$17 - $19 an hour",,,Eugene,OR,""
17-02-2022,"Sales Representative - Eugene, OR","SpotOn: Sales (External Partners)",spoton.com,"Computer Software",,,,Eugene,OR,""
