DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
19-02-2022,"In Store Visual Merchandiser","Patagonia, Inc",patagonia.com,Retail,"$21.50 - $24.50 an hour",,"Downtown area",Portland,OR,"97209"
19-02-2022,"Insurance Assistant","Liberty Mutual Insurance",libertymutualgroup.com,Insurance,"$36,000 - $42,500 a year",Remote,,"Remote in Portland",OR,""
19-02-2022,"Mobile Billboard Driver","do it outdoors media",doitoutdoors.com,"Marketing & Advertising","$14 - $15 an hour",,,Portland,OR,""
19-02-2022,"Medical Store Customer Service Representative","Norco, Inc",norco-inc.com,Retail,,,"Eliot area",Portland,OR,"97212"
19-02-2022,"Branch Support Specialist (Customer Service)","Apria Healthcare",apria.com,"Hospital & Health Care",,,"Wilkes area",Portland,OR,"97230"
19-02-2022,"Overnight Shelter Staff - Rodeway","Do Good Multnomah",dogoodmultnomah.org,"Nonprofit Organization Management","$21.60 an hour",,"Parkrose area",Portland,OR,"97220"
19-02-2022,"Community Support Specialist (Administrative Assistant) - R1...","The Management Trust",managementtrust.com,"Real Estate",,,,Portland,OR,"97224"
19-02-2022,"Funeral Director Apprentice","SCI Shared Resources, LLC",sci-corp.com,"Individual & Family Services",,,"Hosford area",Portland,OR,"97240"
19-02-2022,"Regional Digital Media Strategist","Salem Media Group",salemmedia.com,"Broadcast Media",,,"Milwaukie Business-Industry area",Portland,OR,"97222"
19-02-2022,"FISH AND WILDLIFE BIOLOGIST","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$100,984 - $131,277 a year",Remote,,"Temporarily Remote in Portland",OR,""
18-02-2022,"Laborer - Portland","Baker Commodities, Inc.",bakercommodities.com,"Renewables & Environment",,,"Cathedral Park area",Portland,OR,"97203"
19-02-2022,"Industrial Hose Technology Manager","Motion and Flow Control Products Inc",mfcp.com,"Industrial Automation",,,"Northwest area",Portland,OR,"97210"
18-02-2022,"Administrative Legal Assistant I","Davis Wright Tremaine LLP",dwt.com,"Law Practice",,Remote,,"Hybrid remote in Portland",OR,""
19-02-2022,"Construction Crew Lead","Habitat For Humanity Portland Region",habitatportlandregion.org,"Nonprofit Organization Management","$16.04 an hour",,"Concordia area",Portland,OR,"97211"
19-02-2022,"? House Cleaner / Housekeeper: (Full Time - Part Time)","Maid to Shine Cleaning",,,"Up to $900 a week",,,Portland,OR,""
19-02-2022,"Remote Customer Service Representative",SolvOne,solvone.com,"Oil & Energy","$17.25 an hour",,"West Slope area",Portland,OR,"97225"
19-02-2022,"Account Representative - Property & Casualty","Woodruff Sawyer",woodruffsawyer.com,Insurance,,Remote,,"Hybrid remote in Portland",OR,""
19-02-2022,"Overnight Porter","Provenance Hotel",provenancehotels.com,Hospitality,,,"Northwest area",Portland,OR,"97205"
19-02-2022,"Driver Courier Full Time","FedEx Express",fedex.com,"Logistics & Supply Chain",,,"Overlook area",Portland,OR,"97217"
19-02-2022,"Laundry Attendant","Provenance Hotel",provenancehotels.com,Hospitality,,,"Northwest area",Portland,OR,"97205"
19-02-2022,"Gardener (Tractor Operator)","US Veterans Health Administration",va.gov,"Government Administration","$25.56 - $29.82 an hour",,"Homestead area",Portland,OR,"97239"
21-02-2022,"Full-time, Utilization Review Nurse","Innovative Care Management",,,,Remote,,"Remote in Portland",OR,""
19-02-2022,"Imaging Support Specialist","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
19-02-2022,"Assistant Manager",Athleta,athleta.com,"Apparel & Fashion",,,,Portland,OR,"97223"
19-02-2022,"Resource Specialist","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
21-02-2022,"TRACTOR TRAILER OPERATOR ""CAREER JOB W/ BENEFITS""","United States Postal Service",usps.com,"Government Administration","$24.70 an hour",,"Portland International Airport area",Portland,OR,"97218"
19-02-2022,"Property Administrator","US AMR-Jones Lang LaSalle Americas, Inc.",,,,,,Portland,OR,""
19-02-2022,"Reporting Fellow","Advance Local",advancelocal.com,Publishing,,Remote,,"Remote in Portland",OR,""
19-02-2022,"Payroll Auditor",WithumSmith+Brown,withum.com,Accounting,,,,Portland,OR,""
19-02-2022,Photographer,"Nationwide Studios Inc.",teddybearportraits.com,Photography,"$125 a day",,"Mount Scott area",Portland,OR,"97206"
19-02-2022,"Office Clerk","Mary's Harvest Fresh Foods",marysharvest.com,"Food Production","$16 an hour",,"Sunderland area",Portland,OR,"97211"
19-02-2022,"Patient Registration Manager","Option Care Health",optioncarehealth.com,"Hospital & Health Care","From $61,942 a year",,,Portland,OR,""
19-02-2022,"Patient Services Specialist for OBGYN (North Portland)","The Oregon Clinic",oregonclinic.com,"Medical Practice","$16.96 - $23.32 an hour",,"Eliot area",Portland,OR,"97227"
19-02-2022,"Entry Level Software Sales Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"Homestead area",Portland,OR,"97201"
18-02-2022,"Human Capital Business Technology Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
18-02-2022,"Spiritual Support Coordinator (.5 FTE)","Maybelle Center for Community",,,"$22.67 - $24.54 an hour",,"Old Town-Chinatown area",Portland,OR,"97209"
18-02-2022,"Warehouse Associate I- Vas Day","Columbia Sportswear Company",columbiasportswearcompany.com,"Apparel & Fashion","$18 an hour",,"Cathedral Park area",Portland,OR,"97203"
20-02-2022,"High School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,Portland,OR,"97035"
20-02-2022,"Customer Service Representative - Full Time","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$15.50 an hour",,,Portland,OR,""
19-02-2022,"Hospitality Aide","Marquis Companies",marquiscompanies.com,"Hospital & Health Care",,,"Piedmont area",Portland,OR,"97211"
19-02-2022,"Cake Decorator",Kroger,krogerco.com,,,,"Northwest area",Portland,OR,"97209"
18-02-2022,"Human Capital Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
20-02-2022,"Porter - Honeyman Hardware Lofts","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Portland,OR,""
19-02-2022,"Outside Sales","Norco, Inc",norco-inc.com,Retail,,,"Eliot area",Portland,OR,"97212"
19-02-2022,"Production Associate - Airport way","Aramark Uniform Services",,,,,"Wilkes area",Portland,OR,"97230"
19-02-2022,"Head Athletic Trainer","Warner Pacific University",warnerpacific.edu,"Higher Education",,,"Mount Tabor area",Portland,OR,"97215"
18-02-2022,"FBH Peer Counselor (Parent Partner)",CCSWW,ccsww.org,"Nonprofit Organization Management","$20.54 an hour",,"Hosford-Abernethy area",Portland,OR,"97202"
19-02-2022,"Cash Application Specialist","Miller Paint Co Inc",millerpaint.com,Retail,,,"Argay area",Portland,OR,"97230"
19-02-2022,"Qualification Specialist","Norco, Inc",norco-inc.com,Retail,,,"Eliot area",Portland,OR,"97212"
19-02-2022,"PF Receiver","Pacific Coast Fruit Company",pcfruit.com,"Food & Beverages","$19 an hour",,"Lloyd area",Portland,OR,"97232"
19-02-2022,"Virtual Scholars - Student Mentor -01.0 FTE","Portland Public Schools",pps.net,"Primary/Secondary Education","$18.70 - $22.63 an hour",,,Portland,OR,""
19-02-2022,"FT Cleaning Associate","A&A Maintenance",aamaintenance.com,"Facilities Management & Commercial Cleaning , Business Services",,,,Portland,OR,""
19-02-2022,"Patient Services Specialist for OBGYN (North Portland)","The Oregon Clinic, P.C.",,,"$16.96 - $23.32 an hour",,"Boise area",Portland,OR,"97227"
18-02-2022,"Member Activities Specialist (.75 FTE)","Maybelle Center for Community",,,"$19.76 - $21.38 an hour",,"Old Town-Chinatown area",Portland,OR,"97209"
18-02-2022,"Accounts Payable Specialist I","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
19-02-2022,"Medical Assistant for Orthopedics (NE Portland)","The Oregon Clinic, P.C.",,,"$18.80 - $25.02 an hour",,"Roseway area",Portland,OR,"97213"
20-02-2022,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,"Hayden Island area",Portland,OR,"97217"
19-02-2022,"Entry Level Service Advisor","Lithia Motors, Inc.",,,,,"West Slope area",Portland,OR,"97225"
21-02-2022,"Operations Supervisor","CVS Health Retail",cvshealth.com,"Health, Wellness & Fitness",,,,Portland,OR,""
19-02-2022,"Explosive Detection Canine Handler","MSA Security",msasecurity.net,"Security & Investigations",,,,Portland,OR,""
19-02-2022,"Overages, Shortages & Damages Clerk","Old Dominion Freight Line",odfl.com,Transportation/Trucking/Railroad,,,,Portland,OR,""
19-02-2022,"Volvo Penta Marine Sales Manager - Anchorage, Alaska","Pacific Power Group",pacificpowergroup.com,Machinery,,,,Portland,OR,""
19-02-2022,"RN - Intermediate Care",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR,"97225"
19-02-2022,"Patient Relations Representative - Providence Ambulatory Car...",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR,"97213"
19-02-2022,"Medical Assistant for Orthopedics (NE Portland)","The Oregon Clinic",oregonclinic.com,"Medical Practice","$18.80 - $25.02 an hour",,"North Tabor area",Portland,OR,"97213"
19-02-2022,"Mobility Technicians - Full Time","Vibra Healthcare",vibrahealthcare.com,"Hospital & Health Care",,,,Portland,OR,""
19-02-2022,"BODY SHOP ESTIMATOR | Canyon Road Auto Body","Lanphere Enterprises, Inc.",lanphereautogroup.com,Automotive,"$80,000 a year",,"West Slope area",Portland,OR,"97225"
20-02-2022,Teller,"Wells Fargo",climaticsolar.com,"Environmental Services",,,,Portland,OR,""
21-02-2022,"Warehouse Order Selector",Sysco,sysco.com,"Food & Beverages",,,,Portland,OR,"97204"
19-02-2022,"Case Manager - Wy'East","Do Good Multnomah",dogoodmultnomah.org,"Nonprofit Organization Management","$20.60 an hour",,"Mill Park area",Portland,OR,"97233"
19-02-2022,"Housekeeping Room Attendant","Provenance Hotel",provenancehotels.com,Hospitality,,,"Northwest area",Portland,OR,"97205"
19-02-2022,"Sales Merchandiser - Oak Street","Franz Family Bakery",franzbakery.com,"Food Production",,,"Buckman area",Portland,OR,"97214"
19-02-2022,"FT-Merchandising Service Associate-Day",Lowe's,lowes.com,Retail,,,"East Columbia area",Portland,OR,"97217"
21-02-2022,"Alienware Computing Sales","Best Buy",bestbuy.com,Retail,,,"Portland International Airport area",Portland,OR,"97220"
19-02-2022,"Dimensional Evaluator LMA Dept 861 - Day Shift (Titanium) /...","Precision Castparts Corp.",precast.com,"Aviation & Aerospace",,,"Corbett-Terwilliger-Lair Hill area",Portland,OR,"97239"
19-02-2022,Burner,"Schnitzer Steel Ind Inc",,,,,"Cathedral Park area",Portland,OR,"97203"
19-02-2022,"Housekeeping Houseperson","Provenance Hotel",provenancehotels.com,Hospitality,,,"Northwest area",Portland,OR,"97205"
20-02-2022,"Experienced Security Officer - $20/hour",Securitas,securitasantias.com,"Security & Investigations","$20 an hour",,,Portland,OR,""
18-02-2022,"Delivery Coordinator","Aston Carter",astoncarter.com,"Staffing & Recruiting",,,"Kerns area",Portland,OR,"97232"
18-02-2022,"Pharmacy Technician","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Eliot area",Portland,OR,"97227"
19-02-2022,"MAINTENANCE IV ? GENERAL MAINTENANCE - 8HRS - FACILITIES","DAVID DOUGLAS SD",,,"$22.80 an hour",,"Parkrose area",Portland,OR,"97220"
19-02-2022,"Account Executive",Blackboard,blackboard.com,"Information Technology & Services",,Remote,,"Remote in Portland",OR,""
19-02-2022,"Production Pattern Wax Assembler Trainer - Dept 016 - LPC-S...","Precision Castparts Corp.",precast.com,"Aviation & Aerospace",,,"Corbett-Terwilliger-Lair Hill area",Portland,OR,"97239"
19-02-2022,"RN - Intermediate Care",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR,"97225"
20-02-2022,"Sales Trainee",Graybar,graybar.com,Wholesale,,,,Portland,OR,"97204"
19-02-2022,"Internal Controls Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
19-02-2022,"Supervisor - Housekeeping - Embassy Suites Portland Downtwon",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,"Downtown area",Portland,OR,"97204"
20-02-2022,"Supervisor - Front Desk - Embassy Suites, Portland",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,"Downtown area",Portland,OR,"97204"
19-02-2022,"Personal Care Assistant","Avamere Health Services, LLC",avamere.com,"Hospital & Health Care",,,"Hillsdale area",Portland,OR,"97239"
19-02-2022,"Warehouse Operator","Land O'Lakes",landolakesinc.com,"Food Production","$23.15 an hour",,"St.Johns area",Portland,OR,"97203"
19-02-2022,"Lateral Corrections Deputy","Multnomah County Sheriff's Office",mcso.us,"Public Safety","$31.39 - $39.73 an hour",,"Parkrose area",Portland,OR,"97220"
19-02-2022,"Rework Analyst - LMA Dpt 861 ( Portland, OR ) - 1st Shift","Precision Castparts Corp.",precast.com,"Aviation & Aerospace",,,"Corbett-Terwilliger-Lair Hill area",Portland,OR,"97239"
19-02-2022,"Prod Pattern Wax Assembler Dayshift/Graveshift Lead - Wax Ce...","Precision Castparts Corp.",precast.com,"Aviation & Aerospace","From $20.97 an hour",,"Corbett-Terwilliger-Lair Hill area",Portland,OR,"97239"
19-02-2022,"RN - Intensive Care Unit",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR,"97213"
19-02-2022,"Faubion - Gr. 6-8 Language Arts/Social Studies Teacher - 1.0...","Portland Public Schools",pps.net,"Primary/Secondary Education","$48,096 - $93,589 a year",,,Portland,OR,""
18-02-2022,"RN Charge Nurse - Women's Service","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
19-02-2022,"Emergency Services Technician","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
18-02-2022,"Resident Care Coordinator","Avamere Health Services, LLC",avamere.com,"Hospital & Health Care",,,,Portland,OR,"97229"
19-02-2022,"Food Server Mayrose Restaurant (Full Time) - The Duniway Por...",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,"Downtown area",Portland,OR,"97204"
19-02-2022,"Patient Services Representative for Orthopedics (NE Portland...","The Oregon Clinic, P.C.",,,"$14.91 - $20.50 an hour",,"Roseway area",Portland,OR,"97213"
19-02-2022,"Warehouse - Load Builder","Aramark Uniform Services",,,,,"Wilkes area",Portland,OR,"97230"
21-02-2022,"Aggregate Barge - Equipment Operator","Knife River - Western Oregon Division",kniferiver.com,Construction,,,,Portland,OR,""
19-02-2022,"Floor Technician",Sodexo,sodexo.com,"Facilities Services",,,"Hazelwood area",Portland,OR,"97216"
20-02-2022,"Climbing Arborist Crew Leader","Davey Tree",,,,,"Cully area",Portland,OR,"97218"
19-02-2022,"OSP Construction Inspector II","Tilson Technology Management",tilsontech.com,Telecommunications,,,"Argay area",Portland,OR,"97230"
19-02-2022,"Maintenance Technician","FPI Management",,,,,"Argay area",Portland,OR,"97230"
19-02-2022,"Teacher at Russell","KinderCare Education",kcecareers.com,"Education Management",,,,Portland,OR,"97230"
19-02-2022,"Warehouse Associate - Loader/Unloader - 2nd Shift",Cintas,cintas.com,"Facilities Services",,,"St.Johns area",Portland,OR,"97203"
19-02-2022,"Patient Registration Coordinator","Option Care Health",optioncarehealth.com,"Hospital & Health Care","From $16.52 an hour",,,Portland,OR,""
19-02-2022,"Emerging Workloads Solution Architect - Opportunity for Work...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Portland",OR,""
19-02-2022,"Engineering Technician (Civil) (Direct Hire Authority)","U.S. Army Corps of Engineers",army.milx,,"$58,560 - $92,104 a year",,,Portland,OR,""
19-02-2022,"Tire Technician 4",GCR,gcrincorporated.com,"Computer Software",,,"East Columbia area",Portland,OR,"97217"
19-02-2022,"Relationship Manager - Beaverton, OR","Fidelity Investments",smcc.edu,"Higher Education",,,"Northwest area",Portland,OR,"97205"
19-02-2022,"RN Fellow - Medical Surgical 4l",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR,"97213"
20-02-2022,"Climbing Arborist","Davey Tree",,,,,"Cully area",Portland,OR,"97218"
18-02-2022,"Pursuit Specialist-Audit",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
19-02-2022,"Patient Services Representative for Orthopedics (NE Portland...","The Oregon Clinic",oregonclinic.com,"Medical Practice","$14.91 - $20.50 an hour",,"North Tabor area",Portland,OR,"97213"
19-02-2022,"LPN Crestview","Avamere Health Services, LLC",avamere.com,"Hospital & Health Care","From $28.50 an hour",,"Hillsdale area",Portland,OR,"97239"
19-02-2022,"Dental Assistant","Gentle Dental",gentledental.com,"Hospital & Health Care",,,"Downtown area",Portland,OR,"97204"
19-02-2022,"Nursing Assistant Crestview","Avamere Health Services, LLC",avamere.com,"Hospital & Health Care",,,"Hillsdale area",Portland,OR,"97239"
21-02-2022,"Team Member - Washington Square",Sbarro,,,,,,Portland,OR,"97223"
18-02-2022,"IT Technician (Portland)","Z NETWORKS",znetworks.com,"Computer Networking",,,,Portland,OR,""
19-02-2022,"Mobile Technician Manager","Dickinson Fleet Services",dickinsonfleet.com,Transportation/Trucking/Railroad,,,,Portland,OR,"97035"
18-02-2022,"Client Account Management, Specialist - Cross Industry",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
20-02-2022,"Surgical Coder - Physician Practice - Remote","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Portland",OR,""
19-02-2022,"Janitorial Area Supervisor",Marsden,marsdengroup.com,"Staffing & Recruiting",,,,Portland,OR,"97223"
19-02-2022,Teller,"Wells Fargo",climaticsolar.com,"Environmental Services",,,,Portland,OR,""
18-02-2022,"Warehouse Operator","Land O'Lakes",landolakesinc.com,"Food Production","$23.15 an hour",,"St.Johns area",Portland,OR,"97203"
19-02-2022,"Client Relationship Consultant Banker 2 - Bybee Milwaukie, O...","U.S. Bank",whitefortcapital.com,,,,,Portland,OR,""
20-02-2022,"Swing Shift Apartment Security Officer - $20/hour",Securitas,securitasantias.com,"Security & Investigations","$20 an hour",,,Portland,OR,""
19-02-2022,"Teacher at Hartley","KinderCare Education",kcecareers.com,"Education Management",,,,Portland,OR,"97230"
19-02-2022,"Relationship Manager - Tigard, OR","Fidelity Investments",smcc.edu,"Higher Education",,,"Northwest area",Portland,OR,"97205"
20-02-2022,"Middle School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,Portland,OR,"97035"
20-02-2022,"Elementary School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,Portland,OR,"97035"
20-02-2022,"Secondary English/ELA Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,Portland,OR,"97035"
20-02-2022,"Secondary Math/Science Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting",,,,Portland,OR,"97035"
21-02-2022,"Office Installer, $18/hr",LaunchNW,launchnw.com,"Staffing & Recruiting","$18 - $19 an hour",,"Sunderland area",Portland,OR,"97211"
19-02-2022,"Contract Administrator/Manager",Ardon,ardonhealth.com,Pharmaceuticals,,,"Parkrose area",Portland,OR,"97220"
19-02-2022,"Data Entry Clerk","Essilor of America, Inc.",essilorpse.com,"Medical Devices","From $17 an hour",,"Parkrose area",Portland,OR,"97220"
21-02-2022,"Grounds Crew Member","Ash Tree Enterprises",ashtreeent.com,,"$17 - $20 an hour",,,Portland,OR,"97223"
19-02-2022,"Outside Sales Representative - TRAINING PROGRAM PROVIDED/UNC...",AutoChlor,autochlor.com,Chemicals,"From $100,000 a year",,"Cully area",Portland,OR,"97218"
19-02-2022,"Administrative Coordinator","Oregon Primary Care Association",orpca.org,"Professional Training & Coaching","$42,000 - $46,000 a year",Remote,,"Temporarily Remote in Portland",OR,""
19-02-2022,"Customer Service Representative","Parker Staffing",parkerstaffing.com,"Staffing & Recruiting","$45,790 a year",,,Portland,OR,""
19-02-2022,"Graphic Department Assistant","EE Schenck Company",eeschenck.com,Wholesale,,,"Overlook area",Portland,OR,"97217"
