DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-22,"Administrative Support Assistant","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$43,083 - $62,232 a year",,,Portland,OR,""
2022-03-24,Auditor,"US Bonneville Power Administration",bpa.gov,Utilities,"$100,984 - $131,277 a year",,,Portland,OR,""
2022-03-22,"Government Information Specialist","US Bonneville Power Administration",bpa.gov,Utilities,"$84,923 - $110,404 a year",Remote,,"Remote in Portland",OR,""
2022-03-24,"Coordinator, Development","AMERICAN CANCER SOCIETY",cancer.org,"Nonprofit Organization Management",,Remote,,"Hybrid remote in Portland",OR,""
2022-03-24,"Health Systems Specialist","US Veterans Health Administration",va.gov,"Government Administration","$84,923 - $110,404 a year",,"Homestead area",Portland,OR,"97239"
2022-03-22,"IOA UP Research Associate","Portland State University",psu.gd,Design,"$62,184 a year",,"Downtown area",Portland,OR,"97201"
2022-03-23,"Student Services Coordinator","University of Western States",uws.edu,"Higher Education","$52,000 - $55,000 a year",,"Roseway area",Portland,OR,"97213"
2022-03-24,"Contract Specialist","US Bonneville Power Administration",bpa.gov,Utilities,"$70,853 - $92,104 a year",,,Portland,OR,""
2022-03-24,Paralegal,"Department of Justice",aji-bistro.com,Restaurants,"$4,331 - $6,645 a month",,,Portland,OR,""
2022-03-23,"Order Book Management Specialist",Adidas,adidas.com,,,,,Portland,OR,""
2022-03-22,"Associate Director of Corporate, Foundation and Government S...","Reed College",reed.edu,"Higher Education","$73,000 a year",,"Reed area",Portland,OR,"97202"
2022-03-22,"Administrative Specialist","Board of Nursing",,,"$3,296 - $4,993 a month",,,Portland,OR,""
2022-03-23,"Social Service Specialist","Department of Human Services",pa.gov,"Government Administration","$4,131 - $6,332 a month",,,Portland,OR,""
2022-03-22,Nanny,"A Brilliant Nanny",abnanny.com,"Staffing & Recruiting","$34.9K ? $44.3K a year",,"Multnomah area",Portland,OR,"97219"
2022-03-22,Nanny,"A Brilliant Nanny",abnanny.com,"Staffing & Recruiting","$33.9K ? $42.9K a year",,"Multnomah area",Portland,OR,"97219"
2022-03-23,"Migrant Seasonal Farmworker Outreach Representative","Employment Department",,,"$3,439 - $5,234 a month",,,Portland,OR,""
2022-03-22,"Junior Account Manager",Kyruus,kyruus.com,"Hospital & Health Care","$48.5K ? $61.5K a year",Remote,,"Remote in Portland",OR,""
2022-03-22,Investigator,"Board of Nursing",,,"$4,331 - $6,645 a month",,,Portland,OR,""
2022-03-23,Nanny,"A Brilliant Nanny",abnanny.com,"Staffing & Recruiting","$34K ? $43K a year",,"Multnomah area",Portland,OR,"97219"
2022-03-24,"Walk-in Sand/Shotblaster - Weekend - Dept 052 - LPC-S (Portl...","Precision Castparts Corp.",precast.com,"Aviation & Aerospace",,,"Corbett-Terwilliger-Lair Hill area",Portland,OR,"97239"
2022-03-23,"Public Utilities Specialist (Marketing)","US Bonneville Power Administration",bpa.gov,Utilities,"$70,853 - $110,404 a year",Remote,,"Remote in Portland",OR,""
2022-03-24,"Imaging Office Assistant I","Moda Health",modahealth.com,Insurance,"$29.1K ? $36.9K a year",,"Downtown area",Portland,OR,"97204"
2022-03-24,"Clinic Services Specialist 2 - Medical Receptionist","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97209"
2022-03-22,"Panel Coordinator","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
2022-03-24,"Intermediate Care Technician","US Veterans Health Administration",va.gov,"Government Administration","$47,875 - $62,232 a year",,"Homestead area",Portland,OR,"97239"
2022-03-24,"Overnight Guest Services Agent","Provenance Hotel",provenancehotels.com,Hospitality,"$30.6K ? $38.8K a year",,"Northwest area",Portland,OR,"97205"
2022-03-24,"Overnight Youth Care Specialist","Janus Youth Programs Inc",janusyouth.org,"Nonprofit Organization Management","$18.50 an hour",,"Portsmouth area",Portland,OR,"97203"
2022-03-24,Biologist,"U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$100,984 - $131,277 a year",Remote,,"Temporarily Remote in Portland",OR,"97232"
2022-03-24,"Housekeeping Aid Leader","US Veterans Health Administration",va.gov,"Government Administration","$17.78 - $20.75 an hour",,"Homestead area",Portland,OR,"97239"
2022-03-22,"Teachers at Healthy Starts Children's Center at OHSU","KinderCare Education",kcecareers.com,"Education Management",,,"Corbett-Terwilliger-Lair Hill area",Portland,OR,"97239"
2022-03-22,"Training Specialist (Human Resources Analyst I)","City of Portland, OR",,,"$56,264 - $104,291 a year",Remote,,"Temporarily Remote in Portland",OR,"97204"
2022-03-23,"Specialist-Guest Experience","Marriott International, Inc",,,,,"Pearl District area",Portland,OR,"97209"
2022-03-24,"Prosthetic/Orthotic Assistant - POPS - Full Time (1.0 FTE)","Shriners Hospitals for Children",,,"$39.1K ? $49.5K a year",,"Homestead area",Portland,OR,"97239"
2022-03-23,"2022-2023 CTE Teacher","Parkrose School District",,,"$44,460 - $87,994 a year",,"Parkrose area",Portland,OR,"97220"
2022-03-24,"Marketing Associate","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Portland,OR,""
2022-03-24,"Patient Access Representative, Full Time, Night Shift","Adventist Health Portland",,,,,,Portland,OR,""
2022-03-24,"House Painter","Twin City Painting",,,"$20 - $24 an hour",,,Portland,OR,""
2022-03-22,"Pediatric Social Worker","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Eliot area",Portland,OR,"97227"
2022-03-23,"Contract Analyst I","The Standard",standard.com,"Financial Services",,Remote,,"Remote in Portland",OR,"97204"
2022-03-22,"Lounge Hospitality Host PDX","Alaska Airlines",alaskaair.com,Airlines/Aviation,,,"Hosford area",Portland,OR,"97240"
2022-03-22,"Employee Store Marketing Associate",Adidas,adidas.com,,,,,Portland,OR,""
2022-03-22,"Assistant Manager",Athleta,athleta.com,"Apparel & Fashion",,,"Pearl District area",Portland,OR,"97209"
2022-03-22,"Assistant Buyer",Adidas,adidas.com,,,,,Portland,OR,""
2022-03-23,"Head of Projects","Axiom Custom Products",axiomcustom.com,Construction,"$47.8K ? $60.6K a year",,"Sunderland area",Portland,OR,"97211"
2022-03-22,"Part-Time and Full-Time Teachers at First Gear Academy","KinderCare Education",kcecareers.com,"Education Management",,,"Arbor Lodge area",Portland,OR,"97217"
2022-03-22,"Part-Time and Full-Time Teachers at KinderCare Learning Cent...","KinderCare Education",kcecareers.com,"Education Management",,,"Brooklyn area",Portland,OR,"97202"
2022-03-23,"Math and Science Teacher","Edison High School",,,"$47.9K ? $60.7K a year",,"West Slope area",Portland,OR,"97225"
2022-03-24,"Student Brand Ambassador, Portland State University",GoPuff,gopuff.com,Internet,,Remote,,"Remote in Portland",OR,""
2022-03-22,"Training Coordinator (Analyst II)","City of Portland, OR",,,"$66,872 - $111,238 a year",Remote,,"Temporarily Remote in Portland",OR,""
2022-03-22,"Fleet Services Coordinator I-E","City of Portland, OR",,,"$50,981 - $94,515 a year",Remote,,"Temporarily Remote in Portland",OR,"97227"
2022-03-22,"Concentrator Check","Norco, Inc",norco-inc.com,Retail,"$41.4K ? $52.4K a year",,"Eliot area",Portland,OR,"97212"
2022-03-24,"Tumor Registrar","Oregon Health & Science University",ohsu.edu,Research,,,"Homestead area",Portland,OR,"97239"
2022-03-23,"Member Advisor I","iQ Credit Union",iqcu.com,"Financial Services","$17.50 - $18.00 an hour",,"Arbor Lodge area",Portland,OR,"97217"
