DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-19,"Floor Supervisor II - Portland Employee Store",Columbia,,,,,,Portland,OR,"97229"
2022-03-19,"Associate Buyer",Adidas,adidas.com,,,,,Portland,OR,""
2022-03-19,"Supervisor, Human Resource Service Team","Portland General Electric",portlandgeneral.com,Utilities,"$78.2K ? $99K a year",Remote,,"Hybrid remote in Portland",OR,""
2022-03-19,"Director of Campus Operations (Full-Time)","Portland Art Museum",portlandartmuseum.org,"Museums & Institutions","$83,200 a year",,"Downtown area",Portland,OR,"97205"
2022-03-19,"Human Resources Manager 2 - Department of County Human Servi...","Multnomah County, OR",multco.us,"Government Administration","$90,942 - $136,413 a year",Remote,,"Remote in Portland",OR,""
2022-03-19,"Sales Representative","BlackPoint IT Services",blackpoint-it.com,"Information Technology & Services","$57.5K ? $72.9K a year",Remote,,"Remote in Portland",OR,"97219"
2022-03-19,"Field Coordinator","Department of Transportation",glifwc.org,"Government , Animals & Livestock , Agriculture","$4,552 - $6,964 a month",,"Old Town-Chinatown area",Portland,OR,"97209"
2022-03-19,"Specialist, Accounts Receivable",TriMet,trimet.org,Transportation/Trucking/Railroad,"Up to $10,000 a month",,"Downtown area",Portland,OR,"97201"
2022-03-20,"Customer Care Specialist",Providence,psjhealth.org,"Hospital & Health Care",,,,Portland,OR,"97213"
2022-03-18,"Manager, Diversity, Equity & Inclusion Community","Davis Wright Tremaine LLP",dwt.com,"Law Practice","$55.9K ? $70.7K a year",,"Homestead area",Portland,OR,"97201"
2022-03-21,"Legal Assistant ? IP/Patent","Davis Wright Tremaine LLP",dwt.com,"Law Practice","$58.6K ? $74.2K a year",Remote,,"Remote in Portland",OR,"97201"
2022-03-21,"Insurance Account Specialist - Remote","USAble Life",usablelife.com,Insurance,"$51.5K ? $65.3K a year",Remote,,"Remote in Portland",OR,""
2022-03-19,"Manager, Buying, Factory Outlet",Adidas,adidas.com,,,,,Portland,OR,""
2022-03-19,"Contract Representative I","Moda Health",modahealth.com,Insurance,"$36.5K ? $46.3K a year",,"Downtown area",Portland,OR,"97204"
