DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-12,"Associate Director, Product Management",AT&T,att.com,Telecommunications,,,,Portland,OR,""
2022-03-12,"Environmental Specialist",Stantec,tdg.co.nz,"Civil Engineering",,,,Portland,OR,""
2022-03-12,"Director, Bus Operations and Field Ops",TriMet,trimet.org,Transportation/Trucking/Railroad,"Up to $10,000 a month",,"Brooklyn area",Portland,OR,"97202"
2022-03-12,"Principal Product Manager","Xometry Inc",xometry.com,Internet,,,,Portland,OR,""
2022-03-12,".NET Solution Architect-Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
2022-03-11,"Compensation Program Manager - Incentives","Columbia Sportswear Company",columbiasportswearcompany.com,"Apparel & Fashion",,,,Portland,OR,"97229"
2022-03-12,"Channel Sales Manager - Cisco Alliance",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
2022-03-13,"Manager, Competitive Intelligence - US Strategy | Businesses...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
2022-03-12,"Data Insight & Advanced Analytics Specialist Daimler Truck N...","Daimler Truck AG",,,,,,Portland,OR,""
2022-03-12,"Manager – HR Digitalization, Data & Analytics (E4) Daimler T...","Daimler Truck AG",,,,,,Portland,OR,""
2022-03-11,"Regional Maintenance Specialist - Pacific Northwest",Jacobs,jacobs.com,"Civil Engineering",,Remote,,"Hybrid remote in Portland",OR,"97222"
2022-03-12,"Account Based Marketing (ABM) Manager - Opportunity for Work...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Portland",OR,""
2022-03-12,"Principal .NET Developer-Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Portland,OR,"97204"
2022-03-12,"Product Manager, SaaS GTM",Qlik,qlik.com,"Computer Software",,,"Irvington area",Portland,OR,"97299"
2022-03-12,"Account Supervisor, Brand Marketing Operations, Creative",Thesis,designbythesis.com,"Marketing & Advertising",,,"Pearl District area",Portland,OR,"97209"
2022-03-12,"QA Operation Specialist (Biopharma)",PharmAllies,pharmallies.com,"Management Consulting",,,,Bend,OR,""
2022-03-11,"Director, APLA Womens Lifestyle Footwear Product Merchandisi...",Nike,nike.com,"Sporting Goods",,,,Beaverton,OR,""
2022-03-12,"Director | Nike Kids Innovation",Nike,nike.com,"Sporting Goods",,,,Beaverton,OR,""
2022-03-11,"Staff Digital Product Designer﹣Nike. Partners (Open to remot...",Nike,nike.com,"Sporting Goods","$140,000 a year",Remote,,"Remote in Beaverton",OR,""
