DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-14,"Management Program Analyst","US Bonneville Power Administration",bpa.gov,Utilities,"$100,984 - $131,277 a year",,,Portland,OR,""
2022-05-15,"Curriculum & Student Learning Administrator","CENTENNIAL SD 28J",csd28j.org,,"$116,090 a year",,,Portland,OR,"97236"
2022-05-14,"Accounting Technician (AT)","Department of Environmental Quality",virginiadot.org,Transportation/Trucking/Railroad,"$3,164 - $4,763 a month",,,Portland,OR,""
2022-05-15,"Real Time Workforce Specialist","Columbia Sportswear Company",columbiasportswearcompany.com,"Apparel & Fashion",,,,Portland,OR,"97229"
2022-05-14,"Technical Assistance Associate-5",Flexential,flexential.com,"Information Technology & Services","$33.6K - $42.6K a year",,,Portland,OR,""
2022-05-14,"Case Manager - Wy'East","Do Good Multnomah",dogoodmultnomah.org,"Nonprofit Organization Management","$20.60 an hour",,"Mill Park area",Portland,OR,"97233"
2022-05-14,"Resource Specialist","Do Good Multnomah",dogoodmultnomah.org,"Nonprofit Organization Management","$21.17 an hour",,"Roseway area",Portland,OR,"97213"
2022-05-13,"Realty Specialist","U.S. Army Corps of Engineers",army.milx,,"$58,560 - $92,104 a year",,,Portland,OR,""
2022-05-14,"Business Auditor (Human Services Specialist 2)","Department of Human Services",pa.gov,"Government Administration","$2,922 - $4,331 a month",Remote,,"Remote in Portland",OR,""
2022-05-16,"Warehouse Coordinator","The Coca-Cola Company",coca-colacompany.com,"Food & Beverages",,,"Kerns area",Portland,OR,"97232"
2022-05-15,"Research Assistant 1","Oregon Health & Science University",ohsu.edu,Research,,,"Homestead area",Portland,OR,"97239"
2022-05-16,"Legal Assistant (OA)","US Internal Revenue Service",irs.gov,"Government Administration","$44,740 - $62,232 a year",,,Portland,OR,""
2022-05-16,"Produce Clerk","New Seasons Market",newseasonsmarket.com,"Food & Beverages","$16.25 - $18.57 an hour",,,Portland,OR,""
2022-05-14,"Account Executive Digital Media - REMOTE","Salem Media Group",salemmedia.com,"Broadcast Media",,Remote,,"Remote in Portland",OR,"97222"
2022-05-14,"Social Work Resident","Portland State University",psu.gd,Design,"$32,787 a year",,"Downtown area",Portland,OR,"97201"
2022-05-16,"Manager of Broker Sales -Work from home - Portland, OR",Cigna,cigna.com,"Health, Wellness & Fitness",,,,Portland,OR,"97204"
2022-05-16,"WAREHOUSE crew member","Spade and Archer",,,"$30.4K - $38.4K a year",,,Portland,OR,""
2022-05-15,"Dean of Students at Centennial Middle School","CENTENNIAL SD 28J",csd28j.org,,,,,Portland,OR,"97236"
2022-05-14,"Operating Room Assistant","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
2022-05-15,"Third Mate Dredge Control Officer Hopper Dredge","U.S. Army Corps of Engineers",army.milx,,"$36.41 - $42.47 an hour",,,Portland,OR,""
2022-05-14,"Accounting Technician","Portland State University",psu.gd,Design,"$17.67 an hour",,"Downtown area",Portland,OR,"97201"
2022-05-14,"Home Transition Coordinator","Norco, Inc",norco-inc.com,Retail,,,"Eliot area",Portland,OR,"97212"
2022-05-14,"Technical Instructor - New College Graduate",Splunk,splunk.com,"Computer Software",,,"Reed area",Portland,OR,"97202"
2022-05-16,"Housekeeper - Day","New Seasons Market",newseasonsmarket.com,"Food & Beverages","$16.25 - $18.57 an hour",,,Portland,OR,""
2022-05-14,"Member Advisor I","iQ Credit Union",iqcu.com,"Financial Services","$17.50 - $18.00 an hour",,"Arbor Lodge area",Portland,OR,"97217"
2022-05-14,"PAS Specialist, Centralized Check-In","Oregon Health & Science University",ohsu.edu,Research,,,"Homestead area",Portland,OR,"97239"
2022-05-14,"Distribution Team Leader","Mondelēz International",mondelezinternational.fr,,,,,Portland,OR,""
2022-05-14,"Warehouse Team Member","New System",,,"$17 an hour",,,Portland,OR,""
2022-05-14,"Employment Specialist-AHFE","Central City Concern",centralcityconcern.org,"Nonprofit Organization Management",,,"Pearl District area",Portland,OR,"97209"
2022-05-14,"Rehab Administrative Assistant","Infinity Rehab",infinityrehab.com,"Hospital & Health Care",,,"Buckman area",Portland,OR,"97214"
2022-05-15,"7th/8th Grade Math Teacher (LMS)","REYNOLDS SD 7",,,"$50.2K - $63.6K a year",,,Portland,OR,"97230"
2022-05-15,"Respiratory Care Equipment Technician","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Eliot area",Portland,OR,"97227"
2022-05-14,"Line Technician","Gee Automotive Companies",geeautomotive.com,Automotive,"$45.2K - $57.2K a year",,"Mill Park area",Portland,OR,"97233"
2022-05-15,"Call Center Blood Scheduler","American Red Cross",redcross.org,"Nonprofit Organization Management",,,,Portland,OR,""
2022-05-15,"Clinic Registered Nurse","The Portland Clinic",theportlandclinic.com,"Medical Practice","$31.49 - $44.09 an hour",,,Portland,OR,""
2022-05-14,"Medical Store Customer Service Representative","Norco, Inc",norco-inc.com,Retail,,,"Eliot area",Portland,OR,"97212"
2022-05-14,"Marine Equipment Repairer/Operator (Dual Rate)","U.S. Army Corps of Engineers",army.milx,,"$26.05 - $34.11 an hour",,,Portland,OR,""
2022-05-14,"Customer Service Representative","Lithia Motors, Inc.",,,,,,Portland,OR,"97223"
2022-05-14,"Full Stack Developer II","Columbia Sportswear Company",columbiasportswearcompany.com,"Apparel & Fashion",,,,Portland,OR,"97229"
2022-05-14,"✨ House Cleaner (Portland) - Flexible Schedule","Maid to Shine Cleaning",,,"Up to $1,200 a week",,,Portland,OR,""
2022-05-15,"Emergency Services Technician","Legacy Health",legacyhealth.org,"Hospital & Health Care",,,"Northwest area",Portland,OR,"97210"
2022-05-14,"Litigation Legal Practice Assistant","Perkins Coie",perkinscoie.com,"Law Practice","$39.2K - $49.6K a year",,,Portland,OR,""
