DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-17,"Technical Specialist",Apple,apple.com,"Consumer Electronics",,,,Philadelphia,PA,""
2022-04-18,"Specialist: Full-Time, Part-Time, and Part-Time Temporary",Apple,apple.com,"Consumer Electronics",,,,Philadelphia,PA,""
2022-04-16,"Critical Care Tech","Jefferson - Center City, Philadelphia, PA",,,,,"City Center East area",Philadelphia,PA,"19107"
2022-04-17,"Research Associate in Political Science","University of Pennsylvania",kupermanllc.com,"Venture Capital & Private Equity",,,"University City area",Philadelphia,PA,"19104"
2022-04-17,Genius,Apple,apple.com,"Consumer Electronics",,,,Philadelphia,PA,""
2022-04-16,"Clinical Nurse II","University of Pennsylvania Health System",pennmedicine.org,"Hospital & Health Care",,,"University City area",Philadelphia,PA,""
2022-04-18,"Brand Ambassador, Center City - Full Time",Macy’s,,,,,"Washington Square area",Philadelphia,PA,"19107"
2022-04-18,"MANAGEMENT AND PROGRAM ANALYST","US Assistant Secretary for Housing-Federal Housing...",,,"$59,790 - $94,037 a year",,,Philadelphia,PA,""
2022-04-16,Controller-Rooms,"Marriott International, Inc",,,,,"Center City area",Philadelphia,PA,"19107"
2022-04-16,"Critical Care Tech - 7W","Jefferson - Center City, Philadelphia, PA",,,,,"Washington Square area",Philadelphia,PA,"19107"
2022-04-18,"Teacher, Full-Time- Art, K-12","The School District Of Philadelphia",philasd.org,"Education Management",,,,Philadelphia,PA,""
2022-04-16,"REGISTERED NURSE- TUHJ-Emergency Dept- 36HR Day Flex Shift (...","Temple University Health System",templehealth.org,"Hospital & Health Care",,,,Philadelphia,PA,""
2022-04-16,"LS - Line Service Technician (PNE)","Atlantic Aviation",atlanticag.net,,"$25.3K – $32.1K a year",,"Northeast Airport area",Philadelphia,PA,"19114"
2022-04-16,"Lead Barista - FT","Barnes & Noble",barnesandnoble.com,Publishing,,,"Rittenhouse area",Philadelphia,PA,"19103"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Overbrook area",Philadelphia,PA,"19151"
2022-04-16,"SPECIAL OBSERVER","Temple University Health System",templehealth.org,"Hospital & Health Care",,,,Philadelphia,PA,""
2022-04-16,"BaSE Full-time Maintenance Journeyman","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,"Eastwick area",Philadelphia,PA,"19153"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"West Oak Lane area",Philadelphia,PA,"19126"
2022-04-18,"Registered Nurse (RN)",Comcentric,comcentric.com,"Information Technology & Services","$94K – $119K a year",,,Philadelphia,PA,""
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Allegheny West area",Philadelphia,PA,"19129"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Roxborough area",Philadelphia,PA,"19128"
2022-04-16,Geriatrician,"Temple University, Office of Physician & Faculty...",,,"$179K – $227K a year",,"Fox Chase area",Philadelphia,PA,"19111"
2022-04-16,"Clinical Research Nurse B/C (Infectious Diseases)","University of Pennsylvania",kupermanllc.com,"Venture Capital & Private Equity",,,"University City area",Philadelphia,PA,"19104"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"East Kensington area",Philadelphia,PA,"19125"
2022-04-18,Reporter,"CBS Television Stations",,,,,"Fairmount-Spring Garden area",Philadelphia,PA,"19130"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Mount Airy West area",Philadelphia,PA,"19119"
2022-04-16,Cashier,Goldie,goldiefalafel.com,,"$21.2K – $26.8K a year",,"Rittenhouse area",Philadelphia,PA,"19102"
2022-04-18,"Neuropsychologist I - Surgery Partnerships","Children's Hospital of Philadelphia",chop.edu,"Hospital & Health Care",,,"Belmont area",Philadelphia,PA,"19104"
