DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-01,"Deputy Executive Director of Operations","City of Philadelphia",phila.gov,"Government Administration","$100,000 - $110,000 a year",,"Washington Square area",Philadelphia,PA,"19107"
2022-03-30,"Assistant Project Manager",Torcon,torcon.com,Construction,"$85,000 - $125,000 a year",,,Philadelphia,PA,""
2022-04-01,"Director of Operations","Drexel University",drexel.edu,E-Learning,"$78.2K ? $99K a year",,"University City area",Philadelphia,PA,"19104"
2022-04-01,"Public Relations Vice President (Fintech/Commerce + Healthca...","Highwire Public Relations",highwirepr.com,"Public Relations & Communications","$78.6K ? $99.6K a year",Remote,,"Hybrid remote in Philadelphia",PA,""
2022-03-31,"Director of Program Operations",EducationWorks,educationworks.org,"Education Management","$60.8K ? $77K a year",,"Callow Hill area",Philadelphia,PA,"19123"
2022-04-01,"Director of Research (Center for Cellular Immunotherapy)","University of Pennsylvania",kupermanllc.com,"Venture Capital & Private Equity",,,"University City area",Philadelphia,PA,"19104"
2022-04-01,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2022-03-31,"Transportation Planner",STV,stvinc.com,"Architecture & Planning","$62.6K ? $79.2K a year",,,Philadelphia,PA,"19103"
2022-03-30,"Research Associate I - Tsui Lab","Children's Hospital of Philadelphia",chop.edu,"Hospital & Health Care",,,"Graduate Hospital area",Philadelphia,PA,"19146"
2022-04-01,"Program Manager 3, Program Management",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2022-03-31,"Director Cybersecurity Defense Operations","University of Pennsylvania Health System",pennmedicine.org,"Hospital & Health Care",,,"University City area",Philadelphia,PA,"19104"
2022-04-01,"Director, Patients Support Services - Hub Operations General...","Sanofi US",,,,,,Philadelphia,PA,""
2022-03-31,"Principal Transmission Development & Strategy - Exelon","Exelon Corporation",exelon.com,,,,"Logan Square area",Philadelphia,PA,"19103"
2022-04-01,"Global Communications Strategy Director, Sustainability",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2022-04-01,"Information Technology Director","City of Philadelphia",phila.gov,"Government Administration","$93K ? $118K a year",,"Philadelphia International Airport area",Philadelphia,PA,"19153"
2022-03-30,"Area Vice President, Sales",Splunk,splunk.com,"Computer Software",,,"Wharton-Hawthorne-Bella Vista area",Philadelphia,PA,"19147"
2022-03-30,"VP, Americas PS Delivery - Opportunity for Working Remotely...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Philadelphia",PA,""
2022-03-30,"CAD Designer",Stantec,tdg.co.nz,"Civil Engineering",,,,Philadelphia,PA,""
2022-04-01,"Global Brand Strategy Director, Sustainability",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2022-03-30,"North America Regional Category Lead - Procurement (Workplac...",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2022-03-31,"Automation System Designer","Philly Shipyard, Inc.",phillyshipyard.com,Shipbuilding,"$65K ? $82.4K a year",,"Navy Yard area",Philadelphia,PA,"19112"
2022-03-31,"Head Advisory Solutions","Janney Montgomery Scott LLC",janney.com,"Financial Services","$102K ? $130K a year",,"Logan Square area",Philadelphia,PA,"19103"
2022-03-31,"Director, Cybersecurity Governance, Risk and Compliance (GRC...","University of Pennsylvania Health System",pennmedicine.org,"Hospital & Health Care",,,"University City area",Philadelphia,PA,"19104"
2022-03-30,"Associate Director of Admissions, Graduate Admissions, Whart...","University of Pennsylvania",kupermanllc.com,"Venture Capital & Private Equity",,,"University City area",Philadelphia,PA,"19104"
2022-04-01,"Global Experience Design Lead, Sustainability",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2022-03-29,"Plant President","RR Donnelley",rrd.com,"Marketing & Advertising",,,"Bustleton area",Philadelphia,PA,"19115"
2022-04-01,"Director Physician Practice Administration - Division of Gen...","Children's Hospital of Philadelphia",chop.edu,"Hospital & Health Care",,,"Belmont area",Philadelphia,PA,"19104"
2022-04-01,"Regional Banking Sales Executive - Risk & Financial Advisory",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2022-04-01,"Manager, Engagement - DAS Project Omnia",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2022-03-30,"Director, Product Market Strategy - VMware Cloud - Opportuni...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Philadelphia",PA,""
2022-03-31,Registrar,"Holy Family University",holyfamily.edu,"Higher Education","$57.2K ? $72.4K a year",,"Torresdale area",Philadelphia,PA,"19114"
2022-04-01,"President & CEO","Philadelphia Opportunities Industrialization...",,,"From $140,000 a year",,"Yorktown area",Philadelphia,PA,"19122"
2022-04-01,"CAT Modeler",RQIHUS,,,"$78.4K ? $99.2K a year",,,Philadelphia,PA,"19103"
2022-03-31,"Director of Program Operations","EducationWorks ATS",,,"$63.8K ? $80.8K a year",,,Philadelphia,PA,""
2022-04-01,"Director of Paralegal Services (Hybrid)","Blank Rome LLP",blankrome.com,"Law Practice","$74.7K ? $94.5K a year",,"Logan Square area",Philadelphia,PA,"19103"
2022-03-31,"Scrum Master/Project Manager",R4,r4.ai,"Information Technology & Services","$121K ? $154K a year",,,Philadelphia,PA,""
2022-03-31,"Associate Director, Paid Search","Dentsu Media",,,"$76.6K ? $97K a year",,,Philadelphia,PA,""
2022-04-01,"CAT Modeler",RQIHUS,,,"$78.4K ? $99.2K a year",,,Philadelphia,PA,"19103"
2022-03-30,"Director of HR Technology & Process","Day & Zimmermann - Corporate TA",dayzim.com,Construction,,,"Logan Square area",Philadelphia,PA,"19130"
2022-04-01,"Director of Solar - Utility EPC Construction","Sentry Electrical Group, Inc.",sentryelec.com,Construction,"$85.7K ? $109K a year",Remote,,"Remote in Philadelphia",PA,"19019"
2022-03-31,"Director, CMC Technical Compliance",Adaptimmune,adaptimmune.com,Biotechnology,"$88.8K ? $112K a year",,"Navy Yard area",Philadelphia,PA,"19112"
2022-03-31,"Scrum Master/Project Manager",R4,r4.ai,"Information Technology & Services","$121K ? $154K a year",,,Philadelphia,PA,""
2022-03-31,"Director, Nutrition & Food Services",UPMC,upmc.com,"Hospital & Health Care",,,,Pittsburgh,PA,"15237"
2022-03-30,"Director - Investment Office","Carnegie Mellon University",cmu.edu,"Higher Education","$98.8K ? $125K a year",,"Squirrel Hill North area",Pittsburgh,PA,"15213"
2022-03-30,"Director of Recruitment and Admissions","The University of Pittsburgh",pitt.edu,"Higher Education","$46,644 - $76,440 a year",,,Pittsburgh,PA,""
2022-03-30,"Assistant Director of Strategic Initiatives (Hybrid Availabl...","The University of Pittsburgh",pitt.edu,"Higher Education",,Remote,,"Hybrid remote in Pittsburgh",PA,""
2022-03-30,"CAD Designer",Stantec,tdg.co.nz,"Civil Engineering",,,,Pittsburgh,PA,""
2022-04-01,"Project Manager",Emerson,emerson.com,"Mechanical Or Industrial Engineering",,,,Pittsburgh,PA,""
2022-03-31,"Business Systems Analyst - Pittsburgh, PA","F.N.B. Corp.",fnb-online.com,"Financial Services","$61.8K ? $78.2K a year",,,Pittsburgh,PA,""
2022-03-30,"ORAT Manager",Jacobs,jacobs.com,"Civil Engineering",,,,Pittsburgh,PA,"15202"
2022-03-31,"IT Business Architect ? Supply Chain","Howmet Aerospace",howmet.com,"Aviation & Aerospace",,Remote,,"Hybrid remote in Pittsburgh",PA,""
2022-04-01,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Pittsburgh,PA,"15222"
2022-03-30,"IT Infrastructure Architect",LKQ,lkqcorp.com,Automotive,,,"North Shore area",Pittsburgh,PA,"15212"
