DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"National Director of Training","Your Part-Time Controller, LLC",yptc.com,Accounting,,Remote,,"Hybrid remote in Philadelphia",PA,""
2/11/2022,"Digital Workplace Content Manager - DAS Unity & Collaboratio...",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2/12/2022,"Construction Coordinator IV","TeleWorld Solutions Inc",teleworldsolutions.com,Telecommunications,,Remote,,"Remote in Philadelphia",PA,""
2/13/2022,"Quality Improvement Coordinator - Rehab Services","Children's Hospital of Philadelphia",chop.edu,"Hospital & Health Care",,,"Graduate Hospital area",Philadelphia,PA,"19146"
2/11/2022,"Project Manager","IA Interior Architects",interiorarchitects.com,Design,,,,Philadelphia,PA,""
2/13/2022,"Data Warehousing/ ETL Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2/11/2022,"Associate Director, Project Management & Compliance (CRCU)","University of Pennsylvania",kupermanllc.com,"Venture Capital & Private Equity",,,"University City area",Philadelphia,PA,"19104"
2/12/2022,"Director, Employee Communications",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2/12/2022,"Adobe Experience Platform",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2/12/2022,"Trial Attorney","US Defense Logistics Agency",dla.mil,Military,"$103,104 - $158,388 a year",Remote,,"Temporarily Remote in Philadelphia",PA,""
2/12/2022,"Public Relations Vice President (Fintech/Commerce + Healthca...","Highwire Public Relations",highwirepr.com,"Public Relations & Communications",,Remote,,"Hybrid remote in Philadelphia",PA,""
2/12/2022,"Project Architect - Healthcare","Francis Cauffman",fcarchitects.com,"Architecture & Planning",,,,Philadelphia,PA,"19103"
2/13/2022,"Director, Wireless Security Engineering",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2/11/2022,"Communications Manager, Climate Change and Sustainability",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Hybrid remote in Philadelphia",PA,""
2/12/2022,"Pega Developer/Architect - Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2/12/2022,"Manager Medicare Sales - Telesales & Analytics","Independence Blue Cross",ibx.com,Insurance,,,,Philadelphia,PA,""
2/12/2022,"Vice President, Sales Development Regions & Enterprise",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2/12/2022,"Adobe Experience Manager (AEM) Application Architect",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2/11/2022,"Vice President, Americas Marketing - Opportunity for Working...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Philadelphia",PA,""
2/14/2022,"Director of Operations, Correspondent","Spring EQ LLC",springeq.com,"Financial Services",,,"Belmont area",Philadelphia,PA,"19104"
2/12/2022,"Construction Coordinator IV","TELEWORLD SOLUTIONS INC",teleworldsolutions.com,Telecommunications,,,"Logan Square area",Philadelphia,PA,"19103"
2/12/2022,"Head of Global Talent Acquisition",Cloudbeds,cloudbeds.com,"Information Technology & Services",,Remote,,"Remote in Philadelphia",PA,""
2/12/2022,"VP Director, Account Planning","Digitas Health",digitashealth.com,"Marketing & Advertising",,,"Center City area",Philadelphia,PA,"19107"
2/12/2022,"Project Manager","Chartier Group",,,"$100,000 - $150,000 a year",,,Philadelphia,PA,""
2/12/2022,"Manager, Software Development","DataLink Fund Solutions",datalinksoftware.com,"Information Technology & Services",,,"Eastwick area",Philadelphia,PA,"19153"
2/11/2022,"Digital Workplace Content Manager - DAS Unity & Collaboratio...",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Pittsburgh,PA,"15222"
2/12/2022,"Associate Director of Operations - Network Services","The University of Pittsburgh",pitt.edu,"Higher Education",,,,Pittsburgh,PA,""
2/13/2022,"Data Warehousing/ ETL Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Pittsburgh,PA,"15222"
2/12/2022,"Vice President, Environmental Projects",ViacomCBS,viacomcbs.com,Entertainment,,,"Central Business District area",Pittsburgh,PA,"15222"
2/12/2022,"Adobe Experience Platform",Accenture,cazoodle.com,"Computer Software",,,"Central Business District area",Pittsburgh,PA,"15222"
2/11/2022,"Communications Manager, Climate Change and Sustainability",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Hybrid remote in Pittsburgh",PA,""
2/12/2022,"Transformation Architect - Physician RCM Services","Change Healthcare",changehealthcare.com,"Information Technology & Services",,,,Pittsburgh,PA,""
2/12/2022,"Lead Full Stack Developer","Robots & Pencils",robotsandpencils.com,"Information Technology & Services",,Remote,,"Remote in Pittsburgh",PA,""
2/12/2022,"Pega Developer/Architect - Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Pittsburgh,PA,"15222"
2/12/2022,"Principal Software Solution Architect","Hitachi Rail STS USA, Inc.",,,,,"Middle Hill area",Pittsburgh,PA,"15219"
2/12/2022,"Adobe Experience Manager (AEM) Application Architect",Accenture,cazoodle.com,"Computer Software",,,"Central Business District area",Pittsburgh,PA,"15222"
2/12/2022,"Principal Software Solution Architect","Hitachi Rail STS USA, Inc.",,,,,,Pittsburgh,PA,""
2/12/2022,"SAP MM/PP Consultant",SAP,sap.com,"Information Technology & Services",,,,Pittsburgh,PA,"15212"
2/12/2022,"Database Administrator","IQ Inc",iq-inc.com,"Information Technology & Services","$70,000 - $130,000 a year",,"Oakland area",Pittsburgh,PA,"15219"
2/11/2022,"Digital Workplace Content Manager - DAS Unity & Collaboratio...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Harrisburg,PA,"17101"
2/11/2022,"Communications Manager, Climate Change and Sustainability",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Hybrid remote in Harrisburg",PA,""
2/12/2022,"Pega Developer/Architect - Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Harrisburg,PA,"17101"
2/12/2022,"NET Core / Blazor","Pendragon Business Solutions LLC",,,"$45 - $55 an hour",,,Harrisburg,PA,""
2/12/2022,"NET Core / Blazor","Pendragon Business Solutions LLC",,,"$45 - $55 an hour",,,Harrisburg,PA,""
2/12/2022,"Quality Analyst","St. Luke's University Health Network",slhn.org,"Hospital & Health Care",,,,Allentown,PA,"18109"
2/13/2022,"Radio System Architect",Intel,intel.in,"Information Technology & Services",,,,Allentown,PA,"18109"
2/12/2022,"GENERAL PLANT MANAGER","Metal Sales Manufacturing Corporation",metalsales.us.com,"Building Materials",,,,Reading,PA,""
2/12/2022,"Director of Administration","Lehigh University",lehigh.edu,"Higher Education",,,,Bethlehem,PA,"18015"
2/12/2022,"Piping Designer","Always With Detail",alwayswithdetail.com,,"$40 - $60 an hour",,,Bethlehem,PA,"18020"
2/13/2022,"QA Operation Specialist - (BIOPHARMA)",PharmAllies,pharmallies.com,"Management Consulting",,,,Bethlehem,PA,""
2/13/2022,"QC, Analytical Development, Scientist III (Biopharma)",PharmAllies,pharmallies.com,"Management Consulting",,,,Bethlehem,PA,""
2/13/2022,"Director of Validation - (BIOPHARMA)",PharmAllies,pharmallies.com,"Management Consulting",,,,Bethlehem,PA,""
