DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-19,"Dean of Students & Assistant Vice President for Student Deve...","La Salle University",lasalle.edu,"Higher Education","$63.6K ? $80.6K a year",,"Logan area",Philadelphia,PA,"19141"
2022-03-18,"Director of Development","Frankford Friends School",frankfordfriends.org,"Primary/Secondary Education","$60.5K ? $76.7K a year",,"Frankford area",Philadelphia,PA,"19124"
2022-03-20,"SVP, CIO, IT Business Services",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2022-03-18,"Public Relations Vice President (Fintech/Commerce + Healthca...","Highwire Public Relations",highwirepr.com,"Public Relations & Communications","$73K ? $92.4K a year",Remote,,"Hybrid remote in Philadelphia",PA,""
2022-03-19,"Manager, C&M - Healthcare - Customer Strategy & Applied Desi...",Deloitte,deloitte.com,"Management Consulting",,,"Rittenhouse area",Philadelphia,PA,"19103"
2022-03-19,"Digital Enterprise Customer Success Manager",Siemens,siemens.com,"Industrial Automation",,,,Philadelphia,PA,""
2022-03-20,"Director, Leadership Portfolio",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2022-03-19,"1746: NA M+C Talent Brand Lead",Accenture,cazoodle.com,"Computer Software",,,"Logan Square area",Philadelphia,PA,"19103"
2022-03-20,"Manager 2, Engineering Ops",Comcast,comcast.com,Telecommunications,,,,Philadelphia,PA,"19103"
2022-03-19,"Director of Strategic Accounts","Netrality Data Centers",netrality.com,Telecommunications,"$105K ? $133K a year",,"Callow Hill area",Philadelphia,PA,"19108"
2022-03-19,"Content Manager","Police and Fire Federal Credit Union",pffcu.org,Banking,"$63.7K ? $80.7K a year",,"Chinatown area",Philadelphia,PA,"19107"
2022-03-19,"Director, Clinical Operations","Spirovant Sciences, Inc.",spirovant.com,Biotechnology,"$142K ? $180K a year",,,Philadelphia,PA,""
2022-03-19,Copywriter,"Razorfish Health",razorfishhealth.com,"Marketing & Advertising","$66.2K ? $83.8K a year",Remote,,"Remote in Philadelphia",PA,"19107"
2022-03-19,"Engineering Program Technical Coordinator","Q.E.D. Systems, Inc.",qedsysinc.com,Maritime,,,"Navy Yard area",Philadelphia,PA,"19112"
2022-03-18,"Vice President - Northeast Region",BlueTeam,securityblue.team,"Computer & Network Security","$84.2K ? $107K a year",,,Philadelphia,PA,""
2022-03-19,"Associate Creative Director","Digitas Health",digitashealth.com,"Marketing & Advertising","$84.1K ? $106K a year",,"Center City area",Philadelphia,PA,"19107"
2022-03-18,"Head of Global Compensation (USA Remote)","Turnitin, LLC",turnitin.com,"Information Technology & Services","$102K ? $129K a year",Remote,,"Remote in Philadelphia",PA,""
2022-03-19,"Director II Account Management",Anthem,anthem.com,Insurance,,,,Pittsburgh,PA,"15239"
2022-03-19,"Lead Web Developer Backend - Python","Robots & Pencils",robotsandpencils.com,"Information Technology & Services","$116K ? $147K a year",Remote,,"Remote in Pittsburgh",PA,""
2022-03-19,"Founding Director",BUILD,build.org,"Nonprofit Organization Management",,,,Pittsburgh,PA,""
2022-03-21,"Technical Service Desk/OSS Analyst","BNY Mellon",bnymellon.com,"Financial Services",,,"Central Business District area",Pittsburgh,PA,"15219"
2022-03-19,"National Account Manager","Graham Packaging Company",grahampackaging.com,"Packaging & Containers",,Remote,,"Remote in Lancaster",PA,"17601"
2022-03-19,"Manager, Project Management","Bosch Group",bosch.com,"Information Technology & Services",,,,Lancaster,PA,"17601"
2022-03-19,"Project Manager","Bosch Group",bosch.com,"Information Technology & Services",,,,Lancaster,PA,"17601"
2022-03-19,"Director II Account Management",Anthem,anthem.com,Insurance,,,,Harrisburg,PA,"17112"
2022-03-19,"Director Ambulatory Practices - Admin General","Penn State Milton S. Hershey Medical Center",pennstatehealth.org,"Hospital & Health Care",,,,Harrisburg,PA,""
2022-03-19,"Project Manager - Land Development","Bl Companies Inc",,,"$69.7K ? $88.3K a year",,,Harrisburg,PA,"17110"
2022-03-19,"ERIEBANK, Wealth Advisor","CNB Bank",cnbbank.bank,Banking,"$101K ? $128K a year",,,Erie,PA,"16509"
