DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2023-01-14,"Medical Secretary",Lifespan,lifespan.org,"Hospital & Health Care","estimated $37.3k - $47.3k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Patient Care Attendant",Lifespan,lifespan.org,"Hospital & Health Care","estimated $34k - $43.1k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Washroom Attendant",Lifespan,lifespan.org,"Hospital & Health Care","estimated $42.8k - $54.1k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Unit Secretary",Lifespan,lifespan.org,"Hospital & Health Care","estimated $30.8k - $39k a year",,"Hope area)",Providence,RI,"2906"
2023-01-15,"Teaching Administrator - College English Composition",Pearson,pearson.com,"Education Management","$25 - $28 an hour",,"Federal Hill area)",Providence,RI,"2940"
2023-01-14,"Secretary C",Lifespan,lifespan.org,"Hospital & Health Care","estimated $30.4k - $38.5k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Behavior Specialist","Private Non-Profit",,,"estimated $41.2k - $52.2k a year",,"Federal Hill area)",Providence,RI,"2940"
2023-01-15,Dishwasher,Lifespan,lifespan.org,"Hospital & Health Care","estimated $27.3k - $34.6k a year",,"Hope area)",Providence,RI,"2906"
2023-01-14,"HRSC Representative",Lifespan,lifespan.org,"Hospital & Health Care","estimated $40.9k - $51.8k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Quality Management Specialist","Family Service Of Rhode Island Inc",familyserviceri.org,"Mental Health Care","estimated $42.6k - $53.9k a year",Remote,,"Remote in Providence",RI,"2905"
2023-01-14,"Patient Coordinator",Lifespan,lifespan.org,"Hospital & Health Care","estimated $33k - $41.8k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Unit Secretary",Lifespan,lifespan.org,"Hospital & Health Care","estimated $29.7k - $37.6k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Bus Fueler & Cleaner","First Transit",firsttransit.com,Transportation/Trucking/Railroad,"$18 - $21 an hour",,"Hope area)",Providence,RI,"2904"
2023-01-14,"Talent Management Specialist",Lifespan,lifespan.org,"Hospital & Health Care","estimated $57.7k - $73.1k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Physical Education Health Teacher","Private Non-Profit",,,,,"Federal Hill area)",Providence,RI,"2940"
2023-01-14,"Service Desk Specialist","Nixon Peabody LLP",nixonpeabody.com,"Law Practice","estimated $48.3k - $61.2k a year",,,"Hybrid remote in Providence",RI,"2903"
2023-01-14,"Distribution Technician",Lifespan,lifespan.org,"Hospital & Health Care","estimated $40.5k - $51.3k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"PK-12 Reading Specialist (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $52.6k - $66.6k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Lobby Attendant, Full Time - Graduate Providence Hotel","Providence, RI 02903 02903 (Downtown area)",,,"estimated $26.6k - $33.7k a year",,,,,""
2023-01-14,"Family Support Partner","Family Service Of Rhode Island Inc",familyserviceri.org,"Mental Health Care","estimated $32.1k - $40.6k a year",,"Lower South Providence area)",Providence,RI,"2905"
2023-01-15,"Nursing Assistant",Lifespan,lifespan.org,"Hospital & Health Care","estimated $33.4k - $42.3k a year",,"Hope area)",Providence,RI,"2906"
2023-01-14,"Housekeeping Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $28.7k - $36.3k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Pedi Family Svc Coord",Lifespan,lifespan.org,"Hospital & Health Care","estimated $37.9k - $48k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,"estimated $26.6k - $33.7k a year",,"Washington Park area)",Providence,RI,""
2023-01-14,"Secretary, Unit","CharterCARE Health Partners",chartercare.org,"Hospital & Health Care","estimated $32.3k - $41k a year",,"Elmhurst area)",Providence,RI,"2908"
2023-01-15,"Environmental Svcs Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $31.4k - $39.8k a year",,"Hope area)",Providence,RI,"2906"
2023-01-15,"Parent Engagement Specialist [12 Month B.E.S.T.] (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $39.6k - $50.2k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Nursing Assistant II",Lifespan,lifespan.org,"Hospital & Health Care","estimated $33.3k - $42.2k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Grants and Administrative Coordinator","Brown University",brown.sd.us,"Government Administration","estimated $47.8k - $60.5k a year",,"College Hill area)",Providence,RI,"2912"
2023-01-15,Dishwasher,Lifespan,lifespan.org,"Hospital & Health Care","estimated $27.3k - $34.6k a year",,"Hope area)",Providence,RI,"2906"
2023-01-16,"Teacher - HS Computer Science Math (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $58.4k - $74k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-16,"Teacher - MS English ESL (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $53.9k - $68.2k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Entry Level Outside Sales Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",Remote,,"Remote in Providence",RI,"2901"
2023-01-14,Accountant,"Rhode Island College",ric.edu,"Higher Education","estimated $45.2k - $57.3k a year",,"Mount Pleasant area)",Providence,RI,"2908"
2023-01-15,"Teacher Assistant - Community Transition Aide Liaison (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $33.4k - $42.2k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Secretary, Medical - RWMC","CharterCARE Health Partners",chartercare.org,"Hospital & Health Care","estimated $32.8k - $41.5k a year",,"Elmhurst area)",Providence,RI,"2908"
2023-01-15,"Teacher Assistant - Behavior Support Assistant (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $32.7k - $41.5k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Registered Nurse I",Lifespan,lifespan.org,"Hospital & Health Care","estimated $80.8k - $102k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Math Interventionist/Teacher","Providence, RI 02909 02909 (Olneyville area)",,,"estimated $57.5k - $72.9k a year",,,,,""
2023-01-14,"Pool - Substitute Bus Monitor","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $24.2k - $30.7k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Teacher - Elem. Art (SY 22-23) [One Year Position]","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $50.8k - $64.4k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-16,"Teacher - HS Library (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $45.8k - $58k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Housekeeping Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $29.8k - $37.8k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"OR Support Technician","CharterCARE Health Partners",chartercare.org,"Hospital & Health Care","estimated $28.9k - $36.6k a year",,"Elmhurst area)",Providence,RI,"2908"
2023-01-16,"Teacher - Elem. Grade 5 ESL (SY 22-23) [One Year Position]","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $52.1k - $66k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Genetics Counselor",Lifespan,lifespan.org,"Hospital & Health Care","estimated $72.6k - $91.9k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Housekeeping Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $29.8k - $37.8k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Housekeeping Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $29.8k - $37.8k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-16,"District-Wide Early Contract Hiring Pool (SY23-24): Speech-Language Pathologist","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $85.5k - $108k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Nursing Assistant",Lifespan,lifespan.org,"Hospital & Health Care","estimated $33.4k - $42.3k a year",,"Hope area)",Providence,RI,"2906"
2023-01-15,"Teacher - HS Physics (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $53.2k - $67.4k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Post Doctoral NIH Rsch Fellow",Lifespan,lifespan.org,"Hospital & Health Care",,,"Hope area)",Providence,RI,"2906"
2023-01-16,"Teacher - HS English ESL (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $52.8k - $66.8k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-16,"Teacher Assistant - Autism Self-Contained (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $33.6k - $42.6k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Teacher - Elem. Library (SY 22-23) [One Year Position]","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $46.5k - $58.9k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Postdoctoral Program Coordinator and Administrator","Brown University",brown.sd.us,"Government Administration",,,"College Hill area)",Providence,RI,"2912"
2023-01-15,"Registered Nurse I",Lifespan,lifespan.org,"Hospital & Health Care","estimated $76.3k - $96.6k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-16,"Teacher Assistant - Pre-K Sp. Ed. Enhanced Staffing (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $29.2k - $37k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-15,"Environmental Svcs Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $31.4k - $39.8k a year",,"Hope area)",Providence,RI,"2906"
2023-01-15,"Environmental Svcs Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $31.4k - $39.8k a year",,"Hope area)",Providence,RI,"2906"
2023-01-15,"Environmental Svcs Aide",Lifespan,lifespan.org,"Hospital & Health Care","estimated $31.4k - $39.8k a year",,"Hope area)",Providence,RI,"2906"
2023-01-16,"Teacher - HS Math ESL (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $53.3k - $67.5k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Infusion-Amb",Lifespan,lifespan.org,"Hospital & Health Care","estimated $75k - $94.9k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Emergency Services RN",Lifespan,lifespan.org,"Hospital & Health Care","estimated $77.6k - $98.3k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-16,"School Psychologist - Elementary (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $69.5k - $88k a year",,"Federal Hill area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse I",Lifespan,lifespan.org,"Hospital & Health Care","estimated $83k - $105k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse I",Lifespan,lifespan.org,"Hospital & Health Care","estimated $83.3k - $105k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Coronary Care ICU",Lifespan,lifespan.org,"Hospital & Health Care","estimated $78.2k - $99k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Coronary Care ICU",Lifespan,lifespan.org,"Hospital & Health Care","estimated $78.2k - $99k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Coronary Care ICU",Lifespan,lifespan.org,"Hospital & Health Care","estimated $78.2k - $99k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Medical ICU",Lifespan,lifespan.org,"Hospital & Health Care","estimated $79k - $100k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Medical ICU",Lifespan,lifespan.org,"Hospital & Health Care","estimated $79k - $100k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse I",Lifespan,lifespan.org,"Hospital & Health Care","estimated $82.7k - $105k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse I",Lifespan,lifespan.org,"Hospital & Health Care","estimated $85.3k - $108k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Unit PD C",Lifespan,lifespan.org,"Hospital & Health Care","estimated $81.4k - $103k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Unit PD C",Lifespan,lifespan.org,"Hospital & Health Care","estimated $81.4k - $103k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Unit PD C",Lifespan,lifespan.org,"Hospital & Health Care","estimated $81.4k - $103k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Unit PD C",Lifespan,lifespan.org,"Hospital & Health Care","estimated $81.4k - $103k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-15,"Emergency Services RN",Lifespan,lifespan.org,"Hospital & Health Care","estimated $77.6k - $98.3k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Registered Nurse Cardiothoracic ICU",Lifespan,lifespan.org,"Hospital & Health Care","estimated $75.7k - $95.9k a year",,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Part-time Receptionist","Providence, RI 02906 02906 (Fox Point area)",,,"estimated $27.9k - $35.3k a year",,,,,""
2023-01-14,"Human Resources - Hotel Management in Training","Newport Hotel Group",newporthotelgroup.com,Hospitality,"from $26.50 an hour",,,Providence,RI,""
2023-01-16,Housekeeper,"Extended Stay America",extendedstayamerica.com,Hospitality,"$15.50 an hour",,"Mount Hope area)",Providence,RI,"2904"
2023-01-15,"Front of House Service Team Member","Providence, RI 02909 02909 (Federal Hill area)",,,"$20 - $35 an hour",,,,,""
2023-01-14,"Orthopedic Residency Program Coordinator","University Orthopedics",universityorthopedics.com,"Hospital & Health Care","$60,000 - $85,000 a year",,"Washington Park area)",Providence,RI,"2905"
2023-01-15,"Front Desk Agent - AM Shift","Providence, RI 02903 02903 (Downtown area)",,,"$14 - $16 an hour",,,,,""
2023-01-14,"Roadside Assistance Tech - Flatbed","AAA Northeast",aaanortheast.com,,"$19.00 - $21.50 an hour",,"Charles area)",Providence,RI,"2904"
2023-01-14,"Retail Store Associates","Savers / Value Village",savers.com,Retail,"estimated $23.2k - $29.4k a year",,"Mount Hope area)",Providence,RI,"2904"
2023-01-14,"Warehouse Technician","Clean Earth",cleanearthinc.com,"Environmental Services","$51,000 a year",,,Providence,RI,""
2023-01-14,"All Grades English Teacher (SY23-24)","Providence Public Schools",,,"$45,330 - $85,443 a year",,"Mount Pleasant area)",Providence,RI,"2908"
2023-01-16,"Assistant Manager - Providence, RI",EbLens,eblens.com,Retail,"estimated $33.1k - $42k a year",,"Hartford area)",Providence,RI,"2909"
2023-01-14,"Training & Recruitment Manager","Newport Hotel Group",newporthotelgroup.com,Hospitality,"$60,000 - $65,000 a year",,,Providence,RI,""
2023-01-14,"Lab Chemist","Clean Earth",cleanearthinc.com,"Environmental Services",,,"Lower South Providence area)",Providence,RI,"2905"
2023-01-15,"Retail Sales Associate","Cumberland Farms, Inc.",,,,,"Washington Park area)",Providence,RI,"2905"
2023-01-14,"Legal contract assistant","Hybrid remote in Providence, RI 02903 02903",,,"up to $24 an hour",,,,,""
2023-01-14,"Retail Warehouse & Production Associates","Savers / Value Village",savers.com,Retail,"estimated $24.4k - $30.9k a year",,"Mount Hope area)",Providence,RI,"2904"
2023-01-14,"Sales Professional","Revelare Kitchens",revelarekitchens.com,,"$110,000 - $150,000 a year",,,Providence,RI,""
2023-01-14,"Skilled Carpenter and Laborer","Providence, RI 02909 02909 (Olneyville area)",,,"$25 - $30 an hour",,,,,""
2023-01-14,"Maintenence Residential","Providence, RI 02905 02905 (Washington Park area)",,,"$20 - $35 an hour",,,,,""
2023-01-16,"Operations Supervisor",ShotVet,shotvet.com,Veterinary,"estimated $64.6k - $81.8k a year",,,Providence,RI,""
2023-01-15,"Retail Sales Associate","Cumberland Farms, Inc.",,,,,"Wanskuck area)",Providence,RI,"2904"
2023-01-14,"Court Interpreter I","State of Rhode Island Judiciary",,,"from $57,105 a year",,,Providence,RI,""
2023-01-15,"Part Time Laborer $14.50-$20hr",1-800-GOT-JUNK?,1800gotjunk.com,"Consumer Services","$14.50 - $20.00 an hour",,"Valley area)",Providence,RI,"2904"
2023-01-15,"Fine Jewelry Sales Associate","Providence, RI 02906 02906 (Wayland area)",,,"estimated $25.7k - $32.5k a year",,,,,""
2023-01-15,"Retail Sales Associate","Cumberland Farms, Inc.",,,,,"Blackstone area)",Providence,RI,"2906"
2023-01-14,"Clinical Quality Data Analyst","Coastal Medical",coastalmedical.com,"Medical Practice","estimated $49k - $62k a year",Remote,,"Temporarily Remote in Providence",RI,"2903"
2023-01-14,"Carryout Server","Newport Creamery",newportcreamery.com,Restaurants,"estimated $24.8k - $31.4k a year",,"Elmhurst area)",Providence,RI,"2908"
2023-01-14,"Demolition Laborer","Providence, RI 02908 02908 (Smith Hill area)",,,"$18 - $20 an hour",,,,,""
2023-01-16,"Floater Legal Assistant","Partridge Snow & Hahn LLP",psh.com,"Law Firms & Legal Services",,,"Downtown area)",Providence,RI,"2903"
2023-01-14,"Case Manager","Providence, RI 02907 02907 (Elmwood area)",,,"$17 - $19 an hour",,,,,""
2023-01-14,"Hotel Manager in Training","Newport Hotel Group",newporthotelgroup.com,Hospitality,"from $26.50 an hour",,,Providence,RI,""
2023-01-14,"Outside Plywood/Laminate Sales Specialist","Wurth Baer Supply Company",,,"estimated $51.1k - $64.7k a year",,,Providence,RI,""
2023-01-14,"Machine Operator","Providence, RI 02905 02905 (Washington Park area)",,,"$19 - $21 an hour",,,,,""
2023-01-16,"Lifestyle Enrichment Director","Providence, RI 02906 02906 (Blackstone area)",,,"estimated $42.5k - $53.8k a year",,,,,""
2023-01-14,"Medical Secretary - Front Desk","Brown Urology",,,"estimated $30.6k - $38.8k a year",,"Valley area)",Providence,RI,"2904"
2023-01-14,"Financial Literacy Educator","The Fly Initiative",,,"estimated $35.8k - $45.3k a year",,"Washington Park area)",Providence,RI,"2905"
2023-01-14,"Restaurant Server","Newport Creamery",newportcreamery.com,Restaurants,"estimated $32.2k - $40.8k a year",,"Elmhurst area)",Providence,RI,"2908"
2023-01-14,"Bakery Supervisor","Providence Bagel",providencebagel.com,,"from $16 an hour",,"West End area)",Providence,RI,"2907"
