DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-21,"Delivery Staff","Plant City",,,"estimated $29.4k - $37.2k a year",,"Fox Point area)",Providence,RI,"2903"
2022-11-20,"Clerk Specialist",Lifespan,lifespan.org,"Hospital & Health Care","estimated $44.3k - $56.1k a year",,"Downtown area)",Providence,RI,"2903"
2022-11-22,"Relationship Banker - Atwells Avenue Financial Center - Providence, RI","Bank of America",appianrx.com,"Hospital & Health Care","estimated $39.5k - $50k a year",,"Federal Hill area)",Providence,RI,"2903"
2022-11-22,"Shipping - 3rd Shift",Materion,materion.com,"Mining & Metals","estimated $34.3k - $43.4k a year",,,Providence,RI,""
2022-11-20,"Coding Specialist - Outpatient Telecommute",Lifespan,lifespan.org,"Hospital & Health Care",,Remote,,"Remote in Providence",RI,"2903"
2022-11-20,"Patient Navigator",Lifespan,lifespan.org,"Hospital & Health Care","estimated $70.3k - $89.1k a year",,"Downtown area)",Providence,RI,"2903"
2022-11-20,"Patient Coordinator",Lifespan,lifespan.org,"Hospital & Health Care","estimated $49.9k - $63.2k a year",,"Hope area)",Providence,RI,"2906"
2022-11-22,"Research Assistant","Brown University",brown.sd.us,"Government Administration",,,"College Hill area)",Providence,RI,"2912"
2022-11-20,"Math Tutor/TA at: Trinity Academy for the Performing Arts","TAPA: Trinity Academy for the Performing Arts",tapaprovidence.org,,"up to $42,000 a year",,"Downtown area)",Providence,RI,"2903"
2022-11-22,"Global Employment Tax Specialist",Boskalis,boskalis.com,"Civil Engineering","estimated $49.6k - $62.8k a year",,,"Hybrid remote in Providence",RI,""
2022-11-22,"Team Support Coordinator","HUB International",manuellujan.,Insurance,"estimated $41.8k - $52.9k a year",,"Federal Hill area)",Providence,RI,"2940"
2022-11-22,"Global Employment Tax Specialist",Boskalis,boskalis.com,"Civil Engineering","estimated $49.6k - $62.8k a year",,,"Hybrid remote in Providence",RI,""
2022-11-22,"Teacher - Elem. Library (SY 22-23)","Providence School District",providenceschools.org,"Primary/Secondary Education","estimated $48.6k - $61.6k a year",,"Federal Hill area)",Providence,RI,"2903"
