DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-26,"Data Coordinator",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-25,"Information Desk Receptionist",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Student Financial Planning Counselor","Johnson & Wales University",jwu.edu,"Higher Education",,,"Downtown area",Providence,RI,"02903"
2022-03-25,"Patient Care Attendant",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Production Tech","Trek Bikes",trekbicyclesuperstore.com,"Consumer Goods","$31.3K ? $39.7K a year",,,Providence,RI,""
2022-03-25,"Claims Investigator - Full Time","CoventBridge Group",coventbridge.com,"Security & Investigations","$38.9K ? $49.3K a year",Remote,,"Remote in Providence",RI,""
2022-03-26,"Clinical Research Asst",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-28,Merchandiser,"East Side Enterprise",,,"$26.4K ? $33.4K a year",,"College Hill area",Providence,RI,"02901"
2022-03-25,"Environmental Svcs Aide",Lifespan,lifespan.org,"Hospital & Health Care",,,"Blackstone area",Providence,RI,"02906"
2022-03-26,"Admissions Representative (Eastern Pennsylvania)","Johnson & Wales University",jwu.edu,"Higher Education",,,"Downtown area",Providence,RI,"02903"
2022-03-25,"Team Lead Environmental Svcs",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-25,"Sched Secretary Otpt DI Svcs",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"2022 Graduates - Career Development Program",Jerry,getjerry.com,Internet,"$62K ? $78.6K a year",,,Providence,RI,""
2022-03-26,"Security Officer","CharterCARE Health Partners",chartercare.org,"Hospital & Health Care",,,"Elmhurst area",Providence,RI,"02908"
2022-03-25,Chaplain,Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-28,"$18-$20 per hour - Pressure Washer Hood Cleaning (Flexible S...",HOODZ,hoodzinternational.com,"Facilities Services","$18 - $20 an hour",,,Providence,RI,""
2022-03-25,"Medical Assistant",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,Cashier,"East Side Enterprise",,,"$15 an hour",,"Blackstone area",Providence,RI,"02906"
2022-03-26,"Retail Supervisor - Merchandising",Gap,,,,,"Downtown area",Providence,RI,"02903"
2022-03-25,"Team Lead Environmental Svcs",Lifespan,lifespan.org,"Hospital & Health Care",,,"Blackstone area",Providence,RI,"02906"
2022-03-25,"Interpreter Dispatcher",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"HR Support Specialist I - Temporary","Gilbane Development Company",,,"$40.2K ? $51K a year",,"Downtown area",Providence,RI,"02903"
2022-03-26,"Program Operations Finance Associate",Noodle,noodle.com,"Education Management","$75.9K ? $96.1K a year",Remote,,"Remote in Providence",RI,"02903"
2022-03-25,"Outpatient Services Rep",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-25,"Outpatient Services Rep",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Store Manager",Sephora,sephora.ch,,,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Clinical Research Asst",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Clinical Research Asst",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Clinical Research Asst",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-28,"Assistant Manager - Providence","East Side Enterprise",,,"$26K ? $33K a year",,"Blackstone area",Providence,RI,"02906"
2022-03-25,"Nursing Assistant II",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area",Providence,RI,"02903"
2022-03-26,"Sales Specialist, Network & Security(Telco-East) - Opportuni...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Providence",RI,""
