DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-30,"Special Advisor","Times 2 Inc",times2.org,"Education Management","up to $130,000 a year",,"Wanskuck area)",Providence,RI,"2908"
2022-06-30,"Front Desk Agent","Marriott International, Inc",,,,,"Downtown area)",Providence,RI,"2903"
2022-06-29,"Interlibrary Loan Assistant","Rhode Island College",ric.edu,"Higher Education","$42,500 a year",,"Mount Pleasant area)",Providence,RI,"2908"
2022-06-29,"Director of Communications","Moses Brown School",mosesbrown.org,"Education Management","estimated $54.1k - $68.5k a year",,"College Hill area)",Providence,RI,"2906"
2022-06-29,"CLERK, RETAIL (FULL-TIME)",CulinArt,culinartinc.com,"Food & Beverages",,,"College Hill area)",Providence,RI,"2906"
2022-01-07,"Leave of Absence & Workers' Compensation Specialist","Johnson & Wales University",jwu.edu,"Higher Education",,,"Downtown area)",Providence,RI,"2903"
2022-06-30,"Dunkin’ Crew / Dunkin’ Barista - 251 Smith St","Dan's Management Company D/B/A - Dunkin'",,,"$14 - $15 an hour",,"Smith Hill area)",Providence,RI,"2908"
2022-06-30,"Guest Experience Expert","Marriott International, Inc",,,,,"Downtown area)",Providence,RI,"2903"
2022-06-30,"All Shifts - Dunkin' Crew Member / Barista - 740 Branch Ave","Dan's Management Company D/B/A - Dunkin'",,,"$14 - $15 an hour",,"Wanskuck area)",Providence,RI,"2904"
2022-06-30,"Power Plant Operator","Rhode Island College",ric.edu,"Higher Education","estimated $38.6k - $48.8k a year",,"Mount Pleasant area)",Providence,RI,"2908"
2022-01-07,"Vision Services Coordinator (Temporary)","Rhode Island College",ric.edu,"Higher Education","$75,000 - $80,000 a year",,"Mount Pleasant area)",Providence,RI,"2908"
2022-06-29,"Appointment Coordinator","University Orthopedics",universityorthopedics.com,"Hospital & Health Care","estimated $27.1k - $34.3k a year",,,Providence,RI,""
2022-06-29,"FOOD SERVICE UTILITY (FULL-TIME)",CulinArt,culinartinc.com,"Food & Beverages",,,"College Hill area)",Providence,RI,"2906"
2022-06-29,"Secondary ELA Teacher","Village Green Virtual Charter School",vgonline.org,E-Learning,"up to $60,000 a year",,"Downtown area)",Providence,RI,"2903"
2022-06-30,"Utility Worker",Sodexo,sodexo.com,"Facilities Services",,,"Valley area)",Providence,RI,"2904"
2022-06-29,"Assistant Medical","CharterCARE Health Partners",chartercare.org,"Hospital & Health Care",,,"Federal Hill area)",Providence,RI,"2907"
2022-06-29,"Patient Scheduler",Lifespan,lifespan.org,"Hospital & Health Care",,,"Hope area)",Providence,RI,"2906"
2022-06-30,"Medical Assistant I","PhyNet Dermatology, LLC",phynet.com,"Medical Practice","estimated $31.5k - $39.9k a year",,,Providence,RI,""
2022-06-30,"Clerk, Full-time","ABF Freight",,,,,"Downtown area)",Providence,RI,"2903"
2022-06-30,"Research Assistant","Brown University",brown.sd.us,"Government Administration","estimated $44.4k - $56.2k a year",,"College Hill area)",Providence,RI,"2912"
2022-06-30,"Benefits Administrative Specialist","Brown University",brown.sd.us,"Government Administration","estimated $30.1k - $38.1k a year",,"College Hill area)",Providence,RI,"2912"
2022-01-07,"Payroll Specialist","Gilbane Building Company",gilbaneco.com,Construction,"estimated $40.2k - $51k a year",,"Downtown area)",Providence,RI,"2903"
2022-06-29,"Assistant Medical","CharterCARE Health Partners",chartercare.org,"Hospital & Health Care",,,"Federal Hill area)",Providence,RI,"2907"
2022-06-30,"Entry Level Outside Sales Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,"College Hill area)",Providence,RI,"2901"
2022-06-29,"Clinic Assistant Float","Planned Parenthood of Southern New England, Inc.",ppsne.org,"Hospital & Health Care","$16.39 an hour",,,Providence,RI,""
2022-06-29,"Research Assistant","Brown University",brown.sd.us,"Government Administration","estimated $34.7k - $43.9k a year",,"College Hill area)",Providence,RI,"2912"
2022-06-30,"Full Time Podiatrist",HealthDrive,healthdrive.com,"Hospital & Health Care","from $125,000 a year",,,Providence,RI,""
2022-06-30,"Patient Service Rep",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area)",Providence,RI,"2903"
2022-01-07,"Executive Assistant","Brown University",brown.sd.us,"Government Administration","estimated $35.1k - $44.5k a year",,"College Hill area)",Providence,RI,"2912"
2022-01-07,"Registered Nurse, Therapeutics","Rhode Island Blood Center",ribc.org,"Hospital & Health Care","estimated $64.3k - $81.5k a year",,"Smith Hill area)",Providence,RI,"2908"
2022-01-07,"Assistant Manager","East Side Enterprise",,,"estimated $26k - $33k a year",,"Blackstone area)",Providence,RI,"2906"
2022-01-07,Phlebotomist,Lifespan,lifespan.org,"Hospital & Health Care",,,"Hope area)",Providence,RI,"2906"
2022-06-29,"Secondary Math","Village Green Virtual Charter School",vgonline.org,E-Learning,"up to $65,000 a year",,"Downtown area)",Providence,RI,"2903"
2022-06-29,"Secondary Social Studies","Village Green Virtual Charter School",vgonline.org,E-Learning,"up to $60,000 a year",,"Downtown area)",Providence,RI,"2903"
2022-06-29,"Brown University Shuttle Bus Driver",FirstGroup,,,"$17 an hour",,"Hope area)",Providence,RI,"2904"
2022-06-29,"Assistant Coach, Wrestling","Brown University",brown.sd.us,"Government Administration","estimated $35.5k - $44.9k a year",,"College Hill area)",Providence,RI,"2912"
2022-01-07,"Store Manager","East Side Enterprise",,,,,"Blackstone area)",Providence,RI,"2906"
2022-06-30,"Fellow PG4",Lifespan,lifespan.org,"Hospital & Health Care",,,"Downtown area)",Providence,RI,"2903"
2022-06-29,"Head Coach-Women's Volleyball","Johnson & Wales University",jwu.edu,"Higher Education",,,"Downtown area)",Providence,RI,"2903"
2022-06-30,"Dunkin Crew Member / Barista - 270 Academy Ave","Dan's Management Company D/B/A - Dunkin'",,,"$14 - $15 an hour",,"Mount Pleasant area)",Providence,RI,"2908"
