DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-01,"Code Investigator I","County of Richland, SC",richlandonline.com,"Government Administration","$19.99 an hour",,,Columbia,SC,""
2022-04-01,"Code Investigator I","Richland County Government",richlandcountysc.gov,"Government Administration","$19.99 an hour",,,Columbia,SC,"29204"
2022-03-29,"Government and Community Relations Associate","County of Richland, SC",richlandonline.com,"Government Administration","$35,568 a year",,,Columbia,SC,""
2022-04-01,"Customer Service Representative","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-04-01,"Customer Service Representative","UNIVERSITY OF SOUTH CAROLINA",uofsc.org,"Higher Education","$28,215 - $30,000 a year",,,Columbia,SC,"29208"
2022-03-31,"Program Coordinator I","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2022-04-01,"Customer Services Support Associate - Smart Buildings / Ener...",Siemens,siemens.com,"Industrial Automation",,,,Columbia,SC,"29210"
2022-04-01,"Arson investigator","County of Richland, SC",richlandonline.com,"Government Administration","$22.86 an hour",,,Columbia,SC,""
2022-03-30,"Production, Processing & Assembly Entry",Husqvarna,husqvarna.com,"Consumer Goods",,,,Columbia,SC,""
2022-04-01,"Education Associate - Instructional Coach - 60024450","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2022-04-01,"Client Services Representative","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,,,,Columbia,SC,"29229"
2022-03-30,"Library Development Facilities Consultant","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-03-30,"Rehabilitation Aide - Apex Huger Full-Time, Day","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29201"
2022-03-29,"Government and Community Relations Associate","Richland County Government",richlandcountysc.gov,"Government Administration","$35,568 a year",,,Columbia,SC,"29204"
2022-04-01,"Arson Investigator","Richland County Government",richlandcountysc.gov,"Government Administration","$22.86 an hour",,,Columbia,SC,"29204"
2022-04-01,"Customer Service Representative - Columbia, SC","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,,,Columbia,SC,"29212"
2022-04-01,"Full Time Estate Clerk","County of Richland, SC",richlandonline.com,"Government Administration","$13.65 an hour",,,Columbia,SC,""
2022-03-31,"Administrative Coordinator I","SCDDSN Midlands Regional Center",,,"From $16 an hour",,,Columbia,SC,"29203"
2022-03-30,"Real Estate Assistant","McAngus Goudelock & Courie LLC",mgclaw.com,"Law Practice","$32.9K ? $41.7K a year",,,Columbia,SC,"29223"
2022-04-01,Shipper,Husqvarna,husqvarna.com,"Consumer Goods",,,,Columbia,SC,""
2022-03-31,"E-Rate IT Consultant","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-03-30,"Research/Planning Adminst (#012696) Resource & Information M...","State of South Carolina",sc.gov,"Government Administration","$48,878 a year",,,Columbia,SC,"29223"
2022-03-30,"Medical Associate ( Technical Medical Associate I)","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-03-31,"Investigation Clerk","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,,,,Columbia,SC,"29229"
2022-03-30,"Data Preparation Technician II","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,,,,Columbia,SC,"29229"
2022-03-30,"OSS -Parole/Pardon Investigator #22-047","State of South Carolina",sc.gov,"Government Administration","$32,046 a year",,,Columbia,SC,"29223"
2022-03-30,"Specimen Accessioner",Labcorp,labcorp.com,"Hospital & Health Care",,,,Columbia,SC,"29223"
2022-03-30,"Admin Spec II - File Room Clerk","State of South Carolina",sc.gov,"Government Administration","$24,929 a year",,,Columbia,SC,"29223"
2022-03-30,"SC Entry Level Construction Inspectors, (Columbia, SC)","OLH Inc.",olhinc.com,Construction,"$31.2K ? $39.6K a year",,,Columbia,SC,""
2022-03-31,"Full time manager",LOFT,loft.com,"Education Management",,,,Columbia,SC,"29212"
2022-03-30,"Broadband Program Specialist I","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29223"
2022-03-30,"Online Recruiter","Columbia International University",ciu.edu,"Higher Education","$46.5K ? $58.9K a year",,,Columbia,SC,"29203"
2022-03-30,"Executive Administrative Assistant #22-046","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-04-01,"9-1-1 Telecommunicator","State of South Carolina",sc.gov,"Government Administration","$31,866 a year",,,Columbia,SC,"29223"
2022-03-31,"Human Resources Coordinator","University of South Carolina",uofsc.org,"Higher Education","$37,849 - $60,000 a year",,,Columbia,SC,"29208"
2022-04-01,"Estate Clerk","Richland County Government",richlandcountysc.gov,"Government Administration","$13.65 an hour",,,Columbia,SC,"29204"
2022-04-01,"Adjunct Instructor ? Web/Software Development","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29223"
2022-03-30,"Service Representative",Labcorp,labcorp.com,"Hospital & Health Care",,,,Columbia,SC,"29223"
2022-04-01,"911 Telecommunicator","UNIVERSITY OF SOUTH CAROLINA",uofsc.org,"Higher Education","From $31,866 a year",,,Columbia,SC,"29208"
2022-04-01,"Post-Production Technician","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-03-30,"Entry Level Outside Sales Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,,Columbia,SC,"29201"
2022-03-31,"Administrative Specialist II-Customer Service Agent III-1287...","State of South Carolina",sc.gov,"Government Administration","$23,190 a year",,,Columbia,SC,"29223"
2022-03-30,"Environmental Services (EVS) Technician I, FT, Day","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29203"
2022-03-30,"Client Service Representative","Banfield Pet Hospital",banfield.com,Veterinary,,,,Columbia,SC,""
2022-04-01,"Claims I Processor","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,,,,Columbia,SC,"29229"
2022-03-30,"Sales Associate","American Car Center",americancarcenter.com,Automotive,"$75,000 a year",,"Dentsville area",Columbia,SC,"29223"
2022-04-01,"Logistics, Warehouse & Distribution Entry",Husqvarna,husqvarna.com,"Consumer Goods",,,,Columbia,SC,""
2022-03-31,"Program Coordinator II/ Branch Manager II - 128754","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-04-01,"Administrative Specialist II - Titling & Licensing Specialis...","State of South Carolina",sc.gov,"Government Administration","$22,182 a year",,,Columbia,SC,"29223"
2022-03-31,"Biomedical Tech I Full-Time, Day","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29220"
2022-03-30,"Medical Courier",Labcorp,labcorp.com,"Hospital & Health Care",,,,Columbia,SC,"29223"
2022-03-31,"Building/Grounds Specialist II","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
