DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/26/2022,"Education Associate (Elementary Subject Matter Expert) - 611...","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2/26/2022,"Special Agent - AEU/Upstate","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2/28/2022,"Program Coordinator I / 61012669","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2/26/2022,"JANITOR (FULL-TIME & PART-TIME)","Compass Group Careers",,,,,,Columbia,SC,"29229"
2/26/2022,"Education Associate - 60024954","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2/26/2022,"Supply Specialist II (61032548)","State of South Carolina",sc.gov,"Government Administration","$29,120 a year",,,Columbia,SC,"29223"
2/26/2022,"Talent Acquisition Consultant","UNIVERSITY OF SOUTH CAROLINA",uofsc.org,"Higher Education","$41,777 - $50,000 a year",,,Columbia,SC,"29208"
2/26/2022,"Administrative Coordinator","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2/26/2022,"Air Quality Modeler","State of South Carolina",sc.gov,"Government Administration","$41,935 a year",,,Columbia,SC,"29223"
2/26/2022,"Communication Specialist I/PPS/Vehicle Management","State of South Carolina",sc.gov,"Government Administration","$19,057 a year",,,Columbia,SC,"29223"
2/26/2022,"Employee Relations Consultant / 61015679","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2/25/2022,"Warehouse Associate (#012721) Food Service Warehouse, Columb...","State of South Carolina",sc.gov,"Government Administration","$23,190 a year",,,Columbia,SC,"29223"
2/26/2022,"HR Coordinator - Administrative Coordinator II - 61009708","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",Remote,,"Hybrid remote in Columbia",SC,""
2/26/2022,"ADMINISTRATIVE SPECIALIST II","State of South Carolina",sc.gov,"Government Administration","$23,190 a year",,,Columbia,SC,"29223"
2/26/2022,"LEAD, JANITOR (FULL-TIME & PART-TIME)","Compass Group Careers",,,,,,Columbia,SC,"29229"
2/26/2022,"Patient Care Technician II","Medical University of South Carolina",musc.edu,"Hospital & Health Care",,,,Columbia,SC,""
2/26/2022,"Property Analyst","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2/27/2022,"Security Officer( FT, PT, & Flex)",Securitas,securitasantias.com,"Security & Investigations",,,,Columbia,SC,""
2/26/2022,"Administrative Specialist II (Administrative Support Special...","State of South Carolina",sc.gov,"Government Administration","$23,190 a year",,,Columbia,SC,"29223"
2/26/2022,"Program Manager I/COVID-19 CRISIS RESPONSE INITIATIVE GRANT","State of South Carolina",sc.gov,"Government Administration","$56,000 a year",,,Columbia,SC,"29223"
2/28/2022,Server,"Waffle House",wafflehouse.com,Restaurants,,,,Columbia,SC,""
2/28/2022,Server,"Waffle House",wafflehouse.com,Restaurants,,,,Columbia,SC,""
2/26/2022,"Business Office Coordinator","University of South Carolina",uofsc.org,"Higher Education","$34,331 a year",,,Columbia,SC,"29208"
2/26/2022,"Patient Services Representative, Pediatrics (Floater), FT, D...","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29203"
2/26/2022,"AHP 2",Husqvarna,husqvarna.com,"Consumer Goods",,,,Columbia,SC,""
2/28/2022,Server,"Waffle House",wafflehouse.com,Restaurants,,,"Dentsville area",Columbia,SC,"29223"
2/28/2022,Server,"Waffle House",wafflehouse.com,Restaurants,,,,Columbia,SC,""
2/26/2022,"Assessment Coordinator","University of South Carolina",uofsc.org,"Higher Education","$34,331 - $39,480 a year",,,Columbia,SC,"29208"
2/26/2022,"HMW II: Crew Leader (61033422)","State of South Carolina",sc.gov,"Government Administration","$33,709 a year",,,Columbia,SC,"29223"
2/26/2022,"Home Sales Inspector","Orkin LLC",,,"Up to $100,000 a year",,,Columbia,SC,""
2/26/2022,"Design Consultant","Floor & Decor",flooranddecor.com,Retail,,,,Columbia,SC,"29210"
2/26/2022,"Experienced Procurement Processor",GPS,gpsassociatesinc.com,"Legal Services",,,,Columbia,SC,"29201"
2/26/2022,"Information Technology Trainer","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2/26/2022,"Payroll & Benefits Specialist","Allegiance Industries Inc",allegianceindustries.com,"Facilities Services","$37.2K ? $47K a year",,,Columbia,SC,"29203"
2/26/2022,Warehouse,"PrimeSource Building Products, Inc.",,,"$16.50 an hour",,,Columbia,SC,"29223"
2/26/2022,"JANITOR (FULL-TIME & PART-TIME)","Compass Group Careers",,,,,,Columbia,SC,"29229"
2/26/2022,"Patient Services Representative, Urology, FT, Days","Prisma Health",prismahealth.org,"Hospital & Health Care",,,"Robert Mills area",Columbia,SC,"29201"
2/26/2022,"Parts Driver","AutoNation Hyundai Columbia / Genesis of West...",genesisofwestcolumbia.com,,"$21.1K ? $26.7K a year",,,Columbia,SC,"29210"
2/26/2022,"Core Customer Service Rep (268)","The Spinx Company",myspinx.com,Retail,"$12 an hour",,,Columbia,SC,"29209"
2/26/2022,"Core Customer Service Rep (266)","The Spinx Company",myspinx.com,Retail,"$12 an hour",,"Seven Oaks area",Columbia,SC,"29210"
2/25/2022,"Asset Protection Associate Full time","Hibbett | City Gear",hibbett.com,Retail,"$25.2K ? $31.8K a year",,,Columbia,SC,""
2/26/2022,"Convenience Store Assistant Manager","APPLEGREEN USA CENTRAL SERVICES LLC",,,,,,Columbia,SC,"29206"
2/26/2022,"Capstone Scholars Program Assistant Principal","University of South Carolina",uofsc.org,"Higher Education","$36,047 - $42,000 a year",,,Columbia,SC,"29208"
2/26/2022,"Account Specialist","World Finance",loansbyworld.com,"Financial Services",,,,Columbia,SC,"29204"
2/25/2022,"Multi-State Corporate Income Tax Auditor","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2/27/2022,"Store Manager","Cabinets To Go LLC",cabinetstogo.com,Retail,,,"Dentsville area",Columbia,SC,"29223"
2/27/2022,"Mental Health Officer (#010475) Broad River Correctional Ins...","State of South Carolina",sc.gov,"Government Administration","$38,530 a year",,,Columbia,SC,"29223"
2/26/2022,Neonatologist,Mednax,mednax.com,"Hospital & Health Care",,,,Columbia,SC,""
2/25/2022,"General Maint Tech (#014217) Facilities Management, Columbia...","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2/26/2022,"Sterile Processing Technician, Central Sterile Baptist Parkr...","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29212"
2/26/2022,"HMW III: Crew Foreman(61033437)","State of South Carolina",sc.gov,"Government Administration","$37,163 a year",,,Columbia,SC,"29223"
2/26/2022,"Communication Specialist I/PPS/Vehicle Management","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29202"
2/26/2022,"Retail Supervisor","Best Buy",bestbuy.com,Retail,,,,Columbia,SC,"29229"
2/26/2022,Instructor,"University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2/26/2022,"Comm Coord/FA Counselor","University of South Carolina",uofsc.org,"Higher Education","$28,215 - $34,331 a year",,,Columbia,SC,"29208"
