DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/11/2022,"Postal Director I (#010666) Goodman Correctional Inst, Colum...","State of South Carolina",sc.gov,"Government Administration","$25,082 a year",,,Columbia,SC,"29223"
2/11/2022,"Administrative Assistant (#010052) Employee Relations, Colum...","State of South Carolina",sc.gov,"Government Administration","$29,350 a year",,,Columbia,SC,"29223"
2/12/2022,"Uniform section Coord (#012646) Commissary Branch, Columbia...","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2/12/2022,"Program Coordinator II/CMHS","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2/12/2022,"Environmental Health Manager - Enforcement","State of South Carolina",sc.gov,"Government Administration","$41,985 a year",,,Columbia,SC,"29223"
2/13/2022,"Workday HCM Consultant",Deloitte,deloitte.com,"Management Consulting","$66.7K ? $84.5K a year",,"Downtown area",Columbia,SC,"29201"
2/12/2022,"Disability Serv Coord","University of South Carolina",uofsc.org,"Higher Education","$34,331 - $41,777 a year",,,Columbia,SC,"29208"
2/12/2022,"Administrative Specialist (#011808) Kirkland Correctional In...","State of South Carolina",sc.gov,"Government Administration","$25,082 a year",,,Columbia,SC,"29223"
2/12/2022,"Program Coordinator I - STP HQ","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2/12/2022,"Desktop Analyst (Full-Time, Days, Richland SC)","Prisma Health",prismahealth.org,"Hospital & Health Care","$36.4K ? $46.2K a year",,,Columbia,SC,"29203"
2/12/2022,"Clinical Correctional Counselor IV (#014530) Camille Graham...","State of South Carolina",sc.gov,"Government Administration","$38,620 a year",,,Columbia,SC,"29223"
2/12/2022,"Risk Manager/Program Manager I/","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2/12/2022,"Practice Leader, Process Optimization and Digitalization",Siemens,siemens.com,"Industrial Automation","$85.7K ? $109K a year",,,Columbia,SC,""
2/13/2022,"Recertification Coordinator",Sevita,sevita.com,"Food Production",,,,Columbia,SC,"29204"
2/12/2022,"SC Opinion Editor",McClatchy,mcclatchy.com,Publishing,"$34.8K ? $44K a year",,,Columbia,SC,"29201"
2/11/2022,"Risk Mgmt & Comp Analyst (#010031) Chief Legal & Compliance...","State of South Carolina",sc.gov,"Government Administration","$43,451 a year",,,Columbia,SC,"29223"
2/12/2022,"Data Analyst III","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"$49.5K ? $62.7K a year",,,Columbia,SC,"29229"
2/12/2022,"Building/Grounds Specialist II-60015343","State of South Carolina",sc.gov,"Government Administration","$24.1K ? $30.5K a year",,,Columbia,SC,"29201"
2/12/2022,"Provider Relations Manager - Telecommute","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,"Remote in Columbia",SC,""
2/12/2022,"Automotive Store Manager","Tire Choice Auto Service Centers",thetirechoice.com,Automotive,,,,Columbia,SC,""
2/11/2022,"Manager Physician Practice II, Maternal Fetal Medicine, FT,...","Prisma Health",prismahealth.org,"Hospital & Health Care","$46.2K ? $58.4K a year",,,Columbia,SC,"29203"
2/12/2022,"Application Analyst- Pharmacy Systems (Full-Time, Days, Gree...","Prisma Health",prismahealth.org,"Hospital & Health Care","$64.9K ? $82.1K a year",,,Columbia,SC,"29220"
2/12/2022,"IS Security Risk Analyst III - Palmetto GBA","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"$62K ? $78.4K a year",,,Columbia,SC,"29229"
2/11/2022,"Lead Talent Business Analyst",Deloitte,deloitte.com,"Management Consulting","$67.2K ? $85K a year",,"Downtown area",Columbia,SC,"29201"
2/12/2022,"Education Associate - 61091310","State of South Carolina",sc.gov,"Government Administration","$46.8K ? $59.2K a year",,,Columbia,SC,"29201"
2/11/2022,"Bank Operations Services Lead (Teller Supervisor)","First Citizens Bank",firstcitizens.com,Banking,"$26.1K ? $33.1K a year",,"North Columbia area",Columbia,SC,"29203"
2/12/2022,"Uniform section Coord (#012646) Commissary Branch, Columbia...","State of South Carolina",sc.gov,"Government Administration","$31.5K ? $39.9K a year",,"Saint Andrews area",Columbia,SC,"29210"
2/12/2022,"Full Stack Developer",Deloitte,deloitte.com,"Management Consulting","$91.8K ? $116K a year",,"Downtown area",Columbia,SC,"29201"
2/12/2022,"Post Closing Specialist","McAngus Goudelock & Courie LLC",mgclaw.com,"Law Practice",,,,Columbia,SC,"29229"
2/12/2022,"Behavior Specialist","University of South Carolina",uofsc.org,"Higher Education","$39,742 - $53,000 a year",,,Columbia,SC,"29208"
2/12/2022,"Recertification Specialist",Sevita,sevita.com,"Food Production",,,,Columbia,SC,"29204"
2/12/2022,"IS Auditor III - Palmetto GBA","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"$33.5K ? $42.5K a year",,,Columbia,SC,"29229"
2/11/2022,"Manager Physician Practice II, OBGYN 1801 Sunset, FT, Days","Prisma Health",prismahealth.org,"Hospital & Health Care","$48K ? $60.8K a year",,,Columbia,SC,"29203"
2/12/2022,"Administrative Specialist (#011808) Kirkland Correctional In...","State of South Carolina",sc.gov,"Government Administration","$24.4K ? $31K a year",,"Saint Andrews area",Columbia,SC,"29210"
2/13/2022,"Trust Experienced Recruiting Talent Exchange Manager","PRICE WATERHOUSE COOPERS",pwc.com,Accounting,"$44.8K ? $56.8K a year",,,Columbia,SC,""
2/11/2022,"Manager Ambulatory Nursing, FT, Days","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29203"
2/12/2022,"Project Manager",Kyndryl,ibm.com,"Information Technology & Services",,,,Columbia,SC,""
2/12/2022,"Project Manager (3)",Emcor,emcor.com,Consulting,"$70K ? $88.6K a year",,,Columbia,SC,""
2/12/2022,"Smart State Endowed Chair","University of South Carolina",uofsc.org,"Higher Education","$62.7K ? $79.5K a year",,,Columbia,SC,"29208"
2/12/2022,"Project Manager (3)","Southern Industrial Constructors, Inc.",southernindustrial.com,Construction,"$70K ? $88.6K a year",,,Columbia,SC,"29209"
2/12/2022,"Clinical Correctional Counselor IV (#014530) Camille Graham...","State of South Carolina",sc.gov,"Government Administration","$34.3K ? $43.5K a year",,"Saint Andrews area",Columbia,SC,"29210"
2/12/2022,"AWS Technical Architect","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Columbia,SC,"29228"
2/12/2022,"IS Auditor III - Palmetto GBA","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"$33.5K ? $42.5K a year",,,Columbia,SC,"29229"
2/11/2022,"Python Developer (AWS)","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Columbia,SC,"29228"
2/12/2022,"Hearings Processor - Foreclosure","Hutchens Law Firm",hutchenslawfirm.com,"Legal Services","$31K ? $39.2K a year",,"Saint Andrews area",Columbia,SC,"29210"
2/14/2022,"Beer Buyer/Draft Manager","Jack Brown?s Beer & Burger Joint",,,"$22.4K ? $28.4K a year",,,Columbia,SC,"29205"
2/12/2022,"Crime Scene Cleanup Assistant Supervisor - Columbia SC","Aftermath Services",aftermath.com,"Environmental Services","$25.8K ? $32.6K a year",,,Columbia,SC,"29201"
2/12/2022,"Trade Development Analyst","Southern Glazer's Wine and Spirits",southernglazers.com,"Wine & Spirits","$50,000 - $55,000 a year",,,Columbia,SC,"29209"
2/12/2022,"Assistant Community Manager","West Shore LLC",west-shore.com,"Real Estate","From $18 an hour",,"Arcadia Lakes area",Columbia,SC,"29206"
2/14/2022,"Preschool Assistant Director","The Sunshine House Early Learning Academy",sunshinehouse.com,"Education Management",,,,Columbia,SC,"29209"
2/12/2022,"Executive Director","Discovery Senior Living",discoveryseniorliving.com,"Real Estate","$80,000 - $85,000 a year",,,Columbia,SC,"29223"
2/12/2022,"Store Manager","Chick-fil-A | Two Notch Road",,,,,,Columbia,SC,"29229"
2/12/2022,"Service Manager - Fire & Security Systems","JSC Systems",jscsystems.net,"Public Safety","$50K ? $63.2K a year",,,Columbia,SC,""
2/12/2022,"Facility Manager","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate","$68.9K ? $87.3K a year",,,Columbia,SC,"29210"
2/12/2022,"Family Services Supervisor","South Carolina Youth Advocate Program",scyap.com,"Individual & Family Services",,,,Columbia,SC,"29210"
2/14/2022,"After School Director and Teacher","Legacy After School & Summer Camp",legacyafterschool.com,Philanthropy,"$11 - $15 an hour",,,Columbia,SC,""
2/12/2022,"Regional Manager","Revert Systems",revertback.com,"Medical Devices","$100,000 - $200,000 a year",,,Columbia,SC,""
2/12/2022,"Mainframe Developer","DP Professionals",,,"$35 - $50 an hour",Remote,,"Remote in Columbia",SC,""
2/12/2022,"Regional Service Supervisor - Industrial Machinery - $2,000...","EST Companies",estcos.com,Machinery,"$70,000 - $90,000 a year",,"Dentsville area",Columbia,SC,"29223"
2/14/2022,"Cable TV Field Engineering Project Supervisor","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services","$37.3K ? $47.3K a year",Remote,,"Hybrid remote in Columbia",SC,""
2/12/2022,Accountant,"SC State Credit Union",scscu.com,Banking,"$42.7K ? $54.1K a year",,,Columbia,SC,"29201"
