DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-17,"Administrative Assistant II, Full-Time Day","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29203"
2022-03-16,"Employee Relations Consultant","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-03-15,"Eligibility Coordinator I","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2022-03-15,"Assistant Store Manager","The Vitamin Shoppe",vitaminshoppe.com,Retail,,,,Columbia,SC,"29212"
2022-03-15,"Program Coordinator I - 60007713","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2022-03-15,"Project Manager","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"$64.6K – $81.8K a year",,,Columbia,SC,"29229"
2022-03-17,"Support Technician","Michael Baker International",,,"$15 - $25 an hour",,,Columbia,SC,""
2022-03-16,"Account Manager","GM Financial",gmfinancial.com,"Financial Services",,,,Columbia,SC,""
2022-03-16,"Assistant Superintendent","Samet Corporation",sametcorp.com,Construction,"$66.1K – $83.7K a year",,,Columbia,SC,"29205"
2022-03-17,"Property Manager","Pegasus Residential, LLC",,,"$53.4K – $67.6K a year",,,Columbia,SC,""
2022-03-17,"OCCUPATIONAL THERAPY ASSISTANT INSTRUCTOR - ADJ","Southeastern Institute",southeasterninstitute.edu,"Higher Education","$40.5K – $51.3K a year",,,Columbia,SC,"29210"
2022-03-16,"store manager",Starbucks,starbucks.com,Retail,,,,Columbia,SC,""
2022-03-16,"Field Service Technician - Columbia, SC","Diversey, Inc.",diversey.com,Chemicals,"$30.8K – $39K a year",,,Columbia,SC,""
2022-03-17,"Mainframe Developer IV","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"$69.3K – $87.7K a year",,,Columbia,SC,"29229"
2022-03-17,"Lead Brewer","Mark Anthony Group Inc.",,,"$41.5K – $52.5K a year",,,Columbia,SC,"29209"
2022-03-16,"Inside Account Manager-SMB","Windstream Communications",windstreamenterprise.com,Telecommunications,,Remote,,"Remote in Columbia",SC,"29210"
2022-03-17,"Financial Report Writer (SQL/Aderant/Data Analyst)","Nelson Mullins Riley & Scarborough, LLP",nelsonmullins.com,"Law Practice","$56.6K – $71.6K a year",,"Downtown area",Columbia,SC,"29201"
