DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-24,Receptionist,"us issworld",issworld.com,"Facilities Services","$22 an hour",,,Columbia,SC,"29201"
2022-03-23,"Training Specialist II","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,,,,Columbia,SC,"29229"
2022-03-23,"Social Worker",Sevita,sevita.com,"Food Production",,,,Columbia,SC,"29204"
2022-03-23,"Program Manager I - 60021533","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2022-03-24,"Institution Medical Services Administrator (#012532) Kirklan...","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-03-23,"Membership Services Supervisor","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,,,,Columbia,SC,"29229"
2022-03-22,"Administrative Assistant (#017774) Classification and Inmate...","State of South Carolina",sc.gov,"Government Administration","$31,744 a year",,,Columbia,SC,"29223"
2022-03-23,"Instructor of Communication Studies","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-03-23,"Program Coordinator I","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2022-03-24,"Diamond Tool Specialist",Husqvarna,husqvarna.com,"Consumer Goods",,Remote,,"Remote in Columbia",SC,""
2022-03-22,"Assistant Deputy Director (#017370) Programs & Rehabilitatio...","State of South Carolina",sc.gov,"Government Administration","$72,361 a year",,,Columbia,SC,"29223"
2022-03-24,"Administrative Specialist (#011808) Kirkland Correctional In...","State of South Carolina",sc.gov,"Government Administration","$25,082 a year",,,Columbia,SC,"29223"
2022-03-22,"Program Coordinator II / 61083012","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-03-23,"Market Development Manager (Columbia, SC)",PepsiCo,pepsico.com,"Food & Beverages","$69,000 - $77,000 a year",,,Columbia,SC,""
2022-03-24,"Program Manager II - (Division Director) - 61006031","State of South Carolina",sc.gov,"Government Administration","$61,852 a year",,,Columbia,SC,"29223"
2022-03-22,"Human Resource Coordinator (#018983) Manning Reentry/Work Re...","State of South Carolina",sc.gov,"Government Administration","$37,138 a year",,,Columbia,SC,"29223"
2022-03-23,"Asst. Director of Economic Development","County of Richland, SC",richlandonline.com,"Government Administration","$64.3K ? $81.5K a year",,,Columbia,SC,""
2022-03-24,"Digital Account Executive","Cumulus Media",cumulusmedia.com,"Broadcast Media",,,,Columbia,SC,"29201"
2022-03-23,"Associate Sales Representative","Smith & Nephew",smith-nephew.com,"Medical Devices",,,,Columbia,SC,""
2022-03-23,"HR Administrative Assistant","Cumming Group",cumming-group.com,Construction,"$34.7K ? $43.9K a year",,"Arsenal Hill area",Columbia,SC,"29201"
2022-03-23,"Global Customer Marketing Manager",Qlik,qlik.com,"Computer Software",,,,Columbia,SC,"29292"
2022-03-24,"Procurement Manager II","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2022-03-24,"Fire Safety Off IV - Battalion Chief - FMO","State of South Carolina",sc.gov,"Government Administration","$50,833 a year",,,Columbia,SC,"29223"
2022-03-22,"Engineering Technician III (61034712)","State of South Carolina",sc.gov,"Government Administration","$43,020 a year",,,Columbia,SC,"29223"
2022-03-24,"Talent Recruiting Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Columbia,SC,"29201"
2022-03-24,"Assistant General Manager","SOUTH CAROLINA LOGOS INC",,,"$40,000 - $45,000 a year",,,Columbia,SC,"29209"
2022-03-23,"Education Associate - 61091310","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29201"
2022-03-22,"Ambulatory Coder Denials, FT, Days","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29210"
2022-03-22,"HIM Chart Analyst, FT, Days","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29220"
2022-03-24,"Federal DoD/VA Specialist - North and South Carolina territo...",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Columbia,SC,""
2022-03-23,Instructor/English,"University of South Carolina",uofsc.org,"Higher Education","$43,000 a year",,,Columbia,SC,"29208"
2022-03-23,"Area Manager",RGIS,rgis.com,Retail,,,"Seven Oaks area",Columbia,SC,"29210"
2022-03-24,"General Manager","Country Inn & Suites",,,,,,Columbia,SC,""
2022-03-23,"Clinic Office Coordinator - MCP Columbia Clinics","Medical University of South Carolina",musc.edu,"Hospital & Health Care",,,,Columbia,SC,""
2022-03-22,"General Manager","Ulta Beauty",ulta.com,Retail,,,,Columbia,SC,"29205"
2022-03-24,"Benefits Specialist II","AgFirst Farm Credit Bank",agfirst.com,"Banking, Finance","$48.3K ? $61.1K a year",,,Columbia,SC,""
2022-03-22,"QI Field Services Specialist",Sevita,sevita.com,"Food Production",,,,Columbia,SC,"29204"
2022-03-23,"Asst. Director of Economic Development","Richland County Government",richlandcountysc.gov,"Government Administration","$64.3K ? $81.5K a year",,,Columbia,SC,"29204"
2022-03-22,"Assistant Box Office Manager (CLA)","University of South Carolina",uofsc.org,"Higher Education","$36,047 a year",,,Columbia,SC,"29208"
2022-03-22,"Analyst, Forensic","ViaPath Technologies",,,"$56.6K ? $71.6K a year",,,Columbia,SC,""
2022-03-22,"Customer Care Specialist II","Franklin Energy",franklinenergy.com,"Renewables & Environment","$26.5K ? $33.5K a year",,,Columbia,SC,""
2022-03-22,"Healthcare Sales Professional - Columbia, SC","Tris Therapeutics LLC Tris Pharma I",trispharma.com,Pharmaceuticals,"$62.9K ? $79.7K a year",,,Columbia,SC,""
2022-03-24,"Branch Leader II - Five Points","Truist Financial",truist.com,"Financial Services",,,"Downtown area",Columbia,SC,"29201"
2022-03-24,"Institution Medical Services Administrator (#010314) Camille...","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-03-23,"Mobile Tester",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Columbia,SC,"29201"
