DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-09,"Criminal Analyst","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-04-10,"Seeking Professional Cleaning Technicians and Trainers (copy...","Deserved Comfort House Cleaning",deservedcomfort.com,"Consumer Services","$12 - $16 an hour",,,Columbia,SC,"29201"
2022-04-09,"Sales Representative Training Program","Mutual of America Financial Group",,,"$60,000 a year",,,Columbia,SC,"29201"
2022-04-10,"Client Project Specialist - Remote, USA",Intelerad,intelerad.com,"Medical Devices",,Remote,,"Remote in Columbia",SC,""
2022-04-09,"Re-Hire Highway Patrol Trooper","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-04-09,"Professional Auditor - 60006615","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29223"
2022-04-09,"Program Coordinator II/DoFS-Reimbursement","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-04-11,"PICS Inventory Area Manager","PICS Inventory Service",picsinv.com,Retail,,,,Columbia,SC,""
2022-04-09,"INTERNAL ONLY Death Row Recreation Officer - Broad River Sec...","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29223"
2022-04-09,"Project Manager","South Carolina Education Lottery",sceducationlottery.com,Entertainment,"$50,000 a year",,"Downtown area",Columbia,SC,"29201"
2022-04-09,"Preschool Teachers","Creative Kids Childcare Center",,,,,,Columbia,SC,"29209"
2022-04-09,"High School Social Studies Faculty","Columbia International University",ciu.edu,"Higher Education",,,,Columbia,SC,"29203"
2022-04-09,"Registered Nurse",Pruitthealth,pruitthealth.com,"Hospital & Health Care",,,"Pinehurst area",Columbia,SC,"29204"
2022-04-09,"IT Infrastructure Planner","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-04-09,"Accountant/Fiscal Analyst/DoFS-Accounts Payable","State of South Carolina",sc.gov,"Government Administration","$34,331 a year",,,Columbia,SC,"29223"
2022-04-10,"Parts Room Attendant 4 - Columbia, SC B Shift","Tyson Foods, Inc.",tysonfoods.com,"Food Production",,,,Columbia,SC,""
2022-04-09,"Patient Support Technician, Emergency Trauma Center, FT, Day","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Columbia,SC,"29201"
2022-04-09,"Resident Care Coordinator - Atria Forest Lake","Atria Senior Living",atriaseniorliving.com,"Real Estate","From $15 an hour",,,Columbia,SC,"29206"
2022-04-09,"General Maintenance Technician II","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-04-09,"AP/Payroll/HR HCC",Pruitthealth,pruitthealth.com,"Hospital & Health Care",,,"Pinehurst area",Columbia,SC,"29204"
2022-04-09,"Merchandiser (Full-Time Days)","PepsiCo Beverages North America",,,"$16 an hour",,,Columbia,SC,"29203"
2022-04-09,"TRANSPORTATION SUPERVISOR","McLane Company",mclaneco.com,"Logistics & Supply Chain",,,,Columbia,SC,"29201"
2022-04-11,"Mobile Billboard Driver","do it outdoors media",doitoutdoors.com,"Marketing & Advertising","$14 - $15 an hour",,,Columbia,SC,""
2022-04-09,"Criminal Analyst","State of South Carolina",sc.gov,"Government Administration",,,"Saint Andrews area",Columbia,SC,"29210"
2022-04-09,"Middle School Counselor","Columbia International University",ciu.edu,"Higher Education",,,,Columbia,SC,"29203"
2022-04-11,"Overnight Server","Waffle House",wafflehouse.com,Restaurants,,,,Columbia,SC,""
2022-04-11,"Department Manager (HBA/Food/Candy)","Ollie's Bargain Outlet, Inc.",ollies.us,Retail,,,,Columbia,SC,"29209"
2022-04-09,"IT and Building Coordinator","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-04-09,"INTERNAL ONLY Transportation Officer - Broad River Correctio...","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29223"
2022-04-10,"Remarketing Inventory Coordinator -Columbia, SC","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$14.50 an hour",,,Columbia,SC,""
2022-04-11,"Automotive Service Porter / Greeter","Jim Hudson Chevrolet",,,,,,Columbia,SC,"29229"
2022-04-09,"Associate Teacher","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29221"
2022-04-09,"Administrative Specialist II - 60013744","State of South Carolina",sc.gov,"Government Administration","$23,190 a year",,,Columbia,SC,"29223"
2022-04-09,"Sanitor 2","Treehouse Foods",,,,,,Columbia,SC,""
2022-04-09,"Nutrition Services Aide","Encompass Health",encompasshealth.com,"Hospital & Health Care",,,,Columbia,SC,"29203"
2022-04-09,"Real Estate Agent - Columbia, SC",Redfin,redfin.com,"Real Estate","Up to $6,000 a month",,,Columbia,SC,""
2022-04-09,"LPN or RN Wound Treatment Nurse","Choice Health",,,,,"Seven Oaks area",Columbia,SC,"29210"
2022-04-09,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Columbia,SC,"29209"
2022-04-10,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Columbia,SC,"29203"
2022-04-09,"IT Technician","University of South Carolina",uofsc.org,"Higher Education","$34,331 - $48,927 a year",,,Columbia,SC,"29208"
2022-04-10,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Seven Oaks area",Columbia,SC,"29212"
2022-04-08,"CWS Case Manager - Adoptions (Human Services Specialist II)...","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-04-09,"ADMINISTRATIVE SPECIALIST II","State of South Carolina",sc.gov,"Government Administration","$23,190 a year",,,Columbia,SC,"29223"
2022-04-09,"Post Doctoral Fellow","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-04-09,"Mortgage Loan Officer Sales Asst","TD Bank",yesbank.com,Banking,,,"Downtown area",Columbia,SC,"29201"
2022-04-09,"Assistant Dean","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-04-11,"CL A Regional Flatbed Home W/Ends-Rider & Pet from Day One",Blackbird,blackbirdbar.com,Hospitality,,,,Columbia,SC,"29205"
2022-04-08,"APS Case Manager (Human Services Specialist II) / 61014337","State of South Carolina",sc.gov,"Government Administration","$28,215 a year",,,Columbia,SC,"29223"
2022-04-09,"Restaurant Team Member - Crew (2637 - Garners Ferry Rd.)",Chipotle,,,,,,Columbia,SC,"29209"
2022-04-09,"Insurance Sales Agent","Acceptance Insurance",acceptanceinsurance.com,Insurance,,,,Columbia,SC,""
2022-04-09,"Delivery Driver",LKQ,lkqcorp.com,Automotive,,,,Columbia,SC,"29223"
2022-04-09,"Multi-State Corporate Income Tax Auditor","State of South Carolina",sc.gov,"Government Administration","$41,777 a year",,,Columbia,SC,"29223"
2022-04-10,"Administrative Assistant/DIS/Forensic Evaluation Services","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29203"
2022-04-08,"Records Analyst II","State of South Carolina",sc.gov,"Government Administration",,,"Saint Andrews area",Columbia,SC,"29210"
2022-04-08,"Administrative Coordinator I","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29203"
2022-04-09,"General Maintenance Technician II","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29202"
2022-04-09,"Administrative Specialist II - 60013744","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29201"
2022-04-08,"Agency Laundry Manager (#017434) Support Services & Industri...","State of South Carolina",sc.gov,"Government Administration",,,"Saint Andrews area",Columbia,SC,"29210"
2022-04-09,"Head Women's Basketball Coach","University of South Carolina",uofsc.org,"Higher Education",,,,Columbia,SC,"29208"
2022-04-08,"Administrative Specialist A/Lodge B","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29203"
2022-04-08,"CWS Case Manager - Adoptions (Human Services Specialist II)...","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29201"
2022-04-09,"Restaurant Team Member - Crew (3313 - Two Notch)",Chipotle,,,,,,Columbia,SC,"29229"
2022-04-09,"Program Coordinator II/DoFS-Reimbursement","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29202"
2022-04-08,"APS Case Manager (Human Services Specialist II) / 61014337","State of South Carolina",sc.gov,"Government Administration",,,,Columbia,SC,"29201"
2022-04-09,"Multi-State Corporate Income Tax Auditor","State of South Carolina",sc.gov,"Government Administration",,,"Saint Andrews area",Columbia,SC,"29210"
2022-04-09,"Restaurant Team Member - Crew (1567 - Harbison Blvd)",Chipotle,,,,,,Columbia,SC,"29212"
2022-04-09,"Restaurant Team Member - Crew (1963 - Vista)",Chipotle,,,,,"Arsenal Hill area",Columbia,SC,"29201"
2022-04-09,"Crime Scene Technician","MSP Hoarding",minneapolishoarding.com,,"$17 - $20 an hour",,,Columbia,SC,""
2022-04-11,"Education Instructor",Wellpath,wellpathcare.com,"Hospital & Health Care",,,,Columbia,SC,"29203"
2022-04-11,"Home Health Care Coordinator $18/hr","Turning Point Medical LLC",,,"$17 - $18 an hour",,,Columbia,SC,""
2022-04-09,Housekeeper,"The Cleaning Authority - West Columbia",,,"$13 - $17 an hour",,"Seven Oaks area",Columbia,SC,"29210"
2022-04-09,"ENTRY LEVEL ACCOUNTING CLERK","JTS Automotive Group",jtscars.com,Automotive,"$12 - $15 an hour",,,Columbia,SC,"29210"
2022-04-11,"Day Prep","Pasta Fresca",,,"From $11 an hour",,,Columbia,SC,"29206"
2022-04-09,"Quality Management System (QMS) Coordinator","Lindau Chemicals Inc.",,,"$20 - $33 an hour",,,Columbia,SC,"29201"
2022-04-09,"Audiology Technician",SCENT,scentbird.com,Retail,,,,Columbia,SC,""
2022-04-09,"Instructional Writer I R1019597","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"From $16.11 an hour",,,Columbia,SC,"29203"
2022-04-09,"Program Coordinator II","South Carolina Department of Health and Human...",scdhhs.gov,"Government Administration","$41,777 - $77,298 a year",,"Downtown area",Columbia,SC,"29201"
2022-04-09,"Telemedicine Physician FT (Remote)","Doctors Care/UCI Medical Affiliates, Inc.",ucimedinc.com,"Executive Office",,Remote,,"Remote in Columbia",SC,"29201"
2022-04-09,"Experienced Medical Scribe - Leadership Role",ChartJoy,chartjoy.co,"Hospital & Health Care",,,,Columbia,SC,"29203"
2022-04-10,Cleaner,Applebee's,,,,,,Columbia,SC,"29212"
2022-04-09,"Post-Acute Long Term Care Physician","OnSite Healthcare and Wellness",,,,,,Columbia,SC,"29229"
2022-04-11,"Graphic Designer CSR",Frenzy,,,"From $40,000 a year",,,Columbia,SC,"29201"
2022-04-09,Housekeeper,"Two Maids & A Mop- Columbia",twomaidsfranchise.com,"Consumer Services","$325 - $450 a week",,,Columbia,SC,"29206"
2022-04-09,"Subrogation Specialist R1020855","BlueCross BlueShield of South Carolina",southcarolinablues.com,Insurance,"From $17.66 an hour",,,Columbia,SC,"29229"
2022-04-11,"Host Cashier","Zoës Kitchen",,,,,,Columbia,SC,"29206"
2022-04-11,GMIT,"Zoës Kitchen",,,,,,Columbia,SC,"29206"
2022-04-09,"Optical Receptionist",TZVECL,,,,,,Columbia,SC,"29212"
2022-04-10,"Financial Professional","Summit Advisory Group",sumadv.com,"Financial Services",,,,Columbia,SC,""
2022-04-09,"PM Technician (Increased Payrate of $22.93)","TreeHouse Foods",,,"$22.93 an hour",,,Columbia,SC,"29209"
2022-04-11,"Elementary School Fundraising Program Leader","Boosterthon Enterprises",,,"$30,000 a year",,,Columbia,SC,""
2022-04-11,Bartender,Applebee's,,,,,,Columbia,SC,"29212"
2022-04-10,"Inbound Sales Agent","Public Storage",publicstorage.com,"Real Estate","$12 an hour",Remote,,"Remote in Columbia",SC,""
2022-04-11,"Financial Coach","Dragon Financial Services",dragon-financial.com,"Electrical/Electronic Manufacturing","$50,000 - $100,000 a year",Remote,,"Remote in Columbia",SC,""
2022-04-09,"Service Dispatcher","Cool Care Heating & Air",,,"$19 - $25 an hour",,,Columbia,SC,"29260"
2022-04-09,"Remodel Crew Member","Riddle Contracting Services",,,"$600 - $800 a week",,,Columbia,SC,""
2022-04-10,"Fiber Optic Lineman","Pilot Ridge Communications, Inc.",,,"$17 - $30 an hour",,,Columbia,SC,""
2022-04-11,"Home Health Clinical Manager, RN",Pruitthealth,pruitthealth.com,"Hospital & Health Care",,,"Saint Andrews area",Columbia,SC,"29210"
2022-04-09,"Patient Support Specialist",LRADAC,lradac.org,"Hospital & Health Care","$13 - $17 an hour",,,Columbia,SC,"29203"
2022-04-10,Host/Hostess,"Burger King | Columbia SC Burger King",,,,,,Columbia,SC,"29229"
2022-04-09,"Armed/Unarmed security nights and weekends","Chief Services & Security Solutions, Inc.",chiefservicesandsecuritysolutions.com,"Security & Investigations","$10 - $12 an hour",,,Columbia,SC,""
2022-04-11,"Host Cashier","Zoës Kitchen",,,,,,Columbia,SC,"29206"
2022-04-10,"Financial Professional","Summit Advisory Group",sumadv.com,"Financial Services",,,,Columbia,SC,""
2022-04-09,"Remodel Crew Member","Riddle Contracting Services",,,"$600 - $800 a week",,,Columbia,SC,""
2022-04-10,"Fiber Optic Lineman","Pilot Ridge Communications, Inc.",,,"$17 - $30 an hour",,,Columbia,SC,""
2022-04-11,"Home Health Clinical Manager, RN",Pruitthealth,pruitthealth.com,"Hospital & Health Care",,,"Saint Andrews area",Columbia,SC,"29210"
2022-04-10,Host/Hostess,"Burger King | Columbia SC Burger King",,,,,,Columbia,SC,"29229"
2022-04-09,"Store Manager","Games Workshop",games-workshop.com,Retail,"$38,000 - $38,001 a year",,,Columbia,SC,"29206"
2022-04-10,"Service Team",Applebee's,,,,,,Columbia,SC,"29205"
2022-04-09,"Production Worker","Physicians Wear",physicianswear.com,Textiles,"$10 - $12 an hour",,"Pinehurst area",Columbia,SC,"29204"
2022-04-11,"Custody Officer",Wellpath,wellpathcare.com,"Hospital & Health Care",,,,Columbia,SC,"29203"
