DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-17,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,"$17.90 an hour",,,"Sioux Falls",SD,"57107"
2022-09-17,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,"$17 an hour",,,"Sioux Falls",SD,"57107"
2022-09-17,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,"$17 an hour",,,"Sioux Falls",SD,"57107"
2022-09-17,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,"$15.50 an hour",,,"Sioux Falls",SD,"57107"
2022-09-17,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,"$15.50 an hour",,,"Sioux Falls",SD,"57107"
2022-09-17,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,"$15.50 an hour",,,"Sioux Falls",SD,"57107"
2022-09-17,"Signal Apprentice - Sioux Falls, SD",BNSF,bnsf.com,Transportation/Trucking/Railroad,"$29.40 an hour",,"Downtown area)","Sioux Falls",SD,"57103"
2022-09-17,"Associate Partner, Human Resources","Amazon.com Services LLC",amazon.com,Internet,,,,"Sioux Falls",SD,""
2022-09-17,"Amazon Delivery Station Warehouse Associate","Amazon HVH",,,"$15.50 an hour",,,"Sioux Falls",SD,"57104"
2022-09-17,"Amazon Delivery Station Warehouse Associate","Amazon HVH",,,"$15.50 an hour",,,"Sioux Falls",SD,"57104"
2022-09-20,"Finance Executive Assistant","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","$61,889 a year",,,"Sioux Falls",SD,""
2022-09-17,"Revenue Agent","South Dakota State Government",sd.gov,"Government Administration","$20.61 an hour",,,"Sioux Falls",SD,""
2022-09-20,"Field Pharmaceutical Educational Representative","Sioux Falls, SD",,,,,,,,""
2022-09-20,"Full-Time Store Associate",ALDI,aldi.pl,Retail,"$16 an hour",,,"Sioux Falls",SD,""
2022-09-20,"Sterile Processing Room Technician - FT","Sioux Falls Specialty Hospital",sfsh.com,"Hospital & Health Care","estimated $32.6k - $41.2k a year",,,"Sioux Falls",SD,"57105"
2022-09-17,"Remote Inbound Customer Service Representative",CCC,cccis.com,"Computer Software","estimated $28k - $35.4k a year",Remote,,"Remote in Sioux Falls",SD,""
2022-09-17,"Demanufacturing Technician","Vander Haag's Inc.",vanderhaags.com,Retail,"$22 - $26 an hour",,,"Sioux Falls",SD,"57104"
2022-09-17,"Store Support Teammate",Buckle,buckleup.com,"Financial Services","estimated $25.5k - $32.3k a year",,,"Sioux Falls",SD,"57106"
2022-09-20,"Field Pharmaceutical Educational Representative","Ashfield Engage",,,,,,"Sioux Falls",SD,""
2022-09-17,"Community Relations/Community Education Clerical - Class III...","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","$21.10 an hour",,,"Sioux Falls",SD,""
2022-09-20,"Online Personal Shopper-FT","Hy-Vee, Inc.",,,"estimated $23.7k - $30.1k a year",,,"Sioux Falls",SD,""
2022-09-20,"Planning and Zoning Specialist","City of Sioux Falls",siouxfalls.org,"Government Administration","$27.61 - $30.09 an hour",,,"Sioux Falls",SD,""
2022-09-20,"Pharmaceutical Field Sales Representative","Sioux Falls, SD",,,,,,,,""
2022-09-17,"AVP FCRM Systems Intelligence Analyst","Bancorp Bank, The",mybankingservices.com,,,,,"Sioux Falls",SD,"57108"
2022-09-18,"Finance Analyst","MasterBrand Cabinets Inc.",masterbrand.com,"Building Materials",,,,"Sioux Falls",SD,"57104"
2022-09-20,"Pharmacy Fulfillment Assistant Director","Hy-Vee, Inc.",,,,,,"Sioux Falls",SD,""
2022-09-17,"Assistant Manager",Buckle,buckleup.com,"Financial Services","$18 - $20 an hour",,,"Sioux Falls",SD,"57106"
2022-09-18,"Driver Helper",Sysco,sysco.com,"Food & Beverages",,,,"Sioux Falls",SD,""
2022-09-20,"Facilities Assistant","PREMIER Bankcard LLC",,,"estimated $27.4k - $34.6k a year",,,"Sioux Falls",SD,"57110"
2022-09-17,MERCHANDISING,"Home Depot",,,,,,"Sioux Falls",SD,"57106"
2022-09-17,"Office Administrator",McDonald’s,,,,,,"Sioux Falls",SD,"57108"
2022-09-17,"Wine and Spirits Clerk","Hy-Vee, Inc.",,,"estimated $23k - $29.2k a year",,,"Sioux Falls",SD,""
2022-09-18,"Cheese Specialist","Hy-Vee, Inc.",,,"estimated $25.3k - $32.1k a year",,,"Sioux Falls",SD,""
2022-09-17,"Crew member 85th and Minnesota",McDonald’s,,,,,,"Sioux Falls",SD,"57108"
2022-09-20,"UPS Seasonal Tractor Trailer Driver","UPS NORTHERN PLAINS DISTRICT",,,"estimated $34.2k - $43.2k a year",,,"Sioux Falls",SD,"57107"
2022-09-18,"Parts Counter Associate (Sioux Falls, SD)","Billion Automotive",billionauto.com,Automotive,"estimated $30k - $38k a year",,,"Sioux Falls",SD,"57106"
2022-09-17,"Retail Inventory Specialist","Staples Stores",staplesconnect.com,"Business Supplies & Equipment",,,,"Sioux Falls",SD,"57105"
2022-09-17,"Parts Shipping and Receiving Associate (Sioux Falls, SD)","Billion Automotive",billionauto.com,Automotive,"estimated $27.4k - $34.6k a year",,,"Sioux Falls",SD,"57106"
2022-09-17,"Mental Health Counselor","City of Sioux Falls",siouxfalls.org,"Government Administration","$28.81 - $31.41 an hour",,,"Sioux Falls",SD,""
2022-09-20,"Maintenance Technician - Lead","Hy-Vee, Inc.",,,"estimated $45.6k - $57.8k a year",,,"Sioux Falls",SD,""
2022-09-20,"Accounting Associate","Sioux Falls Sheraton",,,"estimated $31.7k - $40.1k a year",,,"Sioux Falls",SD,""
2022-09-20,"Cheese Specialist","Hy-Vee, Inc.",,,"estimated $25.3k - $32.1k a year",,,"Sioux Falls",SD,""
2022-09-18,"Boss Shop Customer Service/Sales Associate","Boss Truck Shops, Inc",bosstruckshops.com,Transportation/Trucking/Railroad,"estimated $25.9k - $32.7k a year",,,"Sioux Falls",SD,"57107"
2022-09-17,"Customer Service Representative","Security National Bank",secnatbank.com,Banking,"estimated $28.8k - $36.4k a year",,,"Sioux Falls",SD,"57108"
2022-09-17,"Detail Technician (Sioux Falls, SD)","Billion Automotive",billionauto.com,Automotive,"estimated $25.3k - $32.1k a year",,,"Sioux Falls",SD,"57106"
2022-09-17,"Warehouse Material Handler",Graybar,graybar.com,Wholesale,"from $17 an hour",,,"Sioux Falls",SD,""
2022-09-17,"Outbound Call Center Representative (Sioux Falls, SD)","Billion Automotive",billionauto.com,Automotive,"$11 - $18 an hour",,,"Sioux Falls",SD,"57106"
2022-09-17,"Assistant in Training",Buckle,buckleup.com,"Financial Services","estimated $29.7k - $37.7k a year",,,"Sioux Falls",SD,"57106"
2022-09-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,"estimated $20.3k - $25.7k a year",,,"Sioux Falls",SD,"57103"
2022-09-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,"estimated $20.3k - $25.7k a year",,"Axtell Park/ Lincoln Elementary area)","Sioux Falls",SD,"57104"
2022-09-17,"Warehouse Associate (Sioux Falls, SD)","Billion Automotive",billionauto.com,Automotive,"$15 an hour",,,"Sioux Falls",SD,"57106"
2022-09-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,"estimated $20.3k - $25.7k a year",,,"Sioux Falls",SD,"57105"
2022-09-17,"Service Technician","Lift Solutions Inc",,,"estimated $39k - $49.4k a year",,,"Sioux Falls",SD,"57104"
2022-09-20,"Customer Service Team Member","Fleet Farm",fleetfarm.com,Retail,"estimated $22.5k - $28.5k a year",,,"Sioux Falls",SD,"57107"
2022-09-17,"Retail Department Supervisor Customer Service","TJ Maxx",,,,,,"Sioux Falls",SD,"57106"
2022-09-17,"Customer Service Specialist",Sherwin-Williams,myhealthcentre.ca,"Hospital & Health Care",,,,"Sioux Falls",SD,"57110"
2022-09-20,"Registered Nurse Coordinator - Long Term Care - Full Time",Avera,avera.org,"Hospital & Health Care","estimated $40.1k - $50.7k a year",,,"Sioux Falls",SD,"57103"
2022-09-17,"Market Grille Assistant Department Manager","Hy-Vee, Inc.",,,"estimated $27.2k - $34.4k a year",,,"Sioux Falls",SD,""
2022-09-20,"Banquet Captain","Sioux Falls Sheraton",,,"estimated $28.8k - $36.4k a year",,,"Sioux Falls",SD,""
2022-09-17,"Sales Rep - Sioux Falls, SD #757981",Sherwin-Williams,myhealthcentre.ca,"Hospital & Health Care",,,,"Sioux Falls",SD,""
2022-09-17,"Manager Trainee/Interim 2746504","Holiday Stationstores",holidaystationstores.com,Retail,"estimated $27.4k - $34.6k a year",,,"Sioux Falls",SD,"57107"
2022-09-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,"estimated $24.7k - $31.3k a year",,"Axtell Park/ Lincoln Elementary area)","Sioux Falls",SD,"57104"
2022-09-18,"Cheese Specialist","Hy-Vee, Inc.",,,"estimated $25.3k - $32.1k a year",,,"Sioux Falls",SD,""
2022-09-17,Caseworker,"Minnehaha County",,,"estimated $53.1k - $67.3k a year",,,"Sioux Falls",SD,"57104"
2022-09-17,"Pizza Delivery Driver","Papa John's Pizza",papajohnshouston.com,Restaurants,"$15 - $22 an hour",,,"Sioux Falls",SD,""
2022-09-19,"Food Runner",Chilis,chilis.com,Restaurants,,,,"Sioux Falls",SD,"57106"
2022-09-20,"Assistant Environmental/Civil Engineer - Environmental Servi...","Burns & McDonnell",burnsmcd.com,Construction,"estimated $59.7k - $75.7k a year",,,"Sioux Falls",SD,""
2022-09-18,"Assistant Store Manager","Yotes Two Inc",,,"estimated $27k - $34.2k a year",,,"Sioux Falls",SD,"57110"
2022-09-18,"Assistant Store Manager","Yotes Two Inc",,,"estimated $27k - $34.2k a year",,,"Sioux Falls",SD,"57105"
2022-09-18,"Assistant Store Manager","Yotes Two Inc",,,"estimated $27k - $34.2k a year",,,"Sioux Falls",SD,"57106"
2022-09-18,"Assistant Store Manager","Yotes Two Inc",,,"estimated $27k - $34.2k a year",,,"Sioux Falls",SD,"57108"
2022-09-17,"Pizza Delivery Driver","Papa John's Pizza",papajohnshouston.com,Restaurants,"$15 - $22 an hour",,,"Sioux Falls",SD,""
2022-09-17,"Telemedicine Provider","MMD Health",mmdmedical.com,"Medical Devices","$120 - $200 an hour",,,"Sioux Falls",SD,""
