DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-07-23,"Underwriting Associate","Wells Fargo",climaticsolar.com,"Environmental Services",,Remote,,"Remote in Sioux Falls",SD,"57104"
2022-07-23,"Operations Support Coordinator - Behavioral Health","Sioux Falls, SD",,,,,,,,""
2022-07-24,"Field Searcher","Genus PLC",,,"estimated $34.1k - $43.1k a year",,,"Sioux Falls",SD,"57104"
2022-07-23,"Economic Assistance Benefits Specialist","South Dakota State Government",sd.gov,"Government Administration","$20.61 an hour",,,"Sioux Falls",SD,""
2022-07-23,"Surety Image Scanning Associat","CNA Insurance",cna.com,Insurance,"estimated $29.7k - $37.5k a year",,"Downtown area)","Sioux Falls",SD,"57103"
2022-07-23,"Assistant Manager, Health Wellness Home","Hy-Vee, Inc.",,,,,,"Sioux Falls",SD,""
2022-07-23,"Registered Client Service Associate","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,"Downtown area)","Sioux Falls",SD,"57104"
2022-07-23,"Boss Shop Customer Service/Sales Associate","Boss Truck Shops, Inc",bosstruckshops.com,Transportation/Trucking/Railroad,,,,"Sioux Falls",SD,"57107"
2022-07-23,"Patient Care Technician",Avera,avera.org,"Hospital & Health Care","estimated $24.3k - $30.7k a year",,,"Sioux Falls",SD,"57105"
2022-07-22,"FT-Sales Associate - Inside Lawn And Garden-Day",Lowe's,lowes.com,Retail,,,,"Sioux Falls",SD,"57106"
2022-07-23,"General Clerk (Surety)","CNA Insurance",cna.com,Insurance,"estimated $26.7k - $33.9k a year",,"Downtown area)","Sioux Falls",SD,"57103"
2022-07-23,"Registered Nurse (RN)",Avera,avera.org,"Hospital & Health Care","$167 a day",,,"Sioux Falls",SD,"57105"
2022-07-23,"Concrete Saw Operator - Michels Road & Stone, Inc.",Michels,michels.us,Construction,"estimated $31.4k - $39.8k a year",,"All Saints area)","Sioux Falls",SD,"57104"
2022-07-23,"Team Member","Casey's General Stores",caseys.com,"Food & Beverages","estimated $23.4k - $29.6k a year",,,"Sioux Falls",SD,"57107"
2022-07-23,"PT TH Evn DSP","Resources For Human Development, Inc.",,,"estimated $28.6k - $36.2k a year",,,"Sioux Falls",SD,"57105"
2022-07-23,Dietitian,Avera,avera.org,"Hospital & Health Care","estimated $54.1k - $68.5k a year",,,"Sioux Falls",SD,"57105"
2022-07-23,"Frozen Department Manager","Hy-Vee, Inc.",,,,,,"Sioux Falls",SD,""
2022-07-24,"Automotive Sales","Graham Automotive",grahamauto.com,Automotive,,,,"Sioux Falls",SD,"57105"
2022-07-23,"High School Science Teacher - 1.0 FTE at Axtell Park","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","estimated $45.8k - $58k a year",,,"Sioux Falls",SD,""
2022-07-23,"Elementary Music Teacher - 1.0 FTE at Oscar Howe Elementary","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","$2,670 a month",,,"Sioux Falls",SD,""
2022-07-23,"Concrete Field Laborer-Michels Road & Stone, Inc,",Michels,michels.us,Construction,"estimated $32.2k - $40.8k a year",,"All Saints area)","Sioux Falls",SD,"57104"
2022-07-23,"Staff Psychologist-Pain","US Veterans Health Administration",va.gov,"Government Administration","$66,214 - $122,683 a year",,,"Sioux Falls",SD,"57105"
2022-07-22,"Team Lead(01804) - 1207 E 57th St","Domino's Franchise",dominos.com,Restaurants,"$12 - $13 an hour",,,"Sioux Falls",SD,"57108"
2022-07-23,"FT TH DSP","Resources For Human Development, Inc.",,,"estimated $28.3k - $35.9k a year",,,"Sioux Falls",SD,"57105"
2022-07-23,"PT TH Rotating DSP","Resources For Human Development, Inc.",,,"estimated $28.6k - $36.2k a year",,,"Sioux Falls",SD,"57105"
2022-07-23,"FT MC OVN DSP","Resources For Human Development, Inc.",,,"estimated $25k - $31.6k a year",,,"Sioux Falls",SD,"57105"
