DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-24,"Customer Service Agent","American Airlines",aa.com,Airlines/Aviation,,,,Nashville,TN,""
2022-09-26,"Server - Harriet's Rooftop","1 Hotel Nashville",,,"estimated $27.3k - $34.5k a year",,"SoBro area)",Nashville,TN,"37203"
2022-09-25,Server,"Marriott International, Inc",,,,,"The Gulch area)",Nashville,TN,"37203"
2022-09-25,"Equipment Technician- We Will Train!","Fiserv, Inc.",banklink.com,,"from $25 an hour",,,Nashville,TN,""
2022-09-24,"Restaurant Server","DoubleTree by Hilton- Nashville Downtown",,,,,,Nashville,TN,"37219"
2022-09-24,"Customer Assistance Representative","American Airlines",aa.com,Airlines/Aviation,,,,Nashville,TN,""
2022-09-24,"Phone Sales (Automotive Parts) - WORK FROM HOME! (Florida/Te...","Summit Racing Equipment",summitracing.com,Automotive,"from $15 an hour",Remote,,"Remote in Nashville",TN,""
2022-09-27,"Cocktail Server","Grand Hyatt Nashville",,,"estimated $22.4k - $28.4k a year",,"Downtown area)",Nashville,TN,"37203"
2022-09-27,"Extension Agent - Davidson County","Tennessee State University",tnstate.edu,"Higher Education","$38,000 - $51,219 a year",,,Nashville,TN,"37209"
2022-09-27,"Interviewing Managers at Hattie B's Hot Chicken-Text Hattie...","Hattie B's Hot Chicken",hattieb.com,"Food & Beverages","$60,000 - $75,000 a year",,"Downtown area)",Nashville,TN,"37203"
2022-09-25,Server,"Marriott International, Inc",,,,,"The Gulch area)",Nashville,TN,"37203"
2022-09-25,"Amazon Delivery Station Warehouse Associate","Amazon HVH",,,"$18.75 an hour",,,Nashville,TN,"37115"
2022-09-24,"Access and Response Care Specialist Associate","Workit Health",workithealth.com,"Hospital & Health Care",,Remote,,"Remote in Nashville",TN,"37203"
2022-09-26,"Server - 1 Kitchen","1 Hotel Nashville",,,"estimated $27.1k - $34.3k a year",,"SoBro area)",Nashville,TN,"37203"
