DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,INVESTIGATOR,"US Defense Counterintelligence and Security Agency",,,"$44,740 - $58,158 a year",,,Nashville,TN,""
23-02-2022,"Customer Service Agent ? $17.54/hour + up to $1,800 stipend...","Southwest Airlines Co.",sammcelroy.co.uk,,"$17.54 an hour",,"Nashville International Airport area",Nashville,TN,"37214"
25-02-2022,"Service Representative - Online Services","Paychex Inc.",paychex.com,"Human Resources",,,,Nashville,TN,"37214"
22-02-2022,"Customer Service Agent ? $17.54/hour + up to $1,800 stipend...","Southwest Airlines",southwest.com,Airlines/Aviation,"$17.54 an hour",,"Una area",Nashville,TN,"37217"
24-02-2022,Host/Hostess,"Marriott International, Inc",,,,,"Opry Mills Area area",Nashville,TN,"37214"
23-02-2022,"Communications Agent","Four Seasons",fourseasons.com,Hospitality,,,,Nashville,TN,""
23-02-2022,"Guest Services Supervisor","HRI Lodging",hriproperties.com,Hospitality,,,,Nashville,TN,""
25-02-2022,"PATIENT AMBASSADOR (FULL-TIME)","Compass Group Careers",,,,,,Nashville,TN,"37205"
22-02-2022,"Staff Scheduler","Neighborhood Health",neighborhoodhealthva.org,"Health, Wellness & Fitness",,,"Woodbine area",Nashville,TN,"37210"
25-02-2022,"FOOD SERVICE WORKER (FULL & PART-TIME)","Compass Group Careers",,,,,,Nashville,TN,"37205"
25-02-2022,"PATIENT AMBASSADOR (FULL-TIME)","Compass Group Careers",,,,,"Midtown area",Nashville,TN,"37236"
25-02-2022,"CORRECTIONAL TEACHER - 02242022-28082","State of Tennessee",tn.gov,"Government Administration","$41,028 a year",,"Capitol Hill Area area",Nashville,TN,"37243"
24-02-2022,"Receptionist - Nashville Campus","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Nashville,TN,"37203"
25-02-2022,"FOOD SERVICE WORKER/CASHIER (FULL-TIME)","Compass Group Careers",,,,,"Downtown area",Nashville,TN,"37203"
