DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/26/2022,"Deputy Criminal Court Clerk-Warrant/ Bond Clerk","Metropolitan Government of Nashville & Davidson...",,,"$35,000 a year",,"North Capitol area",Nashville,TN,"37219"
2/26/2022,"SUPERICA DISHWASHER - UP TO $16/hr. (Gulch)","Rocket Farm Restaurants LLC",,,"Up to $16 an hour",,,Nashville,TN,""
2/26/2022,"Public Area Attendant","Four Seasons",fourseasons.com,Hospitality,"$25.5K ? $32.3K a year",,,Nashville,TN,""
2/26/2022,Steward,"Loews Hotels & Co.",loewshotels.com,Hospitality,"$23.5K ? $29.7K a year",,"Midtown area",Nashville,TN,"37203"
2/26/2022,"Executive Assistant","Amazon.com Services LLC",amazon.com,Internet,,,,Nashville,TN,""
2/27/2022,"Patient Transporter",Ascension,ascension.org,"Hospital & Health Care",,,"Midtown area",Nashville,TN,"37236"
2/27/2022,"Banquet Set-up Attendant (Full Time)","JW Marriott Nashville",,,,,"SoBro area",Nashville,TN,"37203"
2/26/2022,"TG Fast Track Adjuster","Permanent General Assurance Corp.",thegeneral.com,Insurance,"Up to $27.98 an hour",,,Nashville,TN,""
2/26/2022,Groundskeeper,"Nashville Zoo",nashvillezoo.org,Entertainment,"$23.8K ? $30.2K a year",,,Nashville,TN,"37211"
2/26/2022,Tutors,"Lindamood-Bell Learning Processes",lindamoodbell.com,"Education Management","$30.8K ? $39K a year",,,Nashville,TN,""
2/27/2022,"Banquet Set-up Attendant (Full Time)","JW Marriott Nashville Downtown",,,,,"SoBro area",Nashville,TN,"37203"
2/25/2022,"Relationship Banker - Donelson Financial Center - Nashville,...","Bank of America",appianrx.com,"Hospital & Health Care",,,,Nashville,TN,""
2/26/2022,"Removal Technician","SCI Shared Resources, LLC",sci-corp.com,"Individual & Family Services","$27.4K ? $34.6K a year",,"Edgehill area",Nashville,TN,"37230"
2/26/2022,Gardener,"Nashville Zoo",nashvillezoo.org,Entertainment,"$25.2K ? $31.8K a year",,,Nashville,TN,"37211"
2/26/2022,"Customer Service Agent - Starting Pay $16.65/hr - Remote","Prime Therapeutics",primetherapeutics.com,Insurance,"$16.65 an hour",Remote,,"Remote in Nashville",TN,""
2/27/2022,"Patient Food Server","TriStar Centennial Medical Center",tristarcentennial.com,"Hospital & Health Care",,,,Nashville,TN,"37203"
2/26/2022,Custodian,"Nashville Zoo",nashvillezoo.org,Entertainment,"$22.9K ? $29.1K a year",,,Nashville,TN,"37211"
2/26/2022,"REVENUE COORDINATOR","Thompson Nashville",,,"$33.8K ? $42.8K a year",,"The Gulch area",Nashville,TN,"37203"
2/25/2022,"Asset Protection Associate Full time","Hibbett | City Gear",hibbett.com,Retail,"$27.7K ? $35.1K a year",,,Nashville,TN,""
2/26/2022,"Pharmacy Technician / Pharm Tech Apprenticeship",WALGREENS,walgreens.com,Retail,,,,Nashville,TN,"37214"
2/26/2022,"CASHIER/FOOD SERVICE WORKER (FULL & PART-TIME)","Compass Group Careers",,,,,"Midtown area",Nashville,TN,"37236"
2/26/2022,"Subway Sandwich Artist?",Subway,subway.com,Restaurants,,,"Green Hills area",Nashville,TN,"37215"
2/26/2022,"Subway Sandwich Artist?",Subway,subway.com,Restaurants,,,,Nashville,TN,"37203"
2/26/2022,"Conference Services Manager","Loews Hotels & Co.",loewshotels.com,Hospitality,"$46.5K ? $58.9K a year",,"Midtown area",Nashville,TN,"37203"
2/26/2022,Host/Hostess,"Marriott International, Inc",,,,,"Downtown area",Nashville,TN,"37203"
2/27/2022,"Patient Care Technician, Observation, Full Time, Night Shift",Ascension,ascension.org,"Hospital & Health Care",,,,Nashville,TN,"37205"
2/26/2022,"Patient Care Technician","TriStar Centennial Medical Center",tristarcentennial.com,"Hospital & Health Care",,,,Nashville,TN,"37203"
2/26/2022,"ADMINISTRATOR, OFFICE PERSONNEL - HOURLY (FULL-TIME)","Compass Group Careers",,,,,"Downtown area",Nashville,TN,"37219"
2/26/2022,"Lead Patient Transporter","TriStar Centennial Medical Center",tristarcentennial.com,"Hospital & Health Care",,,,Nashville,TN,"37203"
2/27/2022,Registrar,"TriStar Skyline Medical Center",tristarskyline.com,"Hospital & Health Care",,,,Nashville,TN,"37207"
2/26/2022,"Administrative Care Technician","TriStar Centennial Medical Center",tristarcentennial.com,"Hospital & Health Care",,,,Nashville,TN,"37203"
2/27/2022,"Guest Service Representative","White Lodging - Hyatt Place Nashville Downtown",,,"$26.3K ? $33.3K a year",,,Nashville,TN,"37201"
2/26/2022,"Administrative Assistant","Axial Healthcare",,,"$29K ? $36.8K a year",,"SoBro area",Nashville,TN,"37203"
2/26/2022,"Enforcement Agent, Parking Operations (Nashville, TN)","Admiral Enforcement Services",admiralenforcement.com,,,,,Nashville,TN,"37203"
2/27/2022,"Vehicle Inspection Coordinator","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$15 an hour",,,Nashville,TN,"37210"
2/27/2022,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,,Nashville,TN,"37211"
2/26/2022,"Overnight Supervisor","Four Seasons",fourseasons.com,Hospitality,"$28.2K ? $35.8K a year",,,Nashville,TN,""
