DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
22-02-2022,"Principal PM, Contact Experience, ABCS Operations","Amazon.com Services LLC",amazon.com,Internet,,,,Nashville,TN,""
25-02-2022,"Strategic Communications Manager- Government & Public Servic...",Deloitte,deloitte.com,"Management Consulting",,,"The Gulch area",Nashville,TN,"37203"
22-02-2022,"Director of Community Development",Wellpath,wellpathcare.com,"Hospital & Health Care",,,"Una area",Nashville,TN,"37217"
25-02-2022,"Practice Leader","KCI Technologies Inc.",kci.com,"Civil Engineering",,,"West End area",Nashville,TN,"37203"
24-02-2022,"Materials Program Manager, Physical Stores Manufacturing","Amazon.com Services LLC",amazon.com,Internet,,,,Nashville,TN,""
25-02-2022,"Director, Consulting",SCRUFF,,,,,,Nashville,TN,""
25-02-2022,"ServiceNow Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Nashville",TN,""
25-02-2022,"Lead Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Nashville",TN,""
25-02-2022,"Data Solutions Architect","Change Healthcare",changehealthcare.com,"Information Technology & Services",,,,Nashville,TN,"37214"
25-02-2022,"Member of Technical Staff, Telco Cloud and Edge - Opportunit...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Nashville",TN,""
25-02-2022,"Director of Service Provider Center of Excellence - Opportun...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Nashville",TN,""
23-02-2022,"SaaS Strategist (Acceleration & GTM) - Opportunity for Worki...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Nashville",TN,""
25-02-2022,"COMPLIANCE DIRECTOR - 28009","State of Tennessee",tn.gov,"Government Administration",,,"Capitol Hill Area area",Nashville,TN,"37243"
23-02-2022,"Product Manager","Firestone Building Products",firestonebpco.com,"Building Materials",,,"SoBro area",Nashville,TN,"37201"
25-02-2022,"Associate Client Director-Retail Insights",NielsenIQ,,,,,,Nashville,TN,""
24-02-2022,"Director, IT Solutions",HealthTrust,healthtrust.com,"Real Estate",,,,Nashville,TN,"37203"
24-02-2022,"Materials Program Manager, Physical Stores Manufacturing","Amazon.com Services LLC",amazon.com,Internet,,,,Nashville,TN,""
23-02-2022,"Director, Public Relations","Phase 3 Marketing and Communication",phase3mc.com,"Marketing & Advertising",,,,Nashville,TN,"37027"
25-02-2022,"Engagement Manager","Kanini Software Solutions",kanini.com,"Computer Software","$70 - $80 an hour",,,Nashville,TN,"37214"
24-02-2022,"VP Channel Activation","The Buntin Group",buntingroup.com,"Marketing & Advertising","From $8 an hour",,,Nashville,TN,"37210"
22-02-2022,"Project Manager- Highway/Roadway Lead","CONSOR Engineers, LLC",consoreng.com,"Civil Engineering",,,,Nashville,TN,"37210"
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Nashville",TN,""
24-02-2022,"Electronics Technician","Bonitron Inc.",,,"$15 - $20 an hour",,,Nashville,TN,"37211"
22-02-2022,"Principal Data Scientist",CEDENT,cedentinc.com,"Information Technology & Services","$150,000 - $180,000 a year",,,Nashville,TN,""
25-02-2022,"Director of Partnership Development (Midwest)",Wellpath,wellpathcare.com,"Hospital & Health Care",,,"Una area",Nashville,TN,"37217"
22-02-2022,"Director of Financial Planning and Analysis",Wellpath,wellpathcare.com,"Hospital & Health Care",,,"Una area",Nashville,TN,"37217"
23-02-2022,"Director of Partnership Development (Northeast)",Wellpath,wellpathcare.com,"Hospital & Health Care",,,"Una area",Nashville,TN,"37217"
25-02-2022,"VP of Digital","Varsity Spirit",,,,,"Hickory Ridge-South Riverdale area",Memphis,TN,"38115"
23-02-2022,"Business Development Executive (Remote)","FedEx Logistics",,,,Remote,,"Remote in Memphis",TN,""
25-02-2022,"Lead Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Memphis",TN,""
25-02-2022,"ServiceNow Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Memphis",TN,""
24-02-2022,"IT Director, Client Services","Prospero Health",prospero-health.com,"Hospital & Health Care",,,"Downtown area",Memphis,TN,"38103"
24-02-2022,"Vice President for Marketing and Communications","Rhodes College",rhodes.edu,"Higher Education",,,"Midtown area",Memphis,TN,"38112"
23-02-2022,"Transportation Director - USBL - US",Sysco,sysco.com,"Food & Beverages",,,,Memphis,TN,"37544"
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Memphis",TN,""
25-02-2022,"REGIONAL DIRECTOR OF OPERATIONS - REMOTE","Compass Group Careers",,,,Remote,,"Remote in Knoxville",TN,""
22-02-2022,"OSP Fielder I - Knoxville, TN","Ervin Cable Construction, LLC",ervincable.com,Telecommunications,,,"Downtown area",Knoxville,TN,"37902"
23-02-2022,"Business Value Services Manager (Health & Life Sciences)",Salesforce,covidi.com,"Computer Software",,,,Knoxville,TN,""
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Knoxville",TN,""
23-02-2022,"Manager of Financial Planning & Analyst","HES Facilities",hesfacilitiesmanagement.com,"Facilities Services",,,,Knoxville,TN,""
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Chattanooga",TN,""
25-02-2022,"Head of Business Transformation","Signal Energy LLC",signalenergy.com,Construction,,,,Chattanooga,TN,"37421"
24-02-2022,"Director of Manufacturing",Astec,astecinc.com,Machinery,"$150,000 - $160,000 a year",,"Piney Woods area",Chattanooga,TN,"37410"
23-02-2022,"Global Formulation Program Leader - Mars Petcare",MARS,accessmars.withgoogle.com,,,,,Franklin,TN,"37064"
23-02-2022,"Global Formulation Program Leader - Mars Petcare",MARS,accessmars.withgoogle.com,,,,,Franklin,TN,"37064"
23-02-2022,"Global Formulation Program Leader - Mars Petcare",MARS,accessmars.withgoogle.com,,,,,Franklin,TN,"37064"
23-02-2022,"Global Formulation Program Leader - Mars Petcare",MARS,accessmars.withgoogle.com,,,,,Franklin,TN,"37064"
23-02-2022,"Integration Lead","CHS Corporate",,,,,,Franklin,TN,"37067"
23-02-2022,"Reports Lead","CHS Corporate",,,,,,Franklin,TN,"37067"
23-02-2022,"Enterprise Architect","CHS Corporate",,,,,,Franklin,TN,"37067"
24-02-2022,"Director, Compensation","LifePoint Health- Health Support Center",lifepointhealth.net,"Hospital & Health Care",,,,Brentwood,TN,"37027"
25-02-2022,"Director of Physician Recruitment","Psychiatric Medical Care",,,"Up to $120,000 a year",Remote,,"Hybrid remote in Brentwood",TN,""
23-02-2022,"Director, Communications and Marketing (FT) Corp Marketing","Ballad Health",balladhealth.org,"Hospital & Health Care",,,,"Johnson City",TN,""
22-02-2022,"Facilities Director","City of Johnson City",johnsoncitytn.org,"Government Administration",,,,"Johnson City",TN,"37601"
