DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Job Title",Company,tatsunojapan.com,"Drug Manufacturing & Research, Pharmaceuticals, Healthcare",Salary,Remote,AREA,City,State,"ZipCode"
2022-06-29,"Administrative Assistant","Dept of Family & Protectve Svc",,,"$2,031 - $2,905 a month",,"Westwood area)",Houston,TX," 77036"
2022-06-29,"Lead Administrative Assistant",Chevron,,,,,,Houston,TX,""
2022-07-01,"RN - Mother/Baby 7PM-7AM","Memorial Hermann Health System",memorialhermann.org,"Hospital & Health Care",,,"Sharpstown area)",Houston,TX," 77074"
2022-07-01,"Coordinator, Business Operations","Baylor College of Medicine",bcm.edu,"Higher Education",,,"Medical Center area)",Houston,TX," 77030"
2022-06-29,"SHIPPING CLERK","Frazer, LTD",frazerbilt.com,Automotive,"$15 - $20 an hour",Remote,,"Remote in Houston",TX," 77081"
2022-07-01,"Appeals Team Lead, Virtual","Texas Service Center",,,,Remote,,"Remote in Houston",TX,""
2022-07-01,"Research Data Coordinator (10am - 6:30pm)","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,"Medical Center area)",Houston,TX," 77030"
2022-07-01,"Assistant to the Elementary Principal","Cypress Christian School",thecwc.net,,"estimated $39.4k - $49.8k a year",,,Houston,TX," 77065"
2022-06-30,"Pathology Referral Assistant - M-F 8am-5pm","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,"Medical Center area)",Houston,TX," 77030"
2022-06-30,"Kindergarten Teacher, Sheldon Early Childhood Academy","Sheldon Independent School District",sheldon.k12.tx.us,,"$61,600 - $75,045 a year",,,Houston,TX,""
2022-06-30,"Customer Service Rep",HEB,heb.com,Retail,,,"Spring Branch area)",Houston,TX," 77055"
2022-07-01,"Adult Program Librarian","Harris County",harriscountytx.gov,"Government Administration","$21.86 an hour",,"South Belt - Ellington area)",Houston,TX,""
2022-06-29,"Research Assistant I - Pediatrics Research","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,,"Hybrid remote in Houston",TX," 77030"
2022-07-01,"Administrative Assistant",KBR,kbr.be,Libraries,,,,Houston,TX,""
2022-06-30,"Appeals Collector, Virtual","Texas Service Center",,,,,,Houston,TX,""
2022-06-29,"Anesthesia Technician I - Operating Room - Ben Taub","Harris Health System",harrishealth.org,"Hospital & Health Care",,,"South Main area)",Houston,TX," 77054"
2022-06-29,"Revenue Integrity Specialist","Harris Health System",harrishealth.org,"Hospital & Health Care",,,"South Main area)",Houston,TX," 77054"
2022-07-01,"Bilingual HR Coordinator","Jacintoport International",,,"$20 an hour",,,Houston,TX," 77015"
2022-06-29,"Virtual Medical Insurance Follow Up Representative","Remote in Houston, TX 77019",,,,,,,,""
2022-07-01,"Unit Secretary","Baylor St. Luke's Medical Center",stlukeshealth.org,"Hospital & Health Care",,,"Medical Center area)",Houston,TX," 77030"
2022-07-01,"Financial Center Service Associate","Independent Financial",independent-bank.com,"Financial Services","$19.50 an hour",,"Greater Memorial area)",Houston,TX," 77024"
2022-06-29,"Nurse Clinician I","Harris Health System",harrishealth.org,"Hospital & Health Care",,,"Kashmere Gardens area)",Houston,TX," 77026"
2022-06-30,"Executive Assistant",KBR,kbr.be,Libraries,,,,Houston,TX,""
2022-06-30,"Research Coordinator-Surgery","Houston Methodist",,,,,"Medical Center area)",Houston,TX," 77030"
2022-07-01,"Graduate Program Specialist","University of Houston-Clear Lake",uhcl.edu,"Higher Education","$3,956 - $5,427 a month",,"Clear Lake area)",Houston,TX," 77058"
2022-07-01,"Education Executive","La Prairie Group",,,"estimated $46.9k - $59.3k a year",,"Galleria-Uptown area)",Houston,TX," 77056"
2022-06-30,"Customer Service Rep",HEB,heb.com,Retail,,,"Spring Branch area)",Houston,TX," 77055"
2022-07-01,"Home Infusion Nurse - North Houston, TX - Accredo",Cigna,cigna.com,"Health, Wellness & Fitness",,,"Medical area)",Houston,TX," 77054"
2022-07-01,"Patient Access Coordinator-?Access Operations","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,,"Hybrid remote in Houston",TX," 77030"
2022-06-29,"Clinical Support Analyst","Memorial Hermann Health System",memorialhermann.org,"Hospital & Health Care",,,"Medical area)",Houston,TX," 77030"
2022-06-30,"Research Coordinator II","Baylor College of Medicine",bcm.edu,"Higher Education",,,"Medical Center area)",Houston,TX," 77030"
2022-06-29,"Lab Assistant - 3rd Shift",Labcorp,labcorp.com,"Hospital & Health Care",,,,Houston,TX," 77030"
2022-07-01,"RN - Nights","Copperfield Healthcare and Rehabilitation",copperfieldhealthcare.com,,,,,Houston,TX," 77095"
2022-06-30,"Outreach Care Specialist (Call Center Representative)","Houston, TX",,,,,,,,""
2022-07-01,"HR Specialist","Hearst Media Services",hearstmediact.com,"Marketing & Advertising","estimated $39.8k - $50.4k a year",,"River Oaks area)",Houston,TX," 77027"
2022-06-30,"Release of Information Specialist","Memorial Hermann Health System",memorialhermann.org,"Hospital & Health Care",,,"Memorial area)",Houston,TX," 77024"
2022-07-01,"Clinical Research Specialist-Imaging","Houston Methodist",,,,,"Medical Center area)",Houston,TX," 77030"
2022-06-29,"Material Handler/Delivery Driver (Logistics Specialist)","TireHub, LLC",tirehub.com,"Logistics & Supply Chain","up to $17.60 an hour",,"Southwest area)",Houston,TX," 77085"
2022-07-01,"Financial Center Service Associate","Independent Financial",independent-bank.com,"Financial Services","$19.50 an hour",,"Rice Military area)",Houston,TX," 77007"
2022-06-29,"Service Support Rep",Ricoh,ricoh-usa.com,"Information Technology & Services",,,,Houston,TX,""
2022-06-30,"Veterinary Receptionist","Mission Veterinary Partners",missionvetpartners.com,Veterinary,"estimated $42.1k - $53.3k a year",,,Houston,TX," 77040"
2022-06-30,"Full Time Program Operations Director",RestorixHealth,restorixhealth.com,"Hospital & Health Care",,,"Downtown area)",Houston,TX," 77002"
2022-07-01,"Research Assistant-Nanomedicine","Houston Methodist",,,,,"Medical Center area)",Houston,TX," 77030"
2022-06-30,"Bilingual RX Insurance Call Center Representative",Ascension,ascension.org,"Hospital & Health Care",,Remote,,"Remote in Houston",TX," 77070"
2022-07-01,"Registered Nurse - Non Invasive Cardiology Lab - Ben Taub Ho...","Harris Health System",harrishealth.org,"Hospital & Health Care",,,"South Main area)",Houston,TX," 77054"
2022-06-29,"Clinical Research Recruiter","Next Level Urgent Care",nextlevelurgentcare.com,"Hospital & Health Care","estimated $51k - $64.6k a year",,"Galleria-Uptown area)",Houston,TX," 77057"
2022-06-29,"Administrative Assistant Customer Service",Nouryon,nouryon.com,Chemicals,,,,Houston,TX,""
2022-06-30,"Sterile Processing Tech I","Baylor St. Luke's Medical Center",stlukeshealth.org,"Hospital & Health Care",,,"Medical Center area)",Houston,TX," 77030"
2022-07-01,"Account Analyst","Calpine Corporation",calpine.com,"Electricity, Oil & Gas, Energy, Utilities & Waste Treatment",,,"Downtown area)",Houston,TX," 77002"
2022-06-30,"Insurance Verification Specialist - Full Time - Days","OakBend Medical Center",oakbendmedcenter.org,"Hospital & Health Care","estimated $26k - $33k a year",,"University Place area)",Houston,TX," 77030"
2022-06-30,"Legal Assistant","Reynolds and Reynolds",reyrey.com,"Computer Software",,,,Houston,TX," 77001"
2022-07-01,"Quality Control Technician","AMC Networks Inc.",amcnetworks.com,"Television Stations, Broadcasting, Media & Internet","estimated $38.6k - $48.8k a year",,,Houston,TX,""
2022-06-30,"Registered Nurse (RN) Case Manager - Home Health - Full Time","Enhabit Home Health & Hospice",,,"estimated $73.5k - $93.1k a year",,"South Belt - Ellington area)",Houston,TX," 77034"
2022-07-01,"Specimen Management Specialist I-III","Baylor Miraca Genetics Laboratories, LLC",,,"estimated $32.9k - $41.7k a year",,"Macgregor area)",Houston,TX," 77021"
2022-07-01,"Patient Access Representative II","Conifer Health Solutions",coniferhealth.com,"Hospital & Health Care",,,,Houston,TX,""
2022-06-29,"Seasonal Hire - Orthro Admin - Texas Medical Center","UTHealth Houston",,,,,,Houston,TX,""
2022-06-30,"Inside Sales Representative (Remote)","Ideal Image Development Corporation",idealimage.com,"Medical Practice","$50,000 - $55,000 a year",,"Memorial Park area)",Houston,TX," 77007"
2022-06-29,"Entry Level Surveillance Investigator","DigiStream Investigations, Inc.",,,"$40,000 - $45,000 a year",,,Houston,TX,""
2022-06-30,"Clinical Nurse, Outpatient","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,,"Hybrid remote in Houston",TX," 77030"
2022-07-01,"Administrative Assistant to the Community Manager - On-site...",SpectrumAM,spectrumam.com,"Management Consulting","$18 an hour",,,Houston,TX,""
2022-06-29,"Supervisory Medical Support Assistant (Office Automation)","U.S. Army Medical Command",health.mil,"Hospital & Health Care","$45,199 - $58,754 a year",,,Houston,TX,""
