DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-02,"Administrative Assistant","Rimkus Building Consultants",rimkusbuildingconsultants.com,"Civil Engineering",,Remote,,"Remote in Houston",TX,"77079"
2022-04-02,"Administrative Assistant","Rimkus Consulting Group, Inc.",rimkus.com,"Mechanical Or Industrial Engineering",,Remote,,"Remote in Houston",TX,"77079"
2022-03-31,"IT Service Desk Technician (Entry Level)","Southwest Schools",swschools.org,"Education Management","$38,000 - $45,000 a year",,,Houston,TX,""
2022-03-31,"Administrative Assistant","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,Remote,,"Hybrid remote in Houston",TX,"77030"
2022-04-02,"Data Analyst","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,Remote,,"Hybrid remote in Houston",TX,"77030"
2022-04-02,"Help Desk Technician","Realogy Holdings Corp",,,,,,Houston,TX,""
2022-04-02,Receptionist,"BGE, Inc.",,,"$29.7K ? $37.7K a year",,"Westchase area",Houston,TX,"77042"
2022-04-01,"Call Center Representative","Spring Branch Community Health Center",sbchc.net,"Hospital & Health Care","$25.6K ? $32.4K a year",,,Houston,TX,""
2022-04-02,"Anesthesiology Inventory Tech - Anesthesia Services","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,"Medical Center area",Houston,TX,"77030"
2022-03-31,"Marketing Coordinator","Houston Humane Society",houstonhumane.org,"Nonprofit Organization Management","$38.4K ? $48.6K a year",,"Southwest area",Houston,TX,"77053"
2022-04-01,"Dental Lab Technician III (Denture Setup)","National Dentex",nationaldentex.com,"Hospital & Health Care","$37.2K ? $47K a year",,"Northwest area",Houston,TX,"77018"
2022-04-01,"Recruiting Coordinator","CenterPoint Energy",centerpointenergy.com,Utilities,"$39.6K ? $50.2K a year",,,Houston,TX,""
2022-03-31,"Coordinator Member Outreach","Christus Health",christushealth.org,"Hospital & Health Care",,,"Lazybrook - Timbergrove area",Houston,TX,"77092"
2022-04-02,"Market Intelligence Analyst - Community Health Choice","Harris Health System",harrishealth.org,"Hospital & Health Care",,,"South Main area",Houston,TX,"77054"
2022-03-31,"Records Technician","Hunton Andrews Kurth",huntonak.com,"Law Practice","$31.1K ? $39.3K a year",,"Downtown area",Houston,TX,"77002"
2022-04-02,Receptionist,"Carlton Staffing Services",carltonstaffing.com,"Staffing & Recruiting","$15 an hour",,,Houston,TX,"77040"
2022-04-01,"Inside Sales Coating Coordinator","National Oilwell Varco",nov.com,"Oil & Energy",,,,Houston,TX,"77049"
2022-03-31,"Administrative Assistant","Kinder Morgan",kindermorgan.com,"Oil & Energy","$33.1K ? $41.9K a year",,,Houston,TX,""
2022-04-01,"Branch Operations Specialist","Gulf Capital Bank",gulfcapitalbank.com,Banking,"$40,000 - $50,000 a year",,,Houston,TX,""
2022-04-01,"Maintenance Technician - Monday-Friday, 7am-3:30pm","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,"Medical Center area",Houston,TX,"77030"
2022-04-02,"Patient Access Rep","Memorial Hermann Health System",memorialhermann.org,"Hospital & Health Care",,,,Houston,TX,"77029"
2022-04-02,"Service Support Coordinator III","RAM Windows",ramwindows.com,"Building Materials","$22 - $26 an hour",,"Central Southwest area",Houston,TX,"77085"
2022-04-01,"Sales Representative","Insulation Distributors, Inc (IDI)",,,"$54.4K ? $68.8K a year",,,Houston,TX,"77040"
2022-04-02,"Division Order Analyst",Repsol,repsol.com,"Oil & Energy","$70.8K ? $89.6K a year",,,Houston,TX,""
2022-04-02,"Technical Recruiter","eXp Realty",,,"$47.1K ? $59.7K a year",,,Houston,TX,""
2022-03-31,"Medical Technician I - Specimen Processing - Sun - Wed 5am-3...","MD Anderson Cancer Center",mdanderson.org,"Hospital & Health Care",,,"Medical Center area",Houston,TX,"77030"
2022-04-02,"Billing Specialist","Linetec Services, LLC (S4)",,,"$40K ? $50.6K a year",,,Houston,TX,"77065"
2022-04-01,"New Home Counselor","Beazer Homes",beazer.com,"Real Estate",,,"Carverdale area",Houston,TX,"77040"
2022-04-02,"Indirect Dealer Relationship Manager","First Community Credit Union",myfccu.com,Banking,,,,Houston,TX,"77095"
2022-03-31,"Coordinator - Medical Staff","The Woman's Hospital of Texas",womanshospital.com,"Medical Practice",,,,Houston,TX,"77054"
2022-03-30,"Project Execution","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Houston,TX,""
2022-04-02,"Nighttime Supervisory Analyst (Full Time Telecommute)","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,Remote,,"Remote in Houston",TX,""
2022-04-01,"NA Physical Scheduling Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Houston,TX,""
2022-04-02,Make-Ready,"Capstone Real Estate Services, Inc",capstonemanagement.com,"Real Estate","$28.2K ? $35.6K a year",,"Northwest area",Houston,TX,"77091"
2022-04-01,"Assistant Marketing Manager","K. Hovnanian Homes",,,"$52.7K ? $66.7K a year",,,Houston,TX,""
2022-03-31,"Well Analyst","Filtration Group",filtgroup.com,,,,"Downtown area",Houston,TX,"77002"
2022-04-02,"Inside Sales Associate","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Houston,TX,""
2022-04-01,"Competency Advisor","National Oilwell Varco",nov.com,"Oil & Energy",,,,Houston,TX,"77086"
