DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-15,"Director, Community Operations",Firsthand,,,"$81.4K – $103K a year",,,Houston,TX,""
2022-03-16,"Pipeline and Process Services (PPS) Technical Advisor",Halliburton,halliburton.com,"Oil & Energy",,,,Houston,TX,"77032"
2022-03-16,"AVP, Operational Effectiveness","National University",nu.edu,"Higher Education","$54.5K – $68.9K a year",,"Downtown area",Houston,TX,"77002"
2022-03-15,"CREATIVE PROJECT MANAGER",Cella,cellainc.com,"Staffing & Recruiting",,Remote,,"Remote in Houston",TX,"77033"
2022-03-17,"Director, Human Resources","Stress Engineering Services, Inc.",,,"$82.2K – $104K a year",,,Houston,TX,"77041"
2022-03-18,"Traffic Studies Team Leader",Ardurra,ardurra.com,"Civil Engineering","$79.8K – $101K a year",,,Houston,TX,""
2022-03-15,"Team Lead, Cybersecurity Awareness",Chevron,,,,Remote,,"Hybrid remote in Houston",TX,""
2022-03-15,"1746: NA M+C Talent Brand Lead",Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Houston,TX,"77002"
2022-03-15,"Communications Manager - School of Public Health - TEPHI","The University of Texas Health Science Center at...",,,"$72K – $91.2K a year",,,Houston,TX,""
2022-03-18,"eCommerce Marketing Manager",Shell,shell.com,"Oil & Energy",,,,Houston,TX,""
2022-03-16,"Principal Project Manager - Engineering",KBR,kbr.be,Libraries,,,,Houston,TX,""
2022-03-17,"Business Development Manager","PCL Construction",pcl.com,Construction,"$98.9K – $125K a year",,"Memorial area",Houston,TX,"77094"
2022-03-15,"Manager, Payroll",ABS,absabetterway.co.uk,"Business Supplies & Equipment","$80.8K – $102K a year",,,Houston,TX,""
2022-03-16,"IT Advisor B2B/B2C - RES",Shell,shell.com,"Oil & Energy",,,,Houston,TX,""
2022-03-18,"Manager, US Talent Service (TS) Operations",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Houston,TX,"77002"
2022-03-16,"Technical Architect Director",Salesforce,covidi.com,"Computer Software",,,,Houston,TX,""
2022-03-18,"Director Ethics & Compliance","HCA Houston Healthcare",hcahoustonhealthcare.com,"Hospital & Health Care",,,,Houston,TX,"77092"
2022-03-15,"Designer III",Weatherford,weatheford.com,,,,,Houston,TX,"77041"
2022-03-15,"Account Executive - Utilities",Capgemini,capgeminisogeti.dk,,,,,Houston,TX,""
2022-03-16,"Buyer II",Jacobs,jacobs.com,"Civil Engineering",,,"Downtown area",Houston,TX,"77002"
